,Date,TSLA,PDR,VAR,AVG,VAR70,VAR85,VAR99
73,4/17/2020,50.259335,0.011580417,0.005369156,0.00768297,48.03030960541468,46.26381625817007,42.05149336362024
74,4/20/2020,49.757332,-0.010038471,0.005300787,0.007443491,48.59972362796799,46.817536499959886,42.59346710471326
75,4/21/2020,45.781334,-0.083281376,0.005338393,0.006233826,48.126745160343106,46.36659578645928,42.21509637876839
76,4/22/2020,48.807335,0.064004155,0.005311486,0.006993962,44.21450998160441,42.59156363599431,38.74375010327123
77,4/23/2020,47.042,-0.036839789,0.005267135,0.006424693,47.18089911221345,45.44885559013578,41.37771403059388
78,4/24/2020,48.343334,0.027287523,0.005205116,0.006692165,45.46245551305999,43.80606142720098,39.88356536317824
79,4/27/2020,53.25,0.096669462,0.005240412,0.007831118,46.7339671164909,45.03930383408285,41.04233655730043
80,4/28/2020,51.274666,-0.037801015,0.00520061,0.007260716,51.53902205033018,49.65147845230801,45.227746870388195
81,4/29/2020,53.367332,0.040002008,0.005149476,0.00766493,49.60166528701589,47.797505313696966,43.56623104709746
82,4/30/2020,52.125332,-0.023547749,0.005098413,0.007284287,51.66364529671337,49.80190731665233,45.40485428474676
83,5/1/2020,46.754665,-0.108737013,0.005197213,0.00588644,50.44636782021361,48.63476976248311,44.352786134083736
84,5/4/2020,50.745998,0.081918721,0.005203342,0.006791587,45.166304028270716,43.52782203489328,39.6704385192169
85,5/5/2020,51.214001,0.009180194,0.005142193,0.006819688,49.07274799208053,47.29354971288333,43.08112585233
86,5/6/2020,52.172001,0.01853302,0.005083977,0.006955889,49.53537888715094,47.74911346364102,43.53363640455507
87,5/7/2020,52.002666,-0.003250985,0.005026724,0.006838569,50.47618687967337,48.668251420053245,44.3982993631718
88,5/8/2020,54.627998,0.049251549,0.004989811,0.007320535,50.32430438145284,48.531061820951095,44.30089530977754
89,5/11/2020,54.085999,-0.009971181,0.004937068,0.007126246,52.89215727518346,51.01221207970211,46.56519435147838
90,5/12/2020,53.960667,-0.002319962,0.004883192,0.007021288,52.37111861438594,50.518168410950864,46.13578727499124
91,5/13/2020,52.730667,-0.023058189,0.004839364,0.006690744,52.25143026469384,50.42098871713773,46.059143427727896
92,5/14/2020,53.555332,0.01551816,0.0047876,0.006786694,51.05312203560683,49.26922545988524,45.05896307936353
93,5/15/2020,53.278,-0.005191874,0.004737646,0.006657893,51.87509795362492,50.07112263055423,45.79389804762335
94,5/18/2020,54.242001,0.017932047,0.004688584,0.00677783,51.60579145819931,49.81863207115429,45.59356444579366
95,5/19/2020,53.867332,-0.006931326,0.004641188,0.006633523,52.563497269930366,50.74870898906163,46.47414023379131
96,5/20/2020,54.370667,0.00930059,0.004592915,0.006661305,52.19887665573326,50.414470155141544,46.18811769820918
