,Date,UAL,PDR,VAR,AVG,VAR70,VAR85,VAR99
71,4/15/2020,31.860001,0.030595152,0.007648402,-0.014585426,28.94842819234428,27.671725162041927,24.70511360400094
72,4/16/2020,28.209999,-0.121674846,0.007699242,-0.016072779,29.873968775029056,28.56239254473353,25.52931060398388
73,4/17/2020,29.08,0.030374163,0.00762292,-0.01543652,26.40448294198954,25.249242037156783,22.559563001650563
74,4/20/2020,27.790001,-0.045374373,0.007531856,-0.015841085,27.247948590295184,26.05825503113176,23.276819443673592
75,4/21/2020,27.879999,0.00323327,0.007436217,-0.01558676,26.039073273258246,24.906678119539617,22.26330872715291
76,4/22/2020,25.879999,-0.074439119,0.007383346,-0.016361134,26.137819562500837,25.008368025921218,22.371309475585686
77,4/23/2020,25.719999,-0.006201571,0.007288782,-0.016229191,24.253294809290658,23.212818650661326,20.772847793900183
78,4/24/2020,25.559999,-0.00624027,0.007196599,-0.016101128,24.112541908845564,23.081154036747265,20.675177304456998
79,4/27/2020,25.0,-0.022152766,0.00710596,-0.016177731,23.972890612965266,22.95312251388762,20.576882476445906
80,4/28/2020,27.84,0.107598011,0.007206247,-0.014630534,23.45297779936813,22.46474818724887,20.143100935328935
81,4/29/2020,31.209999,0.114264689,0.00731986,-0.013039235,26.14455550366723,25.03372496188608,22.44927550298207
82,4/30/2020,29.58,-0.053640067,0.007250451,-0.013534367,29.351597031327348,28.095622629367323,25.158771321413546
83,5/1/2020,26.620001,-0.105435607,0.007263627,-0.014641611,27.80847954833466,26.624483782228292,23.85150282497502
84,5/4/2020,25.26,-0.052440734,0.007193962,-0.015091601,24.995286357271404,23.92586320544819,21.425581526992023
85,5/5/2020,24.120001,-0.046180704,0.007120565,-0.015457355,23.711360251953362,22.70491505158852,20.35069823840153
86,5/6/2020,22.91,-0.051467917,0.007052671,-0.015876082,22.63779345182216,21.685711220166503,19.438887835274475
87,5/7/2020,22.75,-0.007008351,0.006972499,-0.015774154,21.50060057929336,20.59669418932466,18.468917067581742
88,5/8/2020,25.42,0.11097112,0.007073741,-0.014333867,21.362591519002965,20.46883054485385,18.37656092156679
89,5/11/2020,23.969999,-0.058733259,0.007016162,-0.014832737,23.897549896299093,22.89448999794399,20.54896349593995
90,5/12/2020,22.76,-0.051798397,0.006953218,-0.015243466,22.524323348363392,21.577867718173614,19.37390673274882
91,5/13/2020,20.709999,-0.094387982,0.006944887,-0.016113186,21.383376789062634,20.490032050717005,18.394373230014683
92,5/14/2020,20.299999,-0.01999579,0.006869561,-0.016155389,19.444767916093085,18.629796558741187,16.732700469662674
93,5/15/2020,19.92,-0.018896585,0.006795774,-0.016184864,19.0599875285524,18.267129237473334,16.41507181243167
94,5/18/2020,24.129999,0.191731586,0.007178472,-0.013972987,18.712963276512355,17.939525481755005,16.13250339003724
95,5/19/2020,23.68,-0.018825028,0.007103155,-0.014024061,22.679011452212787,21.713538793807405,19.462923070041867
96,5/20/2020,24.91,0.050638519,0.007072264,-0.013350492,22.260665901999587,21.323050923605553,19.12763788010831
97,5/21/2020,25.84,0.03665435,0.007024867,-0.012834978,23.4336797144024,22.448331577052745,20.138836723002164
98,5/22/2020,25.4,-0.017174505,0.006953375,-0.012879259,24.328270380055095,23.30309826397323,20.92261663570308
99,5/26/2020,29.540001,0.150996137,0.007151663,-0.011223952,23.921113738744044,22.921261301749553,20.575624557481703
100,5/27/2020,30.690001,0.03819159,0.007104321,-0.010729797,27.843373414760535,26.664973758326777,23.91040420484025
101,5/28/2020,28.889999,-0.060441421,0.007058206,-0.011221991,28.944374206375723,27.724500196286773,24.868430222688314
102,5/29/2020,28.040001,-0.029863382,0.006992382,-0.01140475,27.246106204288036,26.098980652685178,23.426683471743758
103,6/1/2020,29.459999,0.049401279,0.006960043,-0.0108144,26.44299343022498,25.334686084345144,22.750898389309757
104,6/2/2020,29.91,0.015159496,0.006899544,-0.010564651,27.800523620360497,26.636387757311535,23.9096146914661
105,6/3/2020,33.650002,0.117820243,0.006989317,-0.009341938,28.2319093399746,27.06125996729285,24.304484366142198
106,6/4/2020,39.099998,0.1501093,0.007160973,-0.007837681,31.8002182469083,30.474497881996392,27.37237421256903
107,6/5/2020,42.41,0.081261768,0.007167548,-0.007004976,36.98122675962063,35.41068603844783,31.74314005861969
108,6/8/2020,48.689999,0.138089466,0.007294307,-0.005661509,40.143884043396966,38.43915861505155,34.45273888777338
109,6/9/2020,44.639999,-0.086843354,0.007287295,-0.006406296,46.12440622317095,44.14753385172783,39.55463901245333
110,6/10/2020,39.720001,-0.116775431,0.00733078,-0.007409652,42.25214305590895,40.450570676727075,36.21775394034477
111,6/11/2020,33.32,-0.175697047,0.007517579,-0.008925755,37.56249187993783,35.949929858962754,32.19447395944743
112,6/12/2020,39.66,0.174185306,0.007747157,-0.007290834,31.444626774142105,30.081524025781597,26.907705804639555
113,6/15/2020,39.0,-0.016781477,0.007679388,-0.007374822,37.445011869357394,35.7913549909169,31.950200587262795
114,6/16/2020,40.209999,0.03055405,0.007624533,-0.007042113,36.83571119270602,35.22264168678751,31.456562655368295
115,6/17/2020,39.25,-0.024164252,0.00756076,-0.007191001,37.99737427827753,36.33800926976698,32.462583499330286
