,Date,PSX,PDR,VAR,AVG,VAR70,VAR85,VAR99
71,4/15/2020,56.470001,-0.078311206,0.003021254,-0.009670048,58.74229981726857,57.11824346119377,53.22739868722595
72,4/16/2020,53.529999,-0.053467316,0.003005564,-0.010278344,54.25831711408463,52.75826742574933,49.135951127523725
73,4/17/2020,59.529999,0.106238145,0.003147818,-0.008682227,51.40564541219345,49.97562210341148,46.569334955780306
74,4/20/2020,58.119999,-0.023970549,0.003108396,-0.008888826,57.21389798009086,55.5941207228669,51.7194119987823
75,4/21/2020,56.799999,-0.022973513,0.003069561,-0.009076622,55.855708027910204,54.289487534162745,50.53751370726348
76,4/22/2020,58.18,0.024005345,0.003043382,-0.008641333,54.5873744033837,53.06569940538457,49.40646759601443
77,4/23/2020,59.970001,0.030302801,0.003023299,-0.008135565,55.95260063161319,54.39738754934845,50.66329828471077
78,4/24/2020,60.529999,0.00929464,0.002988384,-0.007912101,57.71234565029732,56.11167933504062,52.26248392773729
79,4/27/2020,63.490002,0.047743351,0.002989269,-0.007207602,58.272373120369615,56.66885462417927,52.798220165004814
80,4/28/2020,67.339996,0.05887191,0.003005802,-0.006381608,61.151791476089926,59.46324217170341,55.434230323493054
81,4/29/2020,73.5,0.087531052,0.003076233,-0.005222192,64.91237347760985,63.12064377018565,58.812456019826215
82,4/30/2020,73.169998,-0.004499933,0.003038724,-0.005213384,70.91084035097057,68.93108116872416,64.14331979688224
83,5/1/2020,66.360001,-0.097690993,0.003103909,-0.006327572,70.60884398995938,68.64957179542533,63.950718264359786
84,5/4/2020,73.480003,0.101918821,0.003204789,-0.005038925,63.93856166679648,62.139689109649936,57.82568365244148
85,5/5/2020,75.199997,0.02313789,0.003176316,-0.004707433,70.85965839093112,68.83569925747227,63.98022447445458
86,5/6/2020,71.910004,-0.044735798,0.003157796,-0.005172879,72.54236131831625,70.48297672575578,65.54576241934409
87,5/7/2020,73.309998,0.019281605,0.003128295,-0.004891793,69.34723597889472,67.38208527807193,62.675256065847044
88,5/8/2020,77.059998,0.049887315,0.003126458,-0.004269303,70.73318085393049,68.73882242676729,63.93835265857887
89,5/11/2020,76.669998,-0.005073842,0.003091336,-0.004278343,74.38384862143317,72.28768473002887,67.25306101643733
90,5/12/2020,73.529999,-0.041816999,0.003072471,-0.004695439,74.03814028109409,71.96096123572192,66.96949798791408
91,5/13/2020,71.029999,-0.034591164,0.003048421,-0.005023963,70.97754528568426,68.98837469522337,64.1976816241447
92,5/14/2020,71.75,0.010085546,0.003017741,-0.004859729,68.5563350418096,66.64500754816909,62.06089741989892
93,5/15/2020,70.93,-0.011494379,0.00298576,-0.00493107,69.27029362146745,67.34939563590406,62.75480046668876
94,5/18/2020,76.279999,0.072717292,0.003017456,-0.004105023,68.47964229732769,66.59202584172769,62.06488037749878
95,5/19/2020,75.220001,-0.013993601,0.002986711,-0.004209114,73.71237343624632,71.66762993032637,66.75995536730296
96,5/20/2020,78.25,0.039491663,0.002975286,-0.003753897,72.68342770679598,70.67476663772642,65.8657853609176
97,5/21/2020,77.089996,-0.014935311,0.002945889,-0.00386917,75.65414620374649,73.56340840965622,68.56829380442754
98,5/22/2020,76.459999,-0.008205803,0.002916018,-0.003913421,74.52524267307489,72.47881628803617,67.57000454733758
99,5/26/2020,78.970001,0.032300331,0.002899677,-0.003547625,73.92887984258236,71.90784478509129,67.0877267733785
100,5/27/2020,81.730003,0.034353122,0.002884901,-0.003168618,76.39135111362779,74.30651046551502,69.3076475971184
101,5/28/2020,78.559998,-0.03955853,0.002869319,-0.003528914,79.0938638184498,76.9513827200193,71.81383354947025
102,5/29/2020,78.260002,-0.003825996,0.002841189,-0.003531827,75.99536053573091,73.93937032630501,69.01173830790503
103,6/1/2020,78.830002,0.007257018,0.002814724,-0.003427081,75.72471968970471,73.68174557089084,68.80059264886293
104,6/2/2020,81.57,0.034167887,0.002801119,-0.003065591,76.30608559614856,74.26335679809364,69.3542024681493
105,6/3/2020,83.730003,0.026135825,0.002782485,-0.002787482,78.98476642471478,76.87328073362129,71.80326201313281
106,6/4/2020,83.129997,-0.007191761,0.002756417,-0.002829032,81.0938456876517,78.93004983015526,73.74116417399753
107,6/5/2020,87.400002,0.050089694,0.002756583,-0.002334464,80.53830453787795,78.41493645793756,73.2753801146102
108,6/8/2020,89.730003,0.026309889,0.002738586,-0.002069239,84.71785615635065,82.47262320155559,77.09658197373088
109,6/9/2020,85.669998,-0.046302512,0.002731247,-0.002475048,87.00735056828678,84.70133620912561,79.17564393394784
110,6/10/2020,84.330002,-0.015764985,0.002708009,-0.002595866,83.03634193998755,80.84760169629413,75.5672874449162
111,6/11/2020,75.0,-0.117249584,0.002800973,-0.003628782,81.73146551196814,79.57872623042661,74.4140637751337
112,6/12/2020,77.260002,0.02968827,0.002785787,-0.003331309,72.59168570110648,70.64584222543738,65.98392211291183
113,6/15/2020,75.599998,-0.021720126,0.0027641,-0.003494042,74.79182753755407,72.79299221142855,68.0178302180857
114,6/16/2020,77.040001,0.018868524,0.002744201,-0.003297879,73.1849110918658,71.2511360785838,66.57525325901106
115,6/17/2020,72.879997,-0.055510569,0.002743838,-0.003751902,74.60626040841153,72.63130998045884,67.88780623124624
116,6/18/2020,76.239998,0.045072021,0.002740557,-0.003331006,70.53730682059654,68.68321320966524,64.20492914798291
117,6/19/2020,74.699997,-0.020406181,0.002719604,-0.003476948,73.8305853220525,71.88104531844944,67.18101831633737
118,6/22/2020,74.400002,-0.004024083,0.002696559,-0.003481585,72.33548521445424,70.42926678316314,65.83644151258923
119,6/23/2020,74.699997,0.004024083,0.002674369,-0.003418512,72.05576701990205,70.17222576245376,65.59659280651057
120,6/24/2020,69.989998,-0.065127706,0.002683551,-0.003932755,72.35832626140531,70.46493907872878,65.92542167045433
121,6/25/2020,70.07,0.001142396,0.002661584,-0.003890812,67.75454039920504,65.98116849377459,61.72171392883903
122,6/26/2020,68.07,-0.028958155,0.002644876,-0.004096282,67.84289525745633,66.07332325259641,61.80949708960711
123,6/29/2020,68.660004,0.008630259,0.002624679,-0.003992814,65.89873668763163,64.19151997487553,60.08806261922156
124,6/30/2020,71.900002,0.046109446,0.002623593,-0.003588764,66.48880423527093,64.77091421543426,60.61357728150962
125,7/1/2020,69.110001,-0.03957684,0.002612883,-0.003876668,69.66150811966027,67.85197611331276,63.505927685743366
126,7/2/2020,68.419998,-0.010034302,0.002592444,-0.003925538,66.93294216071533,65.20356570949227,61.075135291660374
127,7/6/2020,68.089996,-0.00483485,0.002572038,-0.003932698,66.26751222452339,64.5635676033475,60.46249474744891
128,7/7/2020,64.610001,-0.052461088,0.002570198,-0.004311826,65.95715606593679,64.26509760835545,60.20328080462552
129,7/8/2020,63.98,-0.009798679,0.002550506,-0.00435436,62.560086309711856,60.95907785111882,57.10187249850459
130,7/9/2020,58.98,-0.081372131,0.002576164,-0.004946804,61.95634469284784,60.37500328262222,56.55483868378885
131,7/10/2020,61.060001,0.0346586,0.002568382,-0.004644473,57.07567170470245,55.604196182578164,52.09683759251251
132,7/13/2020,60.27,-0.013022536,0.002549452,-0.004707943,59.112602797312874,57.59255582879269,53.96134080426252
133,7/14/2020,61.959999,0.027654532,0.002538099,-0.004464616,58.344910698936665,56.85778584114078,53.274240374922364
134,7/15/2020,65.459999,0.054950254,0.002545305,-0.004021222,60.00013048116776,58.475458852498484,54.796167347013956
135,7/16/2020,64.870003,-0.00905394,0.002526637,-0.004058501,63.40810853215324,61.78976228940774,57.913450036128225
136,7/17/2020,63.84,-0.01600536,0.002509101,-0.004146346,62.84313286281157,61.25066087379481,57.40718143371725
137,7/20/2020,62.330002,-0.02393707,0.002493624,-0.004290804,61.84230515499283,60.2771725518374,56.50907669902341
138,7/21/2020,66.419998,0.063555303,0.002508669,-0.003799165,60.38283066729227,58.855786725741524,55.185209470598494
139,7/22/2020,65.25,-0.01777214,0.002492015,-0.00389969,64.37012975498429,62.740774858540014,58.814874579825876
140,7/23/2020,65.18,-0.001073373,0.002474272,-0.003879502,63.24189920404498,61.64568789977013,57.797845663487266
141,7/24/2020,65.059998,-0.001842783,0.002456753,-0.003865057,63.17958462865113,61.59212223758691,57.75777427410428
142,7/27/2020,64.589996,-0.007250352,0.002439532,-0.003888897,63.073152998678175,61.492538891601356,57.6618346673679
143,7/28/2020,63.580002,-0.015760551,0.002423451,-0.003971916,62.61528106731384,61.05402195996502,57.283999135182434
144,7/29/2020,65.580002,0.030971815,0.002415042,-0.003729251,61.639980645128965,60.1062072866559,56.41818253121802
145,7/30/2020,63.09,-0.038708524,0.002406767,-0.003970488,63.597353873269775,62.01506429234639,58.19160219377914
146,7/31/2020,62.02,-0.017105365,0.002391456,-0.004060452,61.17660985318325,59.660202497498936,55.995583824407205
147,8/3/2020,61.119999,-0.014617785,0.00237594,-0.004132271,60.13596254915393,58.646412979040804,55.064048561915506
148,8/4/2020,61.849998,0.011872938,0.002361606,-0.004024128,59.25822857142808,57.79471512831736,54.26551400713216
149,8/5/2020,61.959999,0.001776933,0.00234598,-0.003985194,59.976916854071916,58.49971636043535,54.95358199954608
