,Date,INTC,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,60.790001,0.032093712,0.002595907,-1.14e-05,57.20875589843342,55.728793989072514,52.1694700237818
73,4/17/2020,60.360001,-0.007098668,0.002561026,-0.000108504,59.108055889020875,57.585332674513964,53.90506127878569
74,4/20/2020,59.18,-0.019743003,0.002531556,-0.000373835,58.70021421016288,57.196744927174784,53.58581045873045
75,4/21/2020,56.360001,-0.048823942,0.002528684,-0.001019837,57.54380172455479,56.08327272807077,52.5573191165189
76,4/22/2020,60.099998,0.064250103,0.002550729,-0.000161022,54.7708461833412,53.37818693207918,50.0117037742466
77,4/23/2020,59.040001,-0.017794611,0.002521588,-0.000390029,58.44389339687808,56.955664626859814,53.34747342235256
78,4/24/2020,59.259998,0.003719311,0.002489474,-0.000337346,57.40946817094901,55.947905005036716,52.432465417045734
79,4/27/2020,59.470001,0.003537492,0.002458149,-0.000288297,57.63517040042364,56.18496842770132,52.67274884913619
80,4/28/2020,58.75,-0.012180848,0.002429168,-0.000436954,57.86111179408474,56.41014667740233,52.91033670136144
81,4/29/2020,61.799999,0.050612195,0.002430954,0.000193282,57.15394800863042,55.73143955900452,52.27653855340228
82,4/30/2020,59.98,-0.029892175,0.002412212,-0.000173613,60.15561677689807,58.651379716694294,55.03649075420653
83,5/1/2020,57.470001,-0.042748083,0.002404725,-0.000686559,58.37398383477759,56.9229308412508,53.42754975733679
84,5/4/2020,57.990002,0.009007526,0.002377202,-0.000571153,55.90693034008285,54.522246185464994,51.16887403551326
85,5/5/2020,58.75,0.013020537,0.002351383,-0.000411251,56.42587025832238,55.03519731197008,51.68219925227731
86,5/6/2020,59.18,0.007292494,0.002324724,-0.000321672,57.17881122313029,55.778408305221994,52.39814723449227
87,5/7/2020,59.169998,-0.000169024,0.002298003,-0.000319918,57.613149579030306,56.209487163916364,52.82276191085017
88,5/8/2020,59.669998,0.008414725,0.002272746,-0.00022066,57.611064768718805,56.22233542767753,52.855048664020615
89,5/11/2020,60.130001,0.007679554,0.002247903,-0.000131894,58.11942410963775,56.71947302511701,53.332778201588944
90,5/12/2020,58.389999,-0.029364277,0.002232316,-0.000456698,58.58325049147381,57.18292825111347,53.78564504161721
91,5/13/2020,57.740002,-0.011194416,0.002209038,-0.000574695,56.879738204564106,55.52109651230123,52.21296906405136
92,5/14/2020,59.080002,0.022942283,0.002190973,-0.000319076,56.24532281225487,54.90508494681615,51.67304591064176
93,5/15/2020,58.279999,-0.013633527,0.0021693,-0.000462242,57.559867701864526,56.19586218916032,52.90029762429174
94,5/18/2020,59.919998,0.027751342,0.0021546,-0.000162097,56.78299674239181,55.443106227689874,52.207923363353395
95,5/19/2020,60.290001,0.006155963,0.002132336,-9.56e-05,58.41135195958259,57.03500741291019,53.720814811975764
96,5/20/2020,63.099998,0.045554469,0.002131605,0.00037993,58.78140389105718,57.410249860894474,54.089776592298065
97,5/21/2020,61.98,-0.017908985,0.002113043,0.000191384,61.54894321511486,60.10484160529082,56.611609672023675
98,5/22/2020,62.259998,0.004507381,0.002091669,0.000235425,60.455070115723906,59.04894254526027,55.64637615437525
99,5/26/2020,62.34,0.001284141,0.002070552,0.000246018,60.73376008076084,59.32509263588665,55.93598160448535
100,5/27/2020,63.560001,0.019381083,0.002053472,0.000437369,60.82698159171712,59.424216462107815,56.047542542360404
101,5/28/2020,61.700001,-0.02970041,0.002042044,0.000138975,62.03057491124239,60.61057353842461,57.178235653313564
102,5/29/2020,62.93,0.01973905,0.002025754,0.000331133,60.20289839174849,58.82846912555162,55.476133156243485
103,6/1/2020,61.860001,-0.017149214,0.002009024,0.000161421,61.42037556286853,60.017583199993105,56.63617275414264
104,6/2/2020,62.119999,0.004194199,0.001989861,0.000200197,60.37412674999425,59.00870594802221,55.69554650219153
105,6/3/2020,61.93,-0.003063267,0.001971011,0.000169117,60.640963278158296,59.26941935783075,55.95503407328548
106,6/4/2020,62.970001,0.016653723,0.001954956,0.000324632,60.458481966925554,59.09470264595771,55.8094872325309
107,6/5/2020,64.339996,0.021523021,0.001940845,0.000522748,61.49330440537312,60.11433446933044,56.78620845052546
108,6/8/2020,63.669998,-0.010467997,0.001923983,0.000420981,62.840302430943616,61.43756096298389,58.060089822212475
109,6/9/2020,63.040001,-0.009944001,0.001907308,0.00032589,62.186917002754726,60.810238796831,57.46509227057592
110,6/10/2020,63.869999,0.013080291,0.001891434,0.000441839,61.57400148489817,60.22040517158114,56.92506885360072
111,6/11/2020,59.700001,-0.067517715,0.001915628,-0.000170409,62.39253824602962,61.02004755659368,57.7006788695971
112,6/12/2020,59.330002,-0.006216923,0.001898847,-0.000224396,58.28040211020669,56.992242576903955,53.85357349184297
113,6/15/2020,60.099998,0.012894694,0.001883553,-0.000108298,57.92514290227819,56.64438481155984,53.539698825475064
114,6/16/2020,60.400002,0.00497933,0.001867256,-6.37e-05,58.68363482846541,57.39396669072747,54.26231122754742
115,6/17/2020,60.490002,0.001488957,0.00185104,-5.02e-05,58.98369324345037,57.69176908817488,54.56398250507363
116,6/18/2020,60.080002,-0.006801054,0.001835472,-0.000108366,59.081743620449465,57.79440199599623,54.682350982279
117,6/19/2020,59.619999,-0.007685969,0.001820271,-0.000173132,58.68576528228816,57.41507012783663,54.337882839460306
118,6/22/2020,60.09,0.007852367,0.001805386,-0.000105119,58.23133307839116,56.97731488659509,53.92711232842641
119,6/23/2020,59.919998,-0.002833133,0.001790276,-0.000128043,58.70897401332496,57.440347145537565,54.39670476704463
120,6/24/2020,59.09,-0.0139486,0.001776936,-0.000243215,58.5427819332772,57.28974385578782,54.257025815363015
121,6/25/2020,58.509998,-0.00986406,0.001763009,-0.000322726,57.73400279990373,56.499920736303295,53.512208612146324
122,6/26/2020,57.5,-0.017412698,0.001750933,-0.000462808,57.16117892200724,55.94748945047432,52.99816140361242
123,6/29/2020,58.27,0.013302433,0.001738225,-0.000350895,56.17355164479705,54.98062920110746,52.10782124055659
124,6/30/2020,59.830002,0.02641986,0.00172994,-0.000135002,56.9414328627878,55.734522726692056,52.82325792613624
125,7/1/2020,58.810001,-0.017195315,0.001718411,-0.000271484,58.484700778463804,57.254241051451544,54.25040068174336
126,7/2/2020,59.130001,0.005426501,0.001705028,-0.000226262,57.47019735312601,56.26717154037944,53.33203618001883
127,7/6/2020,59.540001,0.006909946,0.001692001,-0.000170072,57.80106572725524,56.58811030848819,53.668392208037325
128,7/7/2020,58.310001,-0.02087475,0.001682105,-0.000331827,58.2104903998431,56.995075135983726,54.06096488551813
129,7/8/2020,58.610001,0.005131725,0.001669295,-0.000289474,57.005506168544656,55.82071619688677,52.93068181097428
130,7/9/2020,58.419998,-0.003247085,0.001656521,-0.000312225,57.3003548248068,56.11095712096618,53.24052706826685
131,7/10/2020,59.529999,0.018822108,0.001646649,-0.000166161,57.125539048098275,55.94766042681569,53.09598416519222
132,7/13/2020,58.580002,-0.016086995,0.00163608,-0.000286773,58.21705186890841,57.02144014196831,54.104323888553466
133,7/14/2020,58.98,0.006805028,0.001624154,-0.000233452,57.289611329428276,56.11365001337581,53.26660158832308
134,7/15/2020,59.029999,0.000847369,0.001612042,-0.000225386,57.683111863152746,56.50565103233496,53.643145425241336
135,7/16/2020,59.139999,0.001861725,0.001600133,-0.000209926,57.73662232436468,56.560928721318064,53.7035672979882
136,7/17/2020,60.0,0.014437065,0.001589933,-0.000102227,57.85160619531544,56.67891370906651,53.82413239620937
137,7/20/2020,61.150002,0.018985333,0.001580968,3.71e-05,58.70312631127848,57.5207055179019,54.64452713969981
138,7/21/2020,60.700001,-0.00738618,0.001569908,-1.67e-05,59.845119758352205,58.6386734984669,55.68420304486485
139,7/22/2020,61.049999,0.00574947,0.001558851,2.48e-05,59.4019178831913,58.21064751373263,55.30938885643538
140,7/23/2020,60.400002,-0.010704046,0.001548533,-5.18e-05,59.75276152295376,58.55871353877579,55.663165703746294
141,7/24/2020,50.59,-0.17723521,0.001758624,-0.001308465,59.11920745685947,57.938912401624236,55.07956056401599
142,7/27/2020,49.57,-0.020368116,0.001748779,-0.001442688,49.3819971980926,48.33296891202693,45.78715043755826
143,7/28/2020,49.240002,-0.00667947,0.00173674,-0.001479309,48.385135616590574,47.362335936779374,44.87050109682084
144,7/29/2020,48.07,-0.02404806,0.001728192,-0.001636036,48.06195900558242,47.047604719903745,44.578926100724296
145,7/30/2020,47.990002,-0.001665584,0.001716274,-0.00163624,46.91501218959762,45.92843328066968,43.53780403425681
146,7/31/2020,47.73,-0.005432567,0.001704616,-0.001662242,46.84419864939195,45.861040105482886,43.46773273872918
147,8/3/2020,48.299999,0.011871409,0.001694258,-0.001570176,46.590634579209905,45.61609291288645,43.24909286300939
148,8/4/2020,49.130001,0.017038327,0.001685134,-0.001444443,47.15420645269959,46.17335152407818,43.78422178971383
149,8/5/2020,48.919998,-0.004283597,0.001673878,-0.001463498,47.97354838134568,46.97536182068346,44.55112167018537
150,8/6/2020,48.57,-0.007180214,0.001662935,-0.001501609,47.772784618080614,46.78453421309045,44.39456395743394
151,8/7/2020,48.029999,-0.011180262,0.001652539,-0.001565706,47.43217109910138,46.45368587553636,44.08773528481107
152,8/10/2020,49.220001,0.02447427,0.001646099,-0.001394391,46.90328726916262,45.93902815967812,43.58552390644742
153,8/11/2020,48.189999,-0.021148555,0.001637874,-0.001523503,48.07772331107934,47.09157644099289,44.68287377502332
154,8/12/2020,49.189999,0.020538821,0.001630378,-0.001380241,47.066540316238054,46.10112771193161,43.7566999684589
155,8/13/2020,48.560001,-0.012890163,0.001620709,-0.001454499,48.051708595712256,47.06916618519437,44.69005564065291
156,8/14/2020,48.889999,0.006772689,0.001610751,-0.00140176,47.43567140752731,46.4693950412837,44.1242085355132
157,8/17/2020,48.93,0.000817849,0.001600522,-0.001387623,47.764896351413036,46.79516079001712,44.44089525110591
158,8/18/2020,48.650002,-0.005738856,0.001590512,-0.001415162,47.810244473637844,46.8432280498278,44.49622926777743
159,8/19/2020,48.330002,-0.006599323,0.001580676,-0.001447767,47.538744577881026,46.576411563514206,44.23967304248374
160,8/20/2020,49.169998,0.017231114,0.001572964,-0.001331024,47.22360081161611,46.27166734417674,43.96047396573473
161,8/21/2020,49.279999,0.002234658,0.001563273,-0.001308877,48.0594221322085,47.09286192695259,44.73758528781847
162,8/24/2020,49.139999,-0.002844952,0.001553637,-0.001318359,48.16564807038434,47.19914872792101,44.85416529602843
163,8/25/2020,49.43,0.005884181,0.001544422,-0.001274171,48.0385468451281,47.08282816436478,44.740990303456904
164,8/26/2020,49.549999,0.002424713,0.001535088,-0.001251617,48.326141157324855,47.35926570787097,45.02257156158589
165,8/27/2020,49.400002,-0.003031776,0.001525803,-0.001262406,48.44472309776968,47.48072106269627,45.144186529612675
166,8/28/2020,50.43,0.020635771,0.001519483,-0.001130489,48.294091901894355,47.34177817153692,45.01429323241268
167,8/31/2020,50.950001,0.010258543,0.001511156,-0.001062292,49.31731964177855,48.342661681118884,45.971941898525905
168,9/1/2020,50.790001,-0.003145275,0.001502187,-0.00107469,49.83274631397221,48.84994751421002,46.463553187853826
169,9/2/2020,52.25,0.028340386,0.001498388,-0.000900637,49.67889340680789,48.70026666323324,46.33432171012213
170,9/3/2020,50.389999,-0.036247168,0.00149688,-0.001108557,51.11752564102336,50.11414074924031,47.67346713756518
171,9/4/2020,50.080002,-0.006170956,0.001488275,-0.001138162,49.28418800829959,48.317155395454016,45.973301836549055
172,9/8/2020,48.91,-0.023639892,0.001482549,-0.001268986,48.98355092202114,48.02473916751966,45.67925071412958
173,9/9/2020,49.619999,0.014412084,0.001475393,-0.001178344,47.83538738251537,46.90001445500514,44.64027946951825
174,9/10/2020,48.959999,-0.01339034,0.001467765,-0.001248528,48.5332345271809,47.58763078764726,45.284728610963064
175,9/11/2020,49.279999,0.006514681,0.001459721,-0.001204167,47.888478416573385,46.96120743963988,44.6941663125882
176,9/14/2020,49.41,0.002634534,0.00145151,-0.001182356,48.20979761875354,47.27575059693684,45.009520740608586
177,9/15/2020,50.0,0.011870173,0.001444267,-0.001108613,48.33943525344435,47.402918995520544,45.12854153810616
178,9/16/2020,50.369999,0.007372734,0.001436555,-0.001060965,48.92454965569833,47.98003498700073,45.688402640971105
179,9/17/2020,50.32,-0.000993128,0.001428529,-0.001060586,49.29414763240382,48.349124283992204,46.0436229366779
180,9/18/2020,49.889999,-0.008582051,0.001420905,-0.001102372,49.245629501707384,48.30316823167873,46.00993713153999
181,9/21/2020,49.720001,-0.003413275,0.001413084,-0.001115139,48.82404092947509,47.889595269105165,45.61749279153291
182,9/22/2020,49.950001,0.004615238,0.0014055,-0.001083654,48.662953653150886,47.738372190326075,45.47919839304946
183,9/23/2020,48.82,-0.02288246,0.001400402,-0.001202773,48.88869808319181,47.96133416037841,45.702424397015925
184,9/24/2020,49.16,0.00694022,0.001393149,-0.001158517,47.780000234159,46.87544994635015,44.662394075806745
185,9/25/2020,49.939999,0.01574198,0.001387154,-0.001067163,48.11585346320525,47.20719171027482,44.97536392462427
186,9/28/2020,51.43,0.029399395,0.00138466,-0.000903365,48.888758531983314,47.965141121313,45.71420334017463
