,Date,CAH,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,50.060001,-0.00019972,0.001548069,-8.32e-06,49.002030706578005,48.017952733244464,45.62662550795376
73,4/17/2020,51.23,0.023102992,0.001534079,0.000308273,48.99785437641642,48.019805518873525,45.64754241780696
74,4/20/2020,50.740002,-0.009610704,0.00151466,0.000174233,50.16234155945319,49.165343603629644,46.75526816804714
75,4/21/2020,48.27,-0.049904344,0.001527457,-0.000493482,49.686902159027824,48.706708392875875,46.31204739465225
76,4/22/2020,49.040001,0.015826062,0.001510817,-0.000278751,47.23022964593831,46.29257179574136,44.01360038880432
77,4/23/2020,49.32,0.005693366,0.001491653,-0.000201191,48.00137477347469,47.05675580121138,44.762529348074274
78,4/24/2020,50.32,0.020072934,0.001477732,5.87e-05,48.28540522933838,47.34180031547967,45.04616855382415
79,4/27/2020,51.93,0.031494045,0.001471377,0.000456649,49.28068913037401,48.32023210360567,45.98432417161471
80,4/28/2020,51.450001,-0.009286176,0.001454156,0.000334864,50.882665138917424,49.89031872881193,47.47499117033321
81,4/29/2020,51.360001,-0.001750803,0.001436257,0.000309115,50.41274758574394,49.43989473655569,47.0648571438861
82,4/30/2020,49.48,-0.037291131,0.001435772,-0.000149425,50.32649435064469,49.365499564333874,47.00431951542891
83,5/1/2020,47.419998,-0.042524509,0.001439847,-0.000659968,48.458914723452,47.52971209976963,45.260429432737695
84,5/4/2020,47.02,-0.008470995,0.001423424,-0.000752957,46.42269513573628,45.53102990297259,43.35228599009822
85,5/5/2020,47.450001,0.009103503,0.001407807,-0.000636998,46.0324879601873,45.151802431268194,42.99839791268734
86,5/6/2020,47.400002,-0.001054275,0.001391439,-0.00064185,46.464430442985766,45.579657091405295,43.42547762492487
87,5/7/2020,48.52,0.023353813,0.001381988,-0.000366038,46.42089520002962,45.54477339627072,43.408691923167666
88,5/8/2020,49.880001,0.027644057,0.001375098,-4.77e-05,47.531395335734956,46.632323452012,44.44106938527489
89,5/11/2020,53.240002,0.06518989,0.00140693,0.000685266,48.88105278663871,47.96193897209263,45.71314694935786
90,5/12/2020,50.099998,-0.060789063,0.001432821,2.22e-06,52.20510052770534,51.208511972398604,48.79617388277462
91,5/13/2020,47.599998,-0.051188249,0.001445555,-0.000560315,49.085507412248226,48.14454855088501,45.84494168610612
92,5/14/2020,47.299999,-0.006322445,0.0014302,-0.000622947,46.60104428973555,45.70449048249532,43.50986448948289
93,5/15/2020,48.950001,0.034289115,0.001427786,-0.000247548,46.311265995208466,45.42237860594093,43.26233605562045
94,5/18/2020,52.209999,0.064474639,0.001456686,0.000440986,47.94541355261697,47.022973088611046,44.78589812808033
95,5/19/2020,51.560001,-0.012527831,0.001443104,0.000304472,51.16389943611709,50.17199954458732,47.7599716134452
96,5/20/2020,52.950001,0.026601893,0.001435201,0.000578403,50.52661783064481,49.5554218670044,47.176457921945826
97,5/21/2020,53.18,0.004334295,0.001420549,0.000617124,51.903726287445544,50.90911006178193,48.48366897498177
98,5/22/2020,53.59,0.007680098,0.001406557,0.000689195,52.13466735832027,51.133232139194675,48.7092806487146
99,5/26/2020,52.599998,-0.018646402,0.001396088,0.000493886,52.543172435626325,51.54453701462007,49.11852872918023
100,5/27/2020,53.75,0.021627585,0.001386549,0.000705223,51.56696312063616,50.59210900500922,48.21152207110908
101,5/28/2020,54.369999,0.011468846,0.001373956,0.000811793,52.711408457952025,51.714624529825436,49.287706948212524
102,5/29/2020,54.689999,0.005868346,0.001360734,0.000861367,53.32967896180756,52.328634463484654,49.88791092421176
103,6/1/2020,54.700001,0.000182869,0.001347528,0.00085478,53.64850831290541,52.6463582502407,50.20373100570018
104,6/2/2020,55.77,0.019372363,0.001337836,0.001032834,53.6673989488031,52.66851658713959,50.23710968088008
105,6/3/2020,56.619999,0.015126172,0.001326968,0.001167056,54.73118294215255,53.715761742402336,51.22968943821669
106,6/4/2020,56.490002,-0.002298595,0.001314562,0.001134361,55.57852782013935,54.551273239510024,52.0480138696398
107,6/5/2020,57.27,0.01371326,0.001303741,0.001251921,55.45167915140655,54.42713664613444,51.95716762079704
108,6/8/2020,59.310001,0.035001016,0.001302118,0.001564413,56.233123529280505,55.201084147111494,52.69001431980625
109,6/9/2020,57.650002,-0.028387661,0.001298327,0.001289623,58.25079669581003,57.187338948040214,54.59209607636326
110,6/10/2020,55.470001,-0.038547929,0.001300821,0.000927463,56.60452262377572,55.56791383667046,53.04627664314018
111,6/11/2020,52.490002,-0.055219639,0.001317247,0.000421634,54.44455239374943,53.447916057684274,51.02606373830163
112,6/12/2020,52.889999,0.007591553,0.00130594,0.000485651,51.48292724841794,50.53170899113965,48.205182607438886
113,6/15/2020,53.459999,0.010719426,0.001295302,0.000576215,51.88630556419737,50.93585409409407,48.62088400760738
114,6/16/2020,54.5,0.01926701,0.001286977,0.000740169,52.45543364368178,51.496589040349214,49.17320502627413
115,6/17/2020,53.66,-0.015532857,0.001278069,0.000598665,53.49011820820375,52.518167824332096,50.125583534122015
116,6/18/2020,53.110001,-0.010302592,0.001268067,0.000504688,52.66019387843144,51.7056359532352,49.37034701191539
117,6/19/2020,53.810001,0.013094089,0.001258572,0.00061229,52.1216131008226,51.18175055946249,48.86905928520989
118,6/22/2020,53.82,0.000185803,0.001247907,0.000608676,52.81261653092969,51.86201656928798,49.54471563322623
119,6/23/2020,53.48,-0.006337393,0.001237823,0.000550306,52.82963414987554,51.88746805103265,49.575367776086594
120,6/24/2020,52.009998,-0.027871783,0.001234183,0.000313455,52.49801587727272,51.55956555574838,49.26618502518464
121,6/25/2020,51.869999,-0.0026954,0.001224058,0.000288588,51.041614393935326,50.13304836512099,47.92623445022663
122,6/26/2020,50.549999,-0.025777643,0.001219548,7.49e-05,50.912610909641174,50.01100624140565,47.81016013142432
123,6/29/2020,51.970001,0.027703723,0.001215788,0.000299555,49.60284356192997,48.728412955715214,46.586396503052754
124,6/30/2020,52.189999,0.004224238,0.001206107,0.000331206,51.012668072857345,50.10749591486404,47.89457764305035
125,7/1/2020,51.68,-0.009820027,0.001197276,0.000249996,51.23458113096323,50.33421679030227,48.13113889469177
126,7/2/2020,51.799999,0.00231927,0.001187807,0.000266419,50.73580659482009,49.844564395917914,47.66141203970952
127,7/6/2020,51.740002,-0.001158915,0.00117847,0.000255195,50.856264803083434,49.966005774903444,47.798402452104824
128,7/7/2020,50.220001,-0.029817842,0.001176274,2.02e-05,50.79847707572828,49.91422537380742,47.75870459683359
129,7/8/2020,50.290001,0.001392896,0.00116717,3.09e-05,49.298901818605536,48.43895976657924,46.34018708735299
