,Date,CVX,PDR,VAR,AVG,VAR70,VAR85,VAR99
71,4/15/2020,82.489998,-0.025375425,0.003588845,-0.005445928,81.3980350876014,78.92181416751342,72.99487719935435
72,4/16/2020,79.989998,-0.030775448,0.003547787,-0.005797727,79.35909579113456,76.96081971543813,71.24471268710612
73,4/17/2020,87.169998,0.08595861,0.00361294,-0.004540791,76.95455551901281,74.63287301008538,69.11732680834588
74,4/20/2020,83.57,-0.042175608,0.003582998,-0.00504937,83.93619698469126,81.38859795086078,75.35416129471137
75,4/21/2020,81.639999,-0.023365278,0.003539638,-0.005293582,80.44427326601517,78.0175895237823,72.26470168456028
76,4/22/2020,84.440002,0.033721921,0.003512829,-0.00478022,78.5777168079635,76.2131864477207,70.59224957530061
77,4/23/2020,86.800003,0.02756541,0.003480619,-0.004360147,81.31905548546304,78.88365968117918,73.09458580914895
78,4/24/2020,87.010002,0.002416421,0.003436577,-0.004273268,83.64170202134447,81.15629494614356,75.19466208129731
79,4/27/2020,89.709999,0.030559157,0.00340824,-0.003832351,83.86486414930319,81.38119456659014,75.46375414226861
80,4/28/2020,89.910004,0.00222698,0.00336609,-0.003756609,86.53270127262313,83.98938424992352,77.89168016257416
81,4/29/2020,94.620003,0.051059687,0.003361172,-0.003079865,86.75493178208178,84.22062385720857,78.15569053566783
82,4/30/2020,92.0,-0.028080325,0.003327711,-0.003384749,91.33007133684947,88.67247836008639,82.27467121937723
83,5/1/2020,89.440002,-0.028220545,0.00329496,-0.003683975,88.8203861515006,86.23222772990164,80.07285082499467
84,5/4/2020,91.440002,0.02211501,0.003263564,-0.003376844,86.32819889288658,83.83094457005578,77.82394630966216
85,5/5/2020,92.889999,0.015732945,0.003229415,-0.003152023,88.29078305160836,85.74828982966346,79.66015932749944
86,5/6/2020,90.050003,-0.031050882,0.003200809,-0.003476429,89.7366932823207,87.15826475430904,80.99162314788188
87,5/7/2020,92.639999,0.028355898,0.003175531,-0.00311054,86.9683070286291,84.49216949005684,78.54367404037835
88,5/8/2020,95.470001,0.030091069,0.00315183,-0.002733249,89.52331126917605,86.97806850487027,80.86644217193995
89,5/11/2020,93.370003,-0.022241946,0.003120644,-0.002952448,92.306708313836,89.69264596172906,83.39936157764208
90,5/12/2020,91.099998,-0.024612344,0.003091125,-0.003193113,90.26603299710055,87.727182700979,81.62800843380268
91,5/13/2020,88.699997,-0.026697927,0.003063161,-0.003451408,88.0621709657893,85.5946027427339,79.69195480745812
92,5/14/2020,90.050003,0.015105249,0.003033568,-0.003249705,85.73789183138099,83.33785362679512,77.62380338202716
93,5/15/2020,89.160004,-0.009932552,0.003001424,-0.003321564,87.07822661309687,84.65793935240725,78.87068533346661
94,5/18/2020,92.550003,0.037316518,0.002986876,-0.002889244,86.20486912293899,83.82059584589233,78.11193387618484
95,5/19/2020,89.620003,-0.032170529,0.002964366,-0.003197468,89.55143930698058,87.07118485262652,81.15774514938802
96,5/20/2020,93.0,0.03702095,0.00295016,-0.002778526,86.68382368477431,84.30529536108823,78.57796062462195
97,5/21/2020,92.040001,-0.010376217,0.002920335,-0.002856852,90.00898295793915,87.55300474030692,81.59949784942242
98,5/22/2020,90.279999,-0.019307335,0.002893269,-0.003024715,89.08182329987405,86.65035066755743,80.78577766343804
99,5/26/2020,93.300003,0.032904199,0.002876952,-0.002661796,87.38334293659805,85.01464030290569,79.34141193587777
100,5/27/2020,93.900002,0.006410268,0.002848997,-0.002571076,90.3321449348727,87.89241421627032,82.02208185613388
101,5/28/2020,90.870003,-0.032800461,0.002829747,-0.002870376,90.9470666751868,88.49746350256834,82.58927723926071
102,5/29/2020,91.699997,0.0090924,0.002803394,-0.002753094,87.98758630198999,85.63155285291923,79.91735524385984
103,6/1/2020,92.790001,0.01181654,0.002778217,-0.002611642,88.83277869985479,86.45333845687313,80.75664466123538
104,6/2/2020,94.690002,0.020269533,0.00275649,-0.00239163,89.90389486064893,87.51320531504983,81.78065273153423
105,6/3/2020,97.18,0.02595651,0.002737818,-0.002121648,91.7684752120801,89.3349378991592,83.47935170698926
106,6/4/2020,96.279999,-0.009304326,0.002712471,-0.002189409,94.21645071721441,91.72699060072333,85.75518121684075
107,6/5/2020,100.809998,0.045976935,0.002708601,-0.001739256,93.35169981998321,90.8899291101895,84.99084880989649
108,6/8/2020,103.239998,0.023818818,0.002689514,-0.001502608,97.78996644234473,95.21006342383859,89.03848364341431
109,6/9/2020,101.529999,-0.016702044,0.002666939,-0.001642052,100.17193929680374,97.54117254054347,91.24603993914138
110,6/10/2020,97.580002,-0.039681737,0.002655729,-0.001987867,98.52150416090383,95.95450302870967,89.81589297575847
111,6/11/2020,89.370003,-0.087887486,0.00269768,-0.002761738,94.66183798819095,92.19198068359577,86.27544279907578
112,6/12/2020,92.389999,0.033233648,0.002685059,-0.00244035,86.62313839472867,84.34356982426668,78.8661545049294
113,6/15/2020,91.230003,-0.012634914,0.002662209,-0.002530568,89.58758031686004,87.23292946212229,81.62036522202261
114,6/16/2020,94.029999,0.030230046,0.002648188,-0.002243194,88.45159113009883,86.13485925701337,80.6021190474075
115,6/17/2020,91.540001,-0.026837824,0.002630375,-0.00245706,91.19826909522612,88.81930930456028,83.11513349824233
116,6/18/2020,91.940002,0.004360166,0.002608096,-0.002398291,88.78213557219911,86.47371714271827,80.93263746869003
117,6/19/2020,90.629997,-0.014350961,0.002587015,-0.002500451,89.18526246752663,86.8851308043124,81.34489160678211
118,6/22/2020,91.589996,0.010536801,0.00256652,-0.002389965,87.90875688637237,85.65481456637703,80.22245809160066
119,6/23/2020,91.440002,-0.00163901,0.002544957,-0.002383655,88.86249392083667,86.58655669310934,81.09120342738542
120,6/24/2020,87.639999,-0.042445538,0.002537012,-0.002717504,88.73494982601295,86.47072293060762,81.0095026612006
121,6/25/2020,89.209999,0.017755626,0.002519481,-0.002548304,85.0118360025257,82.84641223873905,77.65776985255054
122,6/26/2020,86.459999,-0.031311262,0.002505555,-0.002784066,86.55823616394416,84.36363874354006,79.06607171536719
123,6/29/2020,87.669998,0.013897875,0.002487428,-0.002648441,83.88040203089513,81.75807572944453,76.65396208844437
124,6/30/2020,89.230003,0.017637597,0.002470661,-0.002484844,85.06864940099464,82.91678393032863,77.7803849989211
125,7/1/2020,87.620003,-0.018208023,0.002452857,-0.002610629,86.61424067135826,84.44783110682647,79.1776850667789
126,7/2/2020,88.309998,0.007844012,0.002434251,-0.002527656,85.04302683788096,82.90686896894712,77.76938165527496
127,7/6/2020,88.57,0.002939871,0.002415317,-0.002484604,85.72716402405852,83.58801701895688,78.41925329187352
128,7/7/2020,86.309998,-0.025847757,0.002400678,-0.002667129,85.98909730041282,83.85320974697022,78.71567922493705
129,7/8/2020,86.349998,0.000463338,0.002382144,-0.002642862,83.794943907117,81.72102855712586,76.70910958174944
130,7/9/2020,82.739998,-0.042705645,0.002376071,-0.002951037,83.85487636859224,81.77049985001442,76.80813775110775
131,7/10/2020,85.230003,0.029650383,0.002365984,-0.002702171,80.31396660621297,78.34155747787928,73.58109343965616
132,7/13/2020,85.400002,0.001992604,0.002348226,-0.002666605,82.75573202220198,80.72125867475529,75.80712810619539
133,7/14/2020,88.349998,0.033960052,0.002340581,-0.002391216,82.94307604323807,80.90821436433345,76.01399089604124
134,7/15/2020,88.889999,0.006093463,0.002323647,-0.002327898,85.82373790338788,83.7331860511332,78.65823704242345
135,7/16/2020,88.360001,-0.005980249,0.002306533,-0.002354952,86.37126302188696,84.25477548341885,79.17432581022597
136,7/17/2020,87.190002,-0.013329721,0.002290452,-0.002435649,85.86208735806414,83.77993047898694,78.75571113428109
137,7/20/2020,85.269997,-0.022267011,0.002276583,-0.002580404,84.7211243202593,82.67076976126282,77.72025890216254
138,7/21/2020,91.389999,0.069313395,0.002297269,-0.002059434,82.8470423719454,80.84671424825733,76.03567790075938
139,7/22/2020,91.040001,-0.003837071,0.002280765,-0.002072223,88.84854527297834,86.68973072874647,81.49720848887756
140,7/23/2020,91.010002,-0.000329569,0.002264495,-0.002059775,88.50185916714769,86.36676796472567,81.18064680534832
141,7/24/2020,90.129997,-0.009716373,0.002248848,-0.002114078,88.48406667055667,86.35834566665233,81.23064605798477
142,7/27/2020,91.040001,0.010045942,0.002234045,-0.002028444,87.63959541948726,85.54277340229336,80.4773734695763
143,7/28/2020,89.110001,-0.021427409,0.002221035,-0.002164101,88.53464200145955,86.42271855907927,81.30242345265678
144,7/29/2020,90.07,0.010715573,0.002206756,-0.002074658,86.64263324906196,84.57640030056568,79.59430495149788
145,7/30/2020,86.269997,-0.043105267,0.002203067,-0.002357628,87.58836007351353,85.52024832761198,80.51339754721762
146,7/31/2020,83.940002,-0.027379597,0.002192236,-0.002529012,83.88529182685718,81.89184756829744,77.08283775904447
147,8/3/2020,84.809998,0.010311155,0.002178437,-0.002441663,81.60875561002759,79.67566669330064,75.03247674210773
148,8/4/2020,86.489998,0.01961534,0.002166983,-0.00229263,82.46791053113043,80.521867092199,75.81253853220502
149,8/5/2020,87.199997,0.008175519,0.00215317,-0.002222374,84.11970339247004,82.14112729713695,77.36243629364762
150,8/6/2020,87.470001,0.003091592,0.002139002,-0.002186947,84.82658512350598,82.83755843126099,78.0391858945564
151,8/7/2020,86.800003,-0.007689233,0.002125036,-0.002223386,85.09034879898431,83.1032188197802,78.28550176289625
152,8/10/2020,89.730003,0.033198539,0.002119256,-0.001990347,84.44016685469565,82.46965428401832,77.70837315334684
153,8/11/2020,89.620003,-0.001226652,0.002105408,-0.001985356,87.3269375553287,85.29225590766792,80.3818100902855
154,8/12/2020,90.720001,0.012199308,0.002093035,-0.001893248,87.2190073504706,85.1967296308538,80.2878365088359
155,8/13/2020,89.82,-0.009970183,0.00207995,-0.001945357,88.3135789814143,86.27453620081815,81.33017759547138
156,8/14/2020,90.349998,0.005883327,0.002067007,-0.001895173,87.44609046304853,85.42289506615153,80.55544123851968
157,8/17/2020,90.769997,0.004637807,0.002054111,-0.001853562,87.96330421535204,85.93597819472372,81.06280063025059
158,8/18/2020,87.629997,-0.035205431,0.002048106,-0.002064649,88.38670749842989,86.35828459458034,81.4282185746172
