,Date,WMT,PDR,VAR,AVG,VAR70,VAR85,VAR99
71,4/15/2020,128.759995,-0.001862237,0.000913985,0.001117338,127.04866674166455,125.08985131267218,120.25600530475475
72,4/16/2020,132.330002,0.02734865,0.000910714,0.001481662,126.81757210957093,124.87054094726163,120.10847438043113
73,4/17/2020,132.119995,-0.001588255,0.000898366,0.001439608,130.3901049160295,128.39177878980777,123.49557633600033
74,4/20/2020,129.850006,-0.017330578,0.000890923,0.001185957,130.18941608917848,128.20942534282443,123.35552454525842
75,4/21/2020,129.210007,-0.004940942,0.000879538,0.001104265,127.93622269779004,125.9902400816828,121.22061802862743
76,4/22/2020,131.589996,0.018251956,0.000871783,0.001329892,127.29423776984481,125.37233434936323,120.66346022725745
77,4/23/2020,128.529999,-0.023528665,0.000868382,0.001007054,129.68959893150532,127.73603109386883,122.97070181725536
78,4/24/2020,129.440002,0.007055136,0.000857712,0.001084593,126.63415843356103,124.74058998636576,120.0657101791924
79,4/27/2020,128.300003,-0.008846174,0.000848087,0.000958888,127.54354826277614,125.64524149602201,120.9903028267062
80,4/28/2020,128.0,-0.002341031,0.000837621,0.000917639,126.4285472399216,124.5534438934916,119.96471709073047
81,4/29/2020,123.599998,-0.034979735,0.000842992,0.000474461,126.12880718370447,124.28308980932427,119.72092537795366
82,4/30/2020,121.550003,-0.016724803,0.000836275,0.000264714,121.74750145500144,119.95030562678492,115.5283834970923
83,5/1/2020,122.919998,0.011207996,0.000827625,0.000396561,119.70372036649282,117.94276837435407,113.61652248241295
84,5/4/2020,123.699997,0.006325534,0.000818186,0.000467144,121.07040337123749,119.29997358384509,114.95333674777487
85,5/5/2020,124.730003,0.00829217,0.000809272,0.000559203,121.87217696301266,120.10642796197293,115.73590411995772
86,5/6/2020,123.300003,-0.011530991,0.000801542,0.000418619,122.9083967204242,121.12360113257105,116.76595920754728
87,5/7/2020,121.889999,-0.011501444,0.000793943,0.000281607,121.48852723815307,119.7430598632256,115.44376145275089
88,5/8/2020,122.940002,0.008577457,0.000785694,0.000375878,120.08434361602568,118.36076243436312,114.14069151299691
89,5/11/2020,123.669998,0.005920264,0.000777208,0.000438175,121.14226294422855,119.4184092190937,115.16304717251609
90,5/12/2020,123.779999,0.000889077,0.000768574,0.000443185,121.87521230445483,120.1507198037274,115.8950539783655
91,5/13/2020,123.709999,-0.000565679,0.00076014,0.000432098,122.00088280614578,120.28005688970123,116.05130380972109
92,5/14/2020,123.419998,-0.002346952,0.00075196,0.000401891,121.93856670141083,120.2328014445658,116.02666840363067
93,5/15/2020,125.940002,0.020212462,0.000748049,0.000614908,121.65915851165128,119.96436644249312,115.78199155104488
94,5/18/2020,127.660004,0.013564892,0.000741856,0.000752674,124.17907592225735,122.44965114925309,118.18516652781976
95,5/19/2020,124.949997,-0.021456878,0.000739185,0.000518889,125.90120525357909,124.15328507563852,119.86155857904835
96,5/20/2020,125.449997,0.003993616,0.00073161,0.000555084,123.19901976080878,121.4879023476439,117.30419478674231
97,5/21/2020,124.989998,-0.003673531,0.00072425,0.00051149,123.7141429130936,122.01484605638466,117.81717757913987
98,5/22/2020,124.330002,-0.005294381,0.0007172,0.000452247,123.25921607273996,121.57105248267128,117.43959802625194
99,5/26/2020,123.860001,-0.003787433,0.000710135,0.000409421,122.609605867719,120.94110135619067,116.83239132712309
100,5/27/2020,122.480003,-0.011204128,0.000704369,0.000293286,122.15775226414524,120.49745329320523,116.42022447315382
101,5/28/2020,123.690002,0.009830676,0.000698287,0.000387716,120.7844290405024,119.14766483356078,115.14586709390193
102,5/29/2020,124.059998,0.002986852,0.000691506,0.000413197,121.98943049787405,120.34741542767401,116.33374100234855
103,6/1/2020,123.959999,-0.000806379,0.000684807,0.000401357,122.36668327673263,120.73612738596356,116.69252962224222
104,6/2/2020,123.940002,-0.000161331,0.000678225,0.000395946,122.27365950418582,120.6493317415092,116.63270696451359
105,6/3/2020,123.470001,-0.003799374,0.000671932,0.000355991,122.27078483255673,120.65456030567715,116.65713509535503
106,6/4/2020,122.110001,-0.011075934,0.000666814,0.000248143,121.80215872665042,120.20099859681588,116.26086297758428
107,6/5/2020,121.559998,-0.004514334,0.000660792,0.000203633,120.46308279684823,118.88382486324338,114.98448690905201
108,6/8/2020,121.239998,-0.002635916,0.000654748,0.000177341,119.92075480585471,118.35115821628007,114.50759788677989
109,6/9/2020,121.349998,0.00090688,0.000648746,0.000184034,119.60864499478699,118.0513883509294,114.20791951267495
110,6/10/2020,121.160004,-0.001566897,0.000642876,0.000168117,119.72066709805544,118.16951079318704,114.3459652412003
111,6/11/2020,120.089996,-0.008870591,0.000637814,8.67e-05,119.53557336487093,117.9968367862122,114.18952450886295
112,6/12/2020,117.739998,-0.019762642,0.000635605,-9.05e-05,118.49129298938058,116.96287448457433,113.18987096046142
