,Date,BA,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,134.240005,-0.083840319,0.006120943,-0.01263158,138.0560649528163,132.63231997688214,119.82843663286782
73,4/17/2020,154.0,0.137323322,0.006340909,-0.010577403,126.83144589643352,121.85135853503634,110.14666161208199
74,4/20/2020,143.610001,-0.069851303,0.006302057,-0.011378402,145.712128060256,139.8746045663197,126.24421915598515
75,4/21/2020,136.330002,-0.052022867,0.006239762,-0.011920328,135.76441486173687,130.36949937543235,117.72282019151655
76,4/22/2020,134.970001,-0.010025893,0.006157707,-0.011895401,128.84424597962152,123.73638031966415,111.76866288023209
77,4/23/2020,137.740005,0.020315347,0.006091036,-0.01147708,127.59828951610234,122.58712749837737,110.78549356529751
78,4/24/2020,128.979996,-0.065710564,0.006050171,-0.012172381,130.31298741218555,125.20991174701935,113.22398760201874
79,4/27/2020,128.679993,-0.002328675,0.005974798,-0.012047777,121.94875506351288,117.17576043080578,106.01873384137951
80,4/28/2020,131.300003,0.020156156,0.005912914,-0.011645228,121.72392859409942,116.99346817816047,105.93872613757128
81,4/29/2020,139.0,0.056989129,0.005897354,-0.01079789,124.28324452665512,119.49679976916674,108.22355813640958
82,4/30/2020,141.020004,0.01442782,0.005833101,-0.010490259,131.7098719844644,126.6388713641123,114.70013156949251
83,5/1/2020,133.369995,-0.05577457,0.005787231,-0.011035853,133.6600519454861,128.54391541115544,116.51795028106974
84,5/4/2020,131.460007,-0.014424507,0.005718471,-0.011076194,126.39244086857106,121.56956392941183,110.19062948163031
85,5/5/2020,125.400002,-0.047194032,0.005666361,-0.01150111,124.60661371204033,119.86379819638853,108.74974980675024
86,5/6/2020,121.860001,-0.028635791,0.005603848,-0.011700351,118.86990610066475,114.36627821548986,103.76689650739954
87,5/7/2020,128.649994,0.054222639,0.005588814,-0.010942615,115.49341651035068,111.14118382378895,100.89958017584524
88,5/8/2020,133.440002,0.036556462,0.005550651,-0.010402853,121.9986768558613,117.43143295924627,106.63838539526604
89,5/11/2020,128.910004,-0.034537436,0.005494755,-0.010674028,126.63811010513008,121.91093493492895,110.73239373459087
90,5/12/2020,125.220001,-0.029042319,0.00543741,-0.01087812,122.33261415261441,117.79054821068841,107.0270660645557
91,5/13/2020,121.5,-0.030157936,0.005381698,-0.011089986,118.860355965777,114.44170491297476,104.0732288507137
92,5/14/2020,122.519997,0.008359995,0.005327268,-0.010878573,115.3144519454422,111.06517267750732,101.03617131208475
93,5/15/2020,120.0,-0.020782515,0.005271029,-0.010985067,116.31646132933506,112.07435843841746,101.9639994098344
94,5/18/2020,135.440002,0.12103701,0.005398406,-0.009580577,113.95862435780447,109.7955663220518,100.0141163290731
95,5/19/2020,130.440002,-0.037615386,0.005349766,-0.00987568,128.7212373818738,123.97323664074476,112.82680354479697
96,5/20/2020,133.320007,0.02183894,0.005304408,-0.00954532,123.9624914794908,119.40968561721037,108.6392792630685
97,5/21/2020,139.0,0.041721627,0.00527654,-0.009016795,126.76849673386789,122.12807394456708,111.14385621333554
98,5/22/2020,137.529999,-0.010631865,0.005222724,-0.009033275,132.26344122778212,127.43564790771843,116.00446405961
99,5/26/2020,144.729996,0.051027842,0.005206039,-0.008426597,130.8818122702938,126.13789310688654,114.93245352084915
100,5/27/2020,149.520004,0.03256028,0.00517061,-0.008016728,137.8378122105452,132.8390561391758,121.03972056296347
101,5/28/2020,149.820007,0.00200443,0.0051204,-0.007917509,142.47744364096476,137.32867958080627,125.18251086524364
102,5/29/2020,145.850006,-0.026855883,0.005073682,-0.008103179,142.79978037496005,137.67639686040005,125.53326743083211
