,Date,CVS,PDR,VAR,AVG,VAR70,VAR85,VAR99
71,4/15/2020,60.560001,-0.0163777,0.001365505,-0.002853385,60.175823301818355,59.03849812035215,56.266646774721046
72,4/16/2020,62.560001,0.032491487,0.001363649,-0.002362484,59.190680525997195,58.085436683557305,55.38564051694462
73,4/17/2020,63.360001,0.012706651,0.001348037,-0.002156058,61.17395745240932,60.02767519872231,57.237178216121876
74,4/20/2020,62.34,-0.016229489,0.001332461,-0.002346239,61.97558466020294,60.82157076873251,58.02207473991041
75,4/21/2020,60.25,-0.034100702,0.00132796,-0.002769632,60.97190009049588,59.841298448719016,57.09708424559414
76,4/22/2020,60.349998,0.001658342,0.001310741,-0.002711369,58.907303004133574,57.82198084386813,55.16277983470949
77,4/23/2020,61.279999,0.015292595,0.001297874,-0.002477552,59.01512609768402,57.93237800837472,55.28940845759958
78,4/24/2020,62.310001,0.016668433,0.001285874,-0.00223209,59.946359594435854,58.84950974461847,56.17833542443431
79,4/27/2020,63.5,0.018917963,0.001275187,-0.001964368,60.9785237363156,59.86930222327344,57.16739341701491
80,4/28/2020,63.240002,-0.004102862,0.001259304,-0.001991099,62.15279648432583,61.03249934888845,58.293489089378554
81,4/29/2020,62.610001,-0.010012018,0.001244541,-0.002090123,61.91468465369375,60.80183552631673,58.080398218218924
82,4/30/2020,61.549999,-0.017075189,0.001232069,-0.002272868,61.29133448809915,60.19258856177754,57.51197007427494
83,5/1/2020,59.700001,-0.030517799,0.001226721,-0.002613168,60.25311259699839,59.18001704897411,56.563054836233334
84,5/4/2020,59.950001,0.004178861,0.00121266,-0.00253231,58.42383389420199,57.38162654535673,54.84958243435741
85,5/5/2020,61.209999,0.02079966,0.001204722,-0.002257817,58.679871653558166,57.645481548817244,55.09755247144276
86,5/6/2020,60.41,-0.013155904,0.001192079,-0.002384539,59.93634756864427,58.877127214135854,56.29217608787107
87,5/7/2020,61.450001,0.017069198,0.001182677,-0.002160932,59.14991232623587,58.11280838268179,55.5739471134701
88,5/8/2020,63.119999,0.026813808,0.001178669,-0.001831674,60.19139160898426,59.140128235304054,56.573960939646305
89,5/11/2020,63.84,0.011342292,0.001167354,-0.001683652,61.846674045804505,60.76737275205936,58.1319167791706
90,5/12/2020,63.349998,-0.007705078,0.001154781,-0.001750557,62.56602252316285,61.48434266644989,58.83172151153234
91,5/13/2020,61.150002,-0.03534498,0.001154357,-0.002119726,62.08461142811375,61.015545685479985,58.39346789805291
92,5/14/2020,62.310001,0.018792048,0.001146512,-0.001892424,59.90872788819203,58.87509115814344,56.348365791874606
93,5/15/2020,63.189999,0.014024102,0.001136878,-0.001721279,61.06394311380284,60.01704502509904,57.450936392161694
94,5/18/2020,63.73,0.008509364,0.001125885,-0.001612442,61.94082058369549,60.8805720895082,58.29659591706769
95,5/19/2020,63.610001,-0.001884703,0.001114035,-0.001615308,62.481435929498545,61.41801904899082,58.81596274309134
96,5/20/2020,63.220001,-0.006149984,0.001102642,-0.001662544,62.36545163291516,61.313189078543665,58.717935306966375
97,5/21/2020,63.34,0.001896319,0.001091404,-0.001625855,61.98984377323596,60.94498658303308,58.387817954371606
98,5/22/2020,63.330002,-0.000157859,0.001080289,-0.001610875,62.11681241862627,61.07645630419898,58.53086613456971
99,5/26/2020,64.639999,0.020474217,0.001074254,-0.001387794,62.11129189997264,61.0759034381036,58.54767309228477
100,5/27/2020,65.970001,0.02036671,0.001068197,-0.001170249,63.41836645503165,62.361654784665475,59.789750881731756
101,5/28/2020,66.559998,0.008903658,0.001058615,-0.001070507,64.74074322758528,63.664424274292244,61.03565474865292
102,5/29/2020,65.57,-0.014985492,0.001050116,-0.001206928,65.33586696924483,64.25627089878024,61.59762406829365
103,6/1/2020,65.639999,0.001066977,0.001039971,-0.001184852,64.35565592412078,63.29833221882533,60.702705318920046
104,6/2/2020,66.839996,0.018116393,0.001033519,-0.000999263,64.43448626018322,63.37404982454752,60.79781542518164
105,6/3/2020,66.849998,0.00014963,0.001023688,-0.000988321,65.61975385548674,64.54646321215145,61.93610320306128
106,6/4/2020,66.529999,-0.004798315,0.001014166,-0.001024264,65.63726225636753,64.5718029160162,61.959386879665054
107,6/5/2020,68.349998,0.026988575,0.001011954,-0.000762462,65.33033189641183,64.27170735715146,61.686274293499174
108,6/8/2020,70.620003,0.032671899,0.001012838,-0.000452885,67.13199772490165,66.05040343921888,63.40292193289375
109,6/9/2020,69.370003,-0.017858892,0.0010063,-0.000612573,69.38325225791775,68.26075394204734,65.509916880085
110,6/10/2020,67.510002,-0.027178776,0.00100351,-0.000854084,68.152342154341,67.05417309254653,64.36724880354402
111,6/11/2020,63.16,-0.066604575,0.001033065,-0.001446431,66.3073953717405,65.23718255378257,62.62319167323223
112,6/12/2020,64.150002,0.015552933,0.001026399,-0.001294651,61.980912672685555,60.965695667138085,58.49724482185294
113,6/15/2020,63.32,-0.013022887,0.001018522,-0.00139844,62.96338966178314,61.93531917889118,59.41596870179831
114,6/16/2020,65.580002,0.035069567,0.001021151,-0.001078545,62.14516196019219,61.1374874522949,58.67052322798968
115,6/17/2020,65.0,-0.008883532,0.001012797,-0.001146415,64.38682769143404,63.33996679625502,60.783144275701
116,6/18/2020,64.489998,-0.007877128,0.001004453,-0.001204438,63.81844676078082,62.78709722455895,60.26487539561271
117,6/19/2020,64.489998,0.0,0.00099588,-0.001194144,63.31621348296261,62.302464459397974,59.8008651058955
118,6/22/2020,64.300003,-0.002950464,0.000987466,-0.001209028,63.325571131002235,62.310594631095306,59.83018948756786
119,6/23/2020,64.43,0.002019685,0.000979255,-0.001181896,63.13828083134339,62.127769899937405,59.67282039069615
120,6/24/2020,63.18,-0.019591568,0.000973895,-0.00133531,63.27355950985804,62.26686083222368,59.808132038018535
121,6/25/2020,64.019997,0.013207692,0.00096758,-0.00121512,62.03886481159309,61.05824501290255,58.64707418872819
122,6/26/2020,63.450001,-0.008943278,0.000960135,-0.001278465,62.8761612222584,61.88322031976151,59.4464948859519
123,6/29/2020,64.419998,0.015171903,0.000954511,-0.001144722,62.31902786509754,61.339651242331364,58.93662378082723
124,6/30/2020,64.970001,0.008501527,0.000947558,-0.00106693,63.27624611720656,62.28388155188584,59.854410639338
125,7/1/2020,64.559998,-0.006330647,0.000940197,-0.00110904,63.83447933865495,62.835544340835405,60.378104405509525
126,7/2/2020,64.699997,0.002166162,0.00093282,-0.001083046,63.43260872224282,62.440172231057,60.02307578163034
127,7/6/2020,64.93,0.003548611,0.000925642,-0.001046576,63.577568914834394,62.58665752282752,60.173855109087256
128,7/7/2020,63.919998,-0.015677496,0.00092007,-0.001160881,63.80713619987357,62.821081985691336,60.40653448109189
129,7/8/2020,63.139999,-0.012277803,0.000913888,-0.001247058,62.811188892915986,61.84079866686485,59.48565231182918
130,7/9/2020,61.279999,-0.029900958,0.000913126,-0.001467473,62.03990935497439,61.08963274162715,58.746618634318985
131,7/10/2020,62.650002,0.022110204,0.000910366,-0.001287491,60.20017626293553,59.276885533618916,57.015967454291214
132,7/13/2020,62.619999,-0.000479013,0.000903474,-0.001281366,61.560847606503486,60.61395631933783,58.30065533401267
133,7/14/2020,63.700001,0.017099878,0.000899203,-0.001143161,61.52952265162749,60.5912900587207,58.28057758020166
