,Date,CAT,PDR,VAR,AVG,VAR70,VAR85,VAR99
71,4/15/2020,111.529999,-0.043426006,0.001583188,-0.004223504,113.56872329315512,111.28125910434396,105.69291786754589
72,4/16/2020,113.220001,0.015039233,0.001566282,-0.003955966,108.67637542875865,106.48571461433707,101.14896251548616
73,4/17/2020,116.300003,0.026840248,0.00155764,-0.0035341,110.37629518561332,108.16044343741517,102.75133238391594
74,4/20/2020,114.599998,-0.014725298,0.00153826,-0.003685333,113.4338084954025,111.16136106780893,105.62623472081762
75,4/21/2020,109.849998,-0.042332006,0.001537399,-0.004200621,111.76980714635582,109.54752145420703,104.15873822001707
76,4/22/2020,110.639999,0.007165898,0.001518847,-0.004051062,107.08940910134903,104.96221410461348,99.78149149845542
77,4/23/2020,112.910004,0.020309398,0.001506729,-0.003734692,107.88310213414582,105.75637543625332,100.57074821745265
78,4/24/2020,114.040001,0.009958196,0.001489785,-0.003559143,110.13967981903393,107.96723495878472,102.70858038050024
79,4/27/2020,115.199997,0.010120449,0.001473265,-0.003385983,111.28484625630682,109.1043265997718,103.7705355434151
80,4/28/2020,115.459999,0.002254419,0.001455242,-0.003315478,112.43476562892889,110.25113530682906,104.94263998916614
81,4/29/2020,120.059998,0.03906746,0.001459179,-0.002792232,112.71486599695137,110.52251546529365,105.21982473675068
82,4/30/2020,116.379997,-0.031130928,0.001451059,-0.003137826,117.26260631919628,114.99728166068563,109.44682046751379
83,5/1/2020,110.879997,-0.048412165,0.001457974,-0.0036833,113.64132233118225,111.44413583107992,106.12807537061245
84,5/4/2020,107.720001,-0.028913231,0.001448105,-0.003983656,108.20227005202585,106.11102687480002,101.01652967520808
85,5/5/2020,108.910004,0.010986613,0.001433674,-0.003807535,105.0996919509195,103.06939849565184,98.13169750061552
86,5/6/2020,107.669998,-0.011450915,0.001417675,-0.003896412,106.29062653525172,104.24463618769502,99.24910054690544
87,5/7/2020,107.290001,-0.003535517,0.001401382,-0.003892264,105.08298347499837,103.07914045694471,98.20341492446002
88,5/8/2020,112.110001,0.043945083,0.001411166,-0.003348657,104.72508586186106,102.74168517238776,97.89837549150201
89,5/11/2020,108.610001,-0.031717048,0.001404251,-0.003667403,109.47777590139384,107.39110216467974,102.3161576471177
90,5/12/2020,105.0,-0.033803143,0.001398627,-0.004002245,106.03673621873594,104.02410309920616,99.1217526376374
91,5/13/2020,104.480003,-0.004964656,0.001383267,-0.004012821,102.47213426477535,100.53786809362792,95.81091913569148
92,5/14/2020,106.190002,0.016234267,0.001372639,-0.003792744,101.98131558528542,100.06415308487179,95.42159677456762
93,5/15/2020,107.919998,0.016160232,0.001362114,-0.003578196,103.67635042998,101.73944460317107,96.96502583835111
94,5/18/2020,115.019997,0.063715807,0.001395287,-0.002862302,105.40842151379204,103.43012643257877,98.61754767240046
95,5/19/2020,112.080002,-0.02589308,0.001386124,-0.003104731,112.39074992066254,110.26724986191172,105.09556406481349
96,5/20/2020,115.690002,0.031701297,0.001384173,-0.002742168,109.49037362142688,107.41780017097943,102.36917461126143
97,5/21/2020,114.059998,-0.014189609,0.00137124,-0.002860183,113.06222741506596,110.9229508621564,105.70831922405492
98,5/22/2020,112.470001,-0.01403808,0.00135851,-0.002974244,111.46223708231028,109.37758433170248,104.28200027792043
99,5/26/2020,117.410004,0.042985588,0.001365909,-0.002510003,109.91676973390076,107.85877544912657,102.83201311459136
100,5/27/2020,122.419998,0.041785622,0.001371674,-0.002067047,114.77465817789675,112.62937100998502,107.38230672198718
101,5/28/2020,120.739998,-0.013818282,0.001359447,-0.002183395,119.72840752667123,117.47839685510498,112.00689501206189
102,5/29/2020,120.129997,-0.005064992,0.0013462,-0.002211646,118.09138014422513,115.88438799009313,110.511516524623
103,6/1/2020,120.5,0.003075288,0.001333399,-0.002160317,117.51229562034429,115.31804969377671,109.98939291011374
104,6/2/2020,123.32,0.02313285,0.00132667,-0.001917113,117.88228071674186,115.70061429612043,110.36792617837882
105,6/3/2020,127.089996,0.030112862,0.001323712,-0.001612066,120.67328267744824,118.44980732372102,113.02636932837515
106,6/4/2020,128.960007,0.014606868,0.001313683,-0.001459057,124.40796201575128,122.10212908629693,116.5051128647798
107,6/5/2020,135.119995,0.046660902,0.001322844,-0.001009338,126.2707367750447,123.94628512196608,118.24312080306838
108,6/8/2020,137.720001,0.01905941,0.00131429,-0.000823516,132.3383844003563,129.8969448891514,123.8983889116921
109,6/9/2020,134.190002,-0.025965925,0.001307978,-0.00105418,134.91768132379545,132.43192300549933,126.38515783743529
110,6/10/2020,132.440002,-0.013126993,0.001297401,-0.001163933,131.44143437058858,129.03770968956516,123.16419954254127
111,6/11/2020,121.550003,-0.085804002,0.001349671,-0.001926456,129.7232819651535,127.35231174462704,121.57998561003018
112,6/12/2020,123.150002,0.013077415,0.001339612,-0.001792493,118.90944145805098,116.70522481881001,111.31512434117124
113,6/15/2020,123.610001,0.003728315,0.001328025,-0.001743637,120.50929822221059,118.26915913448556,112.83342947309414
114,6/16/2020,130.110001,0.051248798,0.001340792,-0.001278791,120.98027434770299,118.74864043266706,113.31867032777231
115,6/17/2020,128.229996,-0.014554759,0.001330653,-0.001394234,127.38895842058656,125.01289376799143,119.26555371814312
116,6/18/2020,127.589996,-0.005003529,0.001319293,-0.001425349,125.53507823204023,123.2136228888786,117.54689412821976
117,6/19/2020,127.459999,-0.001019385,0.001308018,-0.001421879,124.90817859148622,122.61517874128761,117.01064978199533
118,6/22/2020,125.790001,-0.013188724,0.001298097,-0.001521598,124.80941106531077,122.52008940774452,116.91788410975256
119,6/23/2020,126.25,0.00365021,0.001287411,-0.001478137,123.17687740398196,120.92291956082921,115.4396152193142
120,6/24/2020,122.059998,-0.033751357,0.00128529,-0.001747081,123.63639120482132,121.38227012488322,115.91867471206136
121,6/25/2020,124.709999,0.021478323,0.001279089,-0.001555135,119.50778188502687,117.33315012400328,112.0361425030917
122,6/26/2020,122.389999,-0.018778375,0.001271016,-0.001696309,122.11664170709193,119.91788597960353,114.52914290799305
123,6/29/2020,125.25,0.023099081,0.001265641,-0.001494721,119.84547071000436,117.67937845329305,112.3812594297541
124,6/30/2020,126.5,0.009930568,0.001256478,-0.001402581,122.67511626657539,120.46077073398826,115.03756462615675
125,7/1/2020,126.059998,-0.00348434,0.001246461,-0.001419235,123.92508107008327,121.69908175203058,116.27186608497401
126,7/2/2020,127.720001,0.013082407,0.001238224,-0.001304143,123.49397789979052,121.27278961787445,115.89264720982486
127,7/6/2020,129.429993,0.013299765,0.00123014,-0.001189152,125.15092605693219,122.91613353007165,117.46830383393417
128,7/7/2020,127.199997,-0.017379513,0.001222562,-0.001315639,126.8386975488801,124.5808721853852,119.04295722669325
129,7/8/2020,128.130005,0.007284785,0.001213653,-0.001248969,124.66121623060398,122.44271396477413,117.0446667933833
130,7/9/2020,125.730003,-0.018908638,0.001206698,-0.001384812,125.58389645295185,123.35227115196403,117.91096677647803
131,7/10/2020,128.009995,0.017971572,0.001200325,-0.001237054,123.21460338330202,121.05391790971284,115.73869361600632
132,7/13/2020,130.570007,0.019801188,0.001194559,-0.001077673,125.4735038461859,123.26288642043407,117.88673186051922
133,7/14/2020,136.880005,0.047195131,0.001202967,-0.00071472,128.0124986814535,125.75952903646623,120.26877760028677
134,7/15/2020,138.360001,0.010754325,0.001194964,-0.00062913,134.22905310873807,131.86883236594684,126.11766462257195
135,7/16/2020,138.559998,0.001444439,0.001186144,-0.00061377,135.6989578678476,133.32145371059866,127.51350875839313
136,7/17/2020,136.899994,-0.012052742,0.001178377,-0.00069788,135.91386600290622,133.53862100040416,127.74340374220705
137,7/20/2020,134.630005,-0.016720376,0.001171636,-0.000814833,134.27764865976698,131.94345432744424,126.22731799255476
138,7/21/2020,135.869995,0.009168197,0.001163863,-0.000742492,132.0639307852325,129.7615381378281,124.1551207802755
139,7/22/2020,136.979996,0.008136391,0.001156053,-0.000678615,133.28969868368802,130.98346647847137,125.35434527565602
140,7/23/2020,136.600006,-0.00277791,0.001147826,-0.00069361,134.4016281611262,132.08616648441065,126.3805066721495
