,Date,UNH,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,298.429993,0.057763726,0.002448049,0.00027876,274.0138930131795,267.1620898076234,250.6628554856714
73,4/17/2020,290.559998,-0.026725287,0.002424366,-9.12e-05,290.514744493075,283.2558145917237,265.7657338539
74,4/20/2020,282.140015,-0.029406634,0.002403061,-0.000487314,282.7806251946375,275.7054709398797,258.6922164461238
75,4/21/2020,274.190002,-0.028582151,0.002381404,-0.000861911,274.5129634298609,267.7188560085549,251.2898363462429
76,4/22/2020,277.019989,0.010268362,0.002351679,-0.00071546,266.73896402318223,260.1485784167236,244.2616492328098
77,4/23/2020,285.329987,0.029556694,0.002332884,-0.000322316,269.53057127002023,262.9376953185849,246.93897597909896
78,4/24/2020,291.290009,0.020673006,0.002308554,-5.31e-05,277.76277211916374,271.0096728754032,254.5931070787408
79,4/27/2020,293.980011,0.00919241,0.0022804,6.39e-05,283.69991761291703,276.81974020515577,260.2596879794059
80,4/28/2020,288.359985,-0.019302128,0.002256525,-0.000178188,286.3846748164677,279.4964641626133,262.8562843859833
81,4/29/2020,287.649994,-0.002465205,0.00222873,-0.000206422,280.89292736405866,274.1505373658867,257.8228961557717
82,4/30/2020,292.470001,0.016617658,0.00220496,-1.25e-06,280.23504997925386,273.5657941117871,257.363744869988
83,5/1/2020,284.51001,-0.027593663,0.002187457,-0.000333689,285.06070644414723,278.28468037063686,261.9632974463476
84,5/4/2020,287.540009,0.010593575,0.00216282,-0.000203603,277.2132915014192,270.63553514570447,254.77719636844887
85,5/5/2020,293.040009,0.018947137,0.002141639,2.17e-05,280.23007479902816,273.64449533982565,257.71623361934866
86,5/6/2020,288.769989,-0.014678664,0.00211922,-0.000149235,285.71674912726445,279.04606638296445,262.81584480595524
87,5/7/2020,285.0,-0.013141305,0.002096779,-0.000298569,281.5465884303607,274.9880870843901,259.0800032085753
88,5/8/2020,287.0,0.006993035,0.002073549,-0.00021571,277.8438205542698,271.4265757976835,255.8283905906675
89,5/11/2020,288.690002,0.005871239,0.002050663,-0.000147317,279.90646619728835,273.4362106493164,257.800150897762
90,5/12/2020,287.700012,-0.003435143,0.002027996,-0.000183848,281.5791774303049,275.0754123679852,259.4976248404756
91,5/13/2020,278.0,-0.034297199,0.002018358,-0.00055872,280.6841172998033,274.27248905817834,258.718347279851
92,5/14/2020,290.609985,0.044360997,0.002018114,-7.05e-05,271.1067205374742,264.9673519753611,250.1134080796065
93,5/15/2020,290.959991,0.001203659,0.001996431,-5.68e-05,283.508940604642,277.0768246354952,261.551070237711
94,5/18/2020,293.359985,0.008214703,0.001975912,3.12e-05,283.9070218239942,277.4732414429281,261.9252711000554
95,5/19/2020,289.049988,-0.014800831,0.001957404,-0.000124895,286.3180671853724,279.8796967180317,264.22012608394283
96,5/20/2020,287.98999,-0.003673919,0.001937145,-0.000161864,282.10659386273346,275.7956444828164,260.4600864986577
97,5/21/2020,286.910004,-0.003757131,0.001917306,-0.000198929,281.08711349050054,274.80683201111196,259.53920363396236
98,5/22/2020,289.940002,0.01050542,0.001898899,-8.97e-05,280.0729563939411,273.8499895003517,258.90985590273823
99,5/26/2020,294.890015,0.016928444,0.001882614,8.22e-05,283.1123307777709,276.8568467972885,261.67594593068765
100,5/27/2020,303.769989,0.029668344,0.001872454,0.000378061,287.9875899451058,281.6543284139152,266.2014042479073
101,5/28/2020,303.970001,0.000658216,0.001853915,0.000380835,296.7886970812362,290.26405199396356,274.5013829580916
102,5/29/2020,304.850006,0.002890856,0.001835801,0.000405443,297.0288389695786,290.5573107215542,274.7916012668184
103,6/1/2020,305.929993,0.003536423,0.001818072,0.000435841,297.92587075743097,291.47160709427413,275.8065069354967
104,6/2/2020,306.309998,0.00124136,0.001800597,0.000443586,298.992570927151,292.54606820982445,276.8592423042439
105,6/3/2020,305.350006,-0.003138975,0.001783569,0.000409467,299.4185843794248,292.97361121203477,277.40435741827974
106,6/4/2020,298.079987,-0.024096816,0.001772355,0.000178275,298.5227050692151,292.15152854774954,276.6505219644408
107,6/5/2020,311.850006,0.045160459,0.001774525,0.00059867,291.3756141197157,285.1631004520138,270.12397209225327
108,6/8/2020,309.480011,-0.007628817,0.001758715,0.000522489,304.9546547101035,298.46786407174505,282.55936380852035
109,6/9/2020,309.209991,-0.000872877,0.001742597,0.000509688,302.64901235968887,296.2308385994817,280.63244890722694
110,6/10/2020,305.75,-0.011252854,0.001728002,0.000402756,302.4367392347096,296.022501733897,280.46814893724934
111,6/11/2020,283.730011,-0.074744654,0.001762851,-0.000274248,299.0255440355983,292.73021651150333,277.4387329396488
112,6/12/2020,285.149994,0.004992216,0.001747357,-0.000227226,277.21715162815906,271.34125929737894,257.05754810323384
113,6/15/2020,286.279999,0.003955013,0.001732047,-0.000190215,278.6486922254635,272.7403920112163,258.4387002274897
114,6/16/2020,293.0,0.02320226,0.001721612,1.5e-05,279.8185547462084,273.9395577659022,259.68671488382427
115,6/17/2020,292.600006,-0.0013661,0.001706657,2.97e-06,286.47106287299727,280.45003064514316,265.8407541115594
116,6/18/2020,291.480011,-0.003835079,0.001692071,-3.01e-05,286.0691154680286,280.0742833301871,265.5022774236234
117,6/19/2020,291.23999,-0.000823795,0.001677614,-3.69e-05,285.0143098931839,279.05556162827185,264.6784576126537
118,6/22/2020,292.670013,0.004898104,0.001663602,4.92e-06,284.78249621670443,278.9105682200065,264.56292673587865
119,6/23/2020,297.600006,0.016704584,0.001651946,0.000145258,286.22986916975964,280.32634182789457,265.94453130048134
120,6/24/2020,289.179993,-0.028701016,0.001645056,-9.51e-05,291.12271196887326,285.1535469278035,270.6634732779702
121,6/25/2020,296.220001,0.024053117,0.00163624,0.000104444,282.85572681317416,277.03202609680227,262.885291649339
122,6/26/2020,286.880005,-0.032038398,0.001631227,-0.000159022,289.8009373011566,283.8448838815758,269.3896649065954
123,6/29/2020,289.76001,0.009989001,0.001618796,-7.65e-05,280.6087086639617,274.8626835251052,260.81881456419353
124,6/30/2020,294.950012,0.017752862,0.001608284,6.73e-05,283.47419612960556,277.7015401292957,263.65361340324387
125,7/1/2020,297.730011,0.009381181,0.001596106,0.000141779,288.5890490606078,282.74284967310035,268.49837156055844
126,7/2/2020,298.26001,0.00177855,0.001583459,0.00015477,291.34845526797477,285.4945511556228,271.08876435478453
127,7/6/2020,302.809998,0.015139917,0.001572745,0.000272763,291.92248233460685,286.04205150302164,271.74392210822344
128,7/7/2020,296.649994,-0.020552567,0.00156382,0.000110065,296.423758602221,290.4660219073721,275.94887342672666
129,7/8/2020,298.359985,0.005747788,0.001551942,0.000153768,290.3715924933494,284.5454290814542,270.4263109730274
130,7/9/2020,291.160004,-0.024427803,0.001544616,-3.53e-05,292.05191473249766,286.23139466805964,272.081263311986
131,7/10/2020,291.230011,0.000240413,0.001532826,-3.32e-05,285.0070752017177,279.3149433119364,265.5326486771693
132,7/13/2020,299.709991,0.02870194,0.001527422,0.000184475,285.05319278955164,279.39489193094806,265.6459738495971
133,7/14/2020,308.519989,0.028971325,0.001522121,0.000400917,293.45394820291517,287.63523036487624,273.4278676865352
134,7/15/2020,304.070007,-0.014528674,0.001512413,0.000289502,302.16648318871944,296.21712563475035,281.7015707185642
135,7/16/2020,307.149994,0.010078247,0.001501914,0.000362011,297.7903751503261,291.9250502870039,277.6424842454596
136,7/17/2020,306.529999,-0.002020581,0.001490912,0.000344492,300.8438369325797,294.9112545101622,280.5763203224545
137,7/20/2020,303.459991,-0.01006585,0.001480815,0.000268504,300.221935937515,294.36086613518785,280.0847921317912
138,7/21/2020,305.109985,0.005422542,0.001470276,0.000305853,297.26332966206775,291.43762815701143,277.317038510509
139,7/22/2020,306.709991,0.005230328,0.001459871,0.00034128,298.90879578516405,293.1092104405132,278.9495262850958
140,7/23/2020,302.970001,-0.012268852,0.001450571,0.000251208,300.553822187879,294.7044919936235,280.5294256804858
141,7/24/2020,300.790009,-0.007221417,0.001440677,0.000198211,296.84594860053596,291.1203196227774,277.2126583154817
142,7/27/2020,298.600006,-0.007307472,0.001430925,0.000145354,294.71885465601247,289.04302303274324,275.1856045704406
143,7/28/2020,299.929993,0.004444186,0.001421047,0.000175416,292.56802638947437,286.94589509064986,273.27709693929813
144,7/29/2020,306.679993,0.022255745,0.001414541,0.000328751,293.8971137333712,288.27895626181027,274.61463624953666
145,7/30/2020,305.230011,-0.004739209,0.001404961,0.0002938,300.56893319381277,294.8446831622853,280.83459678581016
146,7/31/2020,302.779999,-0.008059161,0.001395813,0.000236588,299.18155718664065,293.47665426006506,279.6841082670878
147,8/3/2020,303.609985,0.002737468,0.00138636,0.0002536,296.76436248503813,291.14175924822865,277.415537429162
148,8/4/2020,304.5,0.002927153,0.00137704,0.000271665,297.61991543234984,291.98747289950853,278.25495877278667
149,8/5/2020,312.470001,0.025837381,0.001372156,0.000443247,298.52921204254056,292.91077624134437,279.22045279471956
150,8/6/2020,314.059998,0.005075576,0.00136315,0.000474129,306.39393222111727,300.6232500374087,286.5542586641129
151,8/7/2020,317.029999,0.009412359,0.001354648,0.000533323,307.97457544904023,302.2147030307229,288.2130072741683
152,8/10/2020,319.100006,0.006508149,0.001345969,0.000572631,310.94718354216803,305.13482318537825,290.9822534682857
153,8/11/2020,315.549988,-0.011187442,0.00133807,0.000495768,312.9864416494044,307.17952249895944,292.97537257058946
154,8/12/2020,322.269989,0.021072559,0.001332113,0.000629383,309.5115484922399,303.7478762668678,289.78015973618136
155,8/13/2020,321.519989,-0.002329953,0.001323575,0.000610291,316.1593578029896,310.29350510263697,296.08815086339587
156,8/14/2020,323.700012,0.006757482,0.001315331,0.000649696,315.42015715544915,309.60487427157227,295.3966687357952
157,8/17/2020,320.51001,-0.00990369,0.001307658,0.000582477,317.5925234615421,311.72368957222983,297.4511485583635
158,8/18/2020,316.809998,-0.01161129,0.001300317,0.000505301,314.470744233129,308.705350630245,294.61930461759084
159,8/19/2020,315.399994,-0.004460563,0.001292293,0.000474069,310.84244431774374,305.13876174368465,291.25518872214434
160,8/20/2020,313.329987,-0.006584749,0.001284525,0.000429952,309.45609115184334,303.7990287345982,290.0854607340169
161,8/21/2020,314.140015,0.002581887,0.001276576,0.000443318,307.4311706252517,301.85444015091844,288.19890856405493
162,8/24/2020,308.839996,-0.017015464,0.001270565,0.000335547,308.2246313690871,302.6603332245075,289.0241295072673
163,8/25/2020,312.220001,0.01088474,0.001263449,0.000400266,302.99958463414555,297.5280446319663,284.17029677192016
164,8/26/2020,308.820007,-0.010949465,0.001256526,0.000331061,306.3970724087273,300.8613335289574,287.33540414546235
165,8/27/2020,311.670013,0.009186372,0.001249383,0.000384729,303.0352303711833,297.6074072301657,284.26797259637476
166,8/28/2020,314.369995,0.008625643,0.001242263,0.000434373,305.880595031963,300.3941086460548,286.9859142224762
167,8/31/2020,312.549988,-0.005806202,0.001235056,0.000397005,308.53622929113016,303.01771146040943,289.56832410362125
168,9/1/2020,312.829987,0.000895452,0.001227706,0.000399971,306.7898962291203,301.3215660279505,287.94958855775394
169,9/2/2020,320.23999,0.023410813,0.001223556,0.00053613,307.0521117136258,301.60628881855166,288.27016467763184
170,9/3/2020,316.230011,-0.012600852,0.001217368,0.000458854,314.4143277818621,308.82510290547265,295.13522749855326
