,Date,MCK,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,138.110001,0.000941758,0.00177556,-5.82e-05,134.80851153622822,131.91152717435003,124.94721395200798
73,4/17/2020,141.610001,0.025026331,0.001759739,0.000285419,134.97060069666506,132.08263360639162,125.1091180922474
74,4/20/2020,140.490005,-0.00794046,0.001736861,0.000174258,138.45267479798335,135.51215711469013,128.41958668114762
75,4/21/2020,132.440002,-0.05900662,0.001759778,-0.00061482,137.3614592510599,134.4634335440486,127.43585625905672
76,4/22/2020,135.220001,0.020773361,0.001742563,-0.000333397,129.3721568339985,126.62627680686631,119.94969374482206
77,4/23/2020,136.570007,0.009934266,0.001721284,-0.00020005,132.12642336534157,129.32012962380924,122.5535942426911
78,4/24/2020,139.940002,0.024376419,0.001706861,0.000115032,133.49021081337318,130.6772500469667,123.85018151526755
79,4/27/2020,143.279999,0.023586977,0.00169214,0.000412146,136.84376429505076,133.97591955961587,127.00195903074506
80,4/28/2020,140.360001,-0.020590193,0.001676433,0.000149616,140.17143217775654,137.2541272155052,130.16462508036193
81,4/29/2020,140.259995,-0.00071275,0.001655746,0.00013897,137.2958355727732,134.44347251476495,127.52247213359671
82,4/30/2020,141.25,0.007033563,0.001636126,0.00022305,137.211960960661,134.3781550204592,127.53077694658475
83,5/1/2020,134.699997,-0.047481309,0.001643502,-0.000351701,138.201418801567,135.37105485142402,128.49053773711913
84,5/4/2020,135.679993,0.007249059,0.001624616,-0.000261216,131.70974313125805,129.0019350276676,122.41770401150477
85,5/5/2020,133.550003,-0.015823158,0.001608318,-0.000444297,132.69944863053075,130.0001009633097,123.42324346842018
86,5/6/2020,131.860001,-0.012735201,0.001591353,-0.000587215,130.6095758687832,127.94874545691644,121.4725670076552
87,5/7/2020,134.580002,0.020418071,0.001578075,-0.000345775,128.94452861845858,126.33618989591011,120.00945477927486
88,5/8/2020,135.970001,0.010275448,0.00156141,-0.000225079,131.65873678852358,129.01518555040587,122.5792716992261
89,5/11/2020,140.259995,0.031063527,0.001554742,0.000126478,133.03323488132037,130.36232265470719,123.88778387037985
90,5/12/2020,134.770004,-0.039928156,0.001555095,-0.000318573,137.30858655568946,134.56252628753504,127.87700174628596
91,5/13/2020,129.630005,-0.038885374,0.001554172,-0.000742384,131.8577682444744,129.22709237206664,122.84153051390173
92,5/14/2020,129.419998,-0.001621363,0.001537287,-0.000751938,126.79090364885317,124.26243790200157,118.11832497383027
93,5/15/2020,136.449997,0.052895311,0.001551371,-0.000175086,126.60260335767957,124.08662519658789,117.96823371155156
94,5/18/2020,142.679993,0.044646086,0.001556011,0.000301735,133.53328318390516,130.8748954371917,124.37890118219575
95,5/19/2020,144.630005,0.01357448,0.001541467,0.000441448,139.6858700610289,136.8969803752721,130.09413656639316
96,5/20/2020,146.360001,0.011890555,0.001526761,0.000560709,141.62192252165786,138.82586292759422,131.99330834250935
97,5/21/2020,145.820007,-0.003696315,0.001511206,0.000516823,143.3645028923903,140.53243126102322,133.62213988065568
98,5/22/2020,149.419998,0.024388087,0.001501541,0.000760407,142.84730335255853,140.0397732770987,133.177545327456
99,5/26/2020,149.190002,-0.001540444,0.001486427,0.000737166,146.4200629175193,143.53265740001802,136.5199406212613
100,5/27/2020,155.339996,0.040395562,0.001487133,0.00113375,146.19567073730775,143.34287173091363,136.36586840612802
101,5/28/2020,156.860001,0.009737457,0.001473135,0.001218935,152.28361931701312,149.30389030736487,142.0602758031861
102,5/29/2020,158.669998,0.011472867,0.001459713,0.001319464,153.80720217822355,150.80865003071236,143.58484509919623
103,6/1/2020,158.940002,0.001700224,0.001445542,0.001323161,155.611959320578,152.61545208756206,145.26655574655157
104,6/2/2020,163.190002,0.026388393,0.001437626,0.001564172,155.90102386727486,152.89954831013074,145.56670618766944
105,6/3/2020,161.720001,-0.009048727,0.001424997,0.001463097,160.1255774021139,157.03900811734337,149.53835039415083
106,6/4/2020,159.520004,-0.01369712,0.001413701,0.001320076,158.6690281389885,155.64055516168708,148.28943863307666
