,Date,YUM,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,80.110001,0.031317957,0.001960358,-0.003378297,75.49198228704952,73.79786207057873,69.69398373495346
73,4/17/2020,84.169998,0.049437837,0.001971193,-0.002654788,77.9347488441809,76.1899655447244,71.9738631282633
74,4/20/2020,82.07,-0.025265998,0.001951371,-0.002960345,81.93200666170709,80.08966517912081,75.63150382786557
75,4/21/2020,81.199997,-0.010657331,0.001926132,-0.003062972,79.87219762766756,78.08520495646361,73.76583196514818
76,4/22/2020,86.790001,0.066576209,0.00196376,-0.002146667,79.03592233933087,77.28765340224989,73.04301937757731
77,4/23/2020,85.610001,-0.013689309,0.001939964,-0.002296571,84.52723845251731,82.6296824029197,78.04596604469452
78,4/24/2020,85.889999,0.003265286,0.001915484,-0.002225265,83.39010279975766,81.53250195076133,77.03569267606785
79,4/27/2020,88.190002,0.026426204,0.001901497,-0.001862588,83.67537585182679,81.82108030781036,77.32017235018756
80,4/28/2020,88.269997,0.000906664,0.001877823,-0.001827973,85.94833527183323,84.04244755577649,79.43992700238566
81,4/29/2020,87.459999,-0.00921873,0.001855306,-0.001919217,86.0424992955789,84.15802803979028,79.59676499394668
82,4/30/2020,86.43,-0.011846697,0.001833868,-0.002040283,85.26540404875526,83.40444433955489,78.89626694474651
83,5/1/2020,83.809998,-0.03078253,0.001821606,-0.002386576,84.25832528042068,82.43069087932011,77.98746831867355
84,5/4/2020,83.089996,-0.008627999,0.001800379,-0.002460878,81.67857795416177,79.9207100795641,75.646293948585
85,5/5/2020,83.279999,0.002284103,0.00177946,-0.002405055,80.9879083807648,79.2486339293036,75.02469124265255
86,5/6/2020,83.169998,-0.00132173,0.001758782,-0.002392458,81.18889304229839,79.44894011628303,75.23662557465663
87,5/7/2020,84.599998,0.017047561,0.00174286,-0.00216901,81.09623231015611,79.37243190673635,75.17137837107205
88,5/8/2020,86.18,0.018503889,0.001727856,-0.00193409,82.50745713991286,80.76175730180292,76.53098293434792
89,5/11/2020,86.370003,0.002202296,0.001708632,-0.001887614,84.07653925645272,82.31024044203113,78.02346939525329
90,5/12/2020,84.0,-0.027823629,0.001697038,-0.002175792,84.28192771467492,82.5254141957142,78.2549752036901
91,5/13/2020,80.440002,-0.043305209,0.001696774,-0.002627764,81.9606292388191,80.24907883029725,76.10258485250264
92,5/14/2020,83.290001,0.034816916,0.001693406,-0.002220756,78.44757580552695,76.80798142109231,72.82696026677502
93,5/15/2020,84.900002,0.019145611,0.001680053,-0.00199101,81.26211103725393,79.56323754022047,75.46954178289775
94,5/18/2020,86.760002,0.021671592,0.001668073,-0.001739281,82.86619906493856,81.14216891899594,76.98467641831708
95,5/19/2020,86.860001,0.00115193,0.001650602,-0.001708847,84.69423556885243,82.94564382014258,78.70565689847943
96,5/20/2020,88.089996,0.014061335,0.001635972,-0.001544574,84.81625221007467,83.06698739973325,78.83259809907398
97,5/21/2020,88.010002,-0.000908507,0.00161911,-0.001538017,86.03899308914714,84.27357655640665,79.98431160329439
98,5/22/2020,87.25,-0.008672906,0.001603103,-0.001610822,85.97154037585187,84.21740727105086,79.96706831676192
99,5/26/2020,88.050003,0.009127308,0.001588063,-0.001502356,85.23597688313973,83.50726341434215,79.31104922328126
100,5/27/2020,90.239998,0.024567897,0.001578911,-0.001241653,86.03187948041008,84.29138349609373,80.07174368624013
101,5/28/2020,90.849998,0.006737007,0.001563902,-0.001162656,88.19153054009033,86.41425972525828,82.1129447146484
102,5/29/2020,89.730003,-0.012404578,0.001549797,-0.001272871,88.8177803764423,87.0432921543001,82.70371978363117
103,6/1/2020,90.519997,0.008765593,0.001535719,-0.001175411,87.71145832397914,85.95849641009661,81.6784852418832
104,6/2/2020,92.209999,0.018497786,0.001524638,-0.000986245,88.5072461950909,86.74433763029832,82.45904576914002
105,6/3/2020,94.559998,0.025165959,0.001516569,-0.000737177,90.17881201104132,88.3944622519447,84.05372371790227
106,6/4/2020,94.989998,0.004537069,0.001502522,-0.00068742,92.51573487454657,90.68648237023012,86.243699324696
107,6/5/2020,96.519997,0.015978608,0.001491051,-0.000531662,92.9479059873193,91.12305756210951,86.68060259038273
108,6/8/2020,95.989998,-0.005506211,0.001477472,-0.000577723,94.46344405066814,92.61178596339316,88.11554477140024
109,6/9/2020,95.559998,-0.004489697,0.001464057,-0.000613613,93.95350346713563,92.11647405058528,87.65080675788049
110,6/10/2020,94.089996,-0.015502573,0.001452744,-0.000748967,93.53208337491469,91.71712387844607,87.32116511550794
111,6/11/2020,90.669998,-0.037025209,0.001451405,-0.00107578,92.09661459161748,90.31430207562532,85.97042995243011
112,6/12/2020,91.279999,0.006705175,0.001438982,-0.001006307,88.72147639815414,87.0081015943301,82.83075847476336
113,6/15/2020,91.440002,0.001751347,0.001426314,-0.000981903,89.33192054421994,87.60907053265754,83.4098402624729
114,6/16/2020,91.860001,0.004582648,0.001414072,-0.000933091,89.50470421690086,87.7944062311097,83.63557098860075
115,6/17/2020,91.260002,-0.006553092,0.001402048,-0.000981961,89.92352732313353,88.20804611400668,84.02957770768145
116,6/18/2020,90.129997,-0.012459558,0.001391087,-0.001080905,89.33110633307122,87.63420612332911,83.51437837491258
117,6/19/2020,88.260002,-0.020966013,0.001382548,-0.001250864,88.22681980572136,86.55723592549967,82.48473481575326
118,6/22/2020,87.82,-0.004997761,0.00137095,-0.001282617,86.39207052600737,84.7615429891344,80.80049645218114
119,6/23/2020,87.919998,0.001138022,0.001359478,-0.001262276,85.96314398159262,84.3516678503571,80.41196062604905
120,6/24/2020,86.559998,-0.015589495,0.001349845,-0.001381669,86.06660529336237,84.46346964701549,80.5615152048576
121,6/25/2020,86.0,-0.006490496,0.001338903,-0.001423891,84.73185606037465,83.15280460367428,79.2935715982236
122,6/26/2020,84.790001,-0.014169673,0.001329249,-0.001528364,84.19050133151522,82.6258425228156,78.81053180010406
123,6/29/2020,86.980003,0.025500619,0.001324334,-0.001308617,83.00034363502135,81.47115682679177,77.7249075520045
124,6/30/2020,86.910004,-0.000805095,0.001313656,-0.001304556,85.1610171133926,83.59001155559723,79.76191724377627
125,7/1/2020,86.449997,-0.005306969,0.001303274,-0.001336575,85.1114402379733,83.54154947226162,79.7222428424755
126,7/2/2020,86.559998,0.001271615,0.001292984,-0.001315875,84.66731392923532,83.12014603429742,79.32652568154792
127,7/6/2020,88.510002,0.022277771,0.001287151,-0.001130099,84.7754970904557,83.22937693378213,79.46761906234221
128,7/7/2020,86.860001,-0.018817924,0.001279521,-0.001268285,86.7054697330471,85.12881742314894,81.26550027315916
129,7/8/2020,86.550003,-0.003575322,0.001269643,-0.001286169,85.08902701682727,83.54793562165304,79.79923267443928
130,7/9/2020,86.379997,-0.001966183,0.00125988,-0.0012914,84.78463204279069,83.25287385105335,79.52246239450902
131,7/10/2020,87.239998,0.009906786,0.001251212,-0.001205917,84.62806251307046,83.10267197550718,79.38968554877697
132,7/13/2020,87.43,0.002175555,0.001241819,-0.0011803,85.47830288316061,83.9433893556664,80.20619989343204
133,7/14/2020,88.18,0.008541707,0.001233188,-0.001107202,85.6819599601072,84.14362731094427,80.401877556356
134,7/15/2020,90.349998,0.024310815,0.00122877,-0.000917516,86.42065576284838,84.88391579076568,81.1296552500625
135,7/16/2020,89.690002,-0.007331692,0.001219971,-0.000965028,88.56798248683405,86.99483030443726,83.13593430522839
136,7/17/2020,90.57,0.00976373,0.001211841,-0.00088614,87.91584094580851,86.3609384014549,82.56187137665118
137,7/20/2020,90.910004,0.003747018,0.001203151,-0.000852321,88.80212882559914,87.23489510392483,83.42124806316001
138,7/21/2020,91.040001,0.001428931,0.00119447,-0.000835791,89.15600898977162,87.57757452566713,83.74943847695711
139,7/22/2020,93.620003,0.027945087,0.001191793,-0.000628734,89.27259004844156,87.70780765057005,83.86961451695036
140,7/23/2020,92.870003,-0.00804337,0.00118367,-0.000681696,91.8291126581365,90.21654574116369,86.30219294917822
141,7/24/2020,93.139999,0.002903029,0.001175365,-0.000656272,91.09813061651548,89.4970371211216,85.62461281025078
142,7/27/2020,93.370003,0.0024664,0.001167156,-0.000634281,91.37340210831664,89.78220217902123,85.88983589921398
143,7/28/2020,92.75,-0.006662425,0.001159247,-0.000676436,91.59556685745443,90.00783463847124,86.14115370405837
144,7/29/2020,94.830002,0.022178134,0.001154799,-0.000517724,90.99242102455973,89.41891854532652,85.57370869052183
145,7/30/2020,91.639999,-0.034217989,0.001154613,-0.000750139,93.05505457511258,91.44980847783185,87.52493167461361
146,7/31/2020,91.050003,-0.006459008,0.001146926,-0.000789241,89.89465309836149,88.35170571020424,84.5650536439718
147,8/3/2020,90.919998,-0.001428862,0.001139127,-0.000793592,89.32593437936261,87.78711320893744,84.03416158415993
148,8/4/2020,91.82,0.009850162,0.00113219,-0.000721675,89.21443133145033,87.68197784479469,83.95023843202182
149,8/5/2020,91.0,-0.008970632,0.001125045,-0.000777037,90.09700875979848,88.55851812189559,84.79507671994106
150,8/6/2020,90.989998,-0.000109918,0.001117548,-0.00077259,89.29066259715874,87.77836774062779,84.05181493970277
151,8/7/2020,90.82,-0.001870063,0.001110155,-0.000779858,89.28473789617276,87.77161245679768,84.061981413377
152,8/10/2020,91.339996,0.005709238,0.001103126,-0.000737166,89.12463076562761,87.61068685356653,83.91831225589236
