,Date,WSM,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,48.599998,-0.013285878,0.004103505,-0.005581837,47.25609338250323,45.72452178408103,42.092627583630325
73,4/17/2020,51.639999,0.060673057,0.004106602,-0.004674235,46.63898299416492,45.13558296335089,41.567547778809846
74,4/20/2020,50.77,-0.016990918,0.004053129,-0.004840677,49.59541866498197,47.99104099465285,44.189519559381914
75,4/21/2020,52.330002,0.03026423,0.0040153,-0.004372611,48.763155887338165,47.20076186096651,43.47954117759262
76,4/22/2020,52.950001,0.011778232,0.003965854,-0.0041601,50.29658231403874,48.69076507870466,44.87312863418012
77,4/23/2020,54.849998,0.035254059,0.003934262,-0.003648228,50.91848617409872,49.300600260650555,45.447274748155934
78,4/24/2020,57.98,0.055495973,0.003928095,-0.002889969,52.785002521590734,51.11861577250572,47.12598909564383
79,4/27/2020,61.5,0.058939051,0.00392615,-0.002107323,55.83310016255093,54.06761249310659,49.879220124276245
80,4/28/2020,62.130001,0.010191805,0.00387894,-0.001953584,59.27276206065527,57.39602710407205,52.95153193822241
81,4/29/2020,65.379997,0.050987375,0.003865227,-0.001299992,59.90392900416245,58.02370209760764,53.5385561094088
82,4/30/2020,61.84,-0.055665951,0.003853695,-0.001962992,63.08236259951532,61.111127241239714,56.40810591571759
83,5/1/2020,60.25,-0.026047832,0.003814169,-0.00225317,59.62838978028853,57.76273685433649,53.31072683344334
84,5/4/2020,62.610001,0.038422453,0.003788225,-0.001768937,58.087746201770635,56.27917563079716,51.97410549772672
85,5/5/2020,65.010002,0.037616109,0.003761692,-0.001305583,60.40276102147806,58.526109033593656,54.063180863255965
86,5/6/2020,66.160004,0.017534976,0.003722031,-0.001086507,62.750206977024604,60.807560048244234,56.179821743700174
87,5/7/2020,66.82,0.009926326,0.003680627,-0.000959923,63.887291288584926,61.9236957060727,57.237896654888885
88,5/8/2020,68.309998,0.022053703,0.003644752,-0.000698404,64.54997480041948,62.57751792504211,57.87744080657762
89,5/11/2020,68.290001,-0.000292782,0.003603801,-0.000693847,66.01576753357473,64.00635836723963,59.22742158851232
90,5/12/2020,67.889999,-0.005874624,0.003564054,-0.000751411,66.01084155478752,64.00941507401544,59.22956925214358
91,5/13/2020,64.760002,-0.047200574,0.003548337,-0.001261841,65.63105632428741,63.65590963471265,58.926085419483684
92,5/14/2020,65.160004,0.006157685,0.00351036,-0.001181194,62.57565953867361,60.69083566615632,56.20606718926965
93,5/15/2020,66.519997,0.020656764,0.003477687,-0.000946378,62.981612060574456,61.10419114940213,56.613603290808435
94,5/18/2020,70.279999,0.05498464,0.003473616,-0.000351367,64.31790989458555,62.4061366366487,57.836718390629784
95,5/19/2020,68.150002,-0.030776062,0.003446693,-0.000671627,67.99964882223482,65.97996626077321,61.134461446709366
96,5/20/2020,66.360001,-0.026616707,0.003417728,-0.000941888,65.92325385848574,63.97395069817596,59.30096227284394
97,5/21/2020,66.540001,0.002708805,0.00338263,-0.000904252,64.18900228572032,62.29723527466571,57.75021170118936
98,5/22/2020,66.489998,-0.000751755,0.003348114,-0.000902696,64.37639810791151,62.48870311952828,57.97456599232337
99,5/26/2020,69.650002,0.046431199,0.003336697,-0.000424576,64.33870866404278,62.45777801039904,57.96461425067522
100,5/27/2020,73.349998,0.051759748,0.00333029,9.73e-05,67.42854265218998,65.45864719930212,60.7571331581001
101,5/28/2020,73.029999,-0.004372175,0.003297512,5.3e-05,71.04930211774052,68.98619264732113,64.04195452912926
102,5/29/2020,83.209999,0.130497219,0.003430369,0.00133188,70.74307851500848,68.7018691333268,63.79257435750929
103,6/1/2020,81.25,-0.0238367,0.003403155,0.001087525,80.6593982401417,78.27846300187144,72.57494532807326
104,6/2/2020,86.019997,0.057048971,0.003400255,0.001625616,78.75151983260155,76.4353546492139,70.90615410096831
105,6/3/2020,85.339996,-0.007936562,0.003368734,0.001534548,83.42292078751662,80.97614552111268,75.11112287994642
106,6/4/2020,85.010002,-0.003874311,0.003337227,0.001483521,82.76800120629595,80.34936928644842,74.55367956843614
107,6/5/2020,85.529999,0.00609826,0.003306235,0.001526649,82.46087212198752,80.05119193532951,74.29354566359636
108,6/8/2020,85.330002,-0.002341064,0.003275759,0.001490837,82.98163776256528,80.5782649707927,74.78350612522547
109,6/9/2020,85.839996,0.005958936,0.003245888,0.001531829,82.79337438205074,80.40093566421771,74.69493257132456
110,6/10/2020,84.410004,-0.016799126,0.003219407,0.001365184,83.30855258995929,80.91426906678186,75.17040262378438
111,6/11/2020,79.5,-0.059928904,0.003223944,0.000812985,81.90743103707129,79.56321888155426,73.92902399090312
112,6/12/2020,80.199997,0.008766456,0.003195719,0.000883998,77.11620910176006,74.90883182806145,69.62923484377268
113,6/15/2020,82.699997,0.030696088,0.003175234,0.001147822,77.8130477111409,75.58833165148565,70.27608612013826
114,6/16/2020,85.279999,0.030720383,0.003154985,0.00140723,80.25962403101416,77.96971134391896,72.50488007004621
115,6/17/2020,86.669998,0.016167831,0.003129428,0.001535583,82.78035174685608,80.43437859711342,74.80624249470058
116,6/18/2020,86.150002,-0.006017794,0.003102938,0.001470468,84.15395344225163,81.78721031953806,76.10761304714713
117,6/19/2020,85.639999,-0.005937534,0.003076882,0.001407152,83.6687141234775,81.30931801788752,75.67868169923933
118,6/22/2020,85.059998,-0.006795586,0.003051372,0.001337637,83.17250202545368,80.83286672152279,75.25811364015344
119,6/23/2020,84.760002,-0.003533109,0.003025928,0.001296706,82.6138126022125,80.3094912199761,74.79596312812218
120,6/24/2020,83.629997,-0.013421485,0.003002502,0.001174055,82.34427106613327,80.05147018232839,74.55227495517613
121,6/25/2020,83.699997,0.00083667,0.002977689,0.001171266,81.22624106418839,78.98437647519474,73.57322979830161
