,Date,COR,PDR,VAR,AVG,VAR70,VAR85,VAR99
434,9/22/2021,122.089996,0.004844182,0.000496134,0.000832181,120.1534491525139,118.78687556279132,115.42130433389228
435,9/23/2021,122.550003,0.00376069,0.000495014,0.000838913,120.7397687004028,119.37127787123104,115.99507292798529
436,9/24/2021,122.300003,-0.002042067,0.000493897,0.000832305,121.20080069309495,119.82297678554693,116.4404577934679
437,9/27/2021,122.629997,0.0026946,0.000492775,0.000836567,120.95305659635251,119.58303826474669,116.196343216749
438,9/28/2021,121.290001,-0.010987287,0.000491968,0.000809572,121.28570724953288,119.91471000584671,116.52769546373455
439,9/29/2021,122.5,0.009926649,0.000491037,0.000830339,119.95649586460549,118.60434929650337,115.25135597145939
440,9/30/2021,119.449997,-0.025213181,0.000491459,0.00077115,121.15034036746121,119.78131017047119,116.42664036678742
441,10/1/2021,119.809998,0.003009289,0.000490356,0.000776225,118.13293634830772,116.79603873288674,113.50347293786476
442,10/4/2021,118.330002,-0.01242979,0.00048964,0.000746347,118.48745994973837,117.15187862241876,113.86000723979504
443,10/5/2021,118.610001,0.00236346,0.00048854,0.000749997,117.01988571438244,115.69966491773475,112.466469950107
444,10/6/2021,116.900002,-0.014521923,0.000487964,0.000715601,117.2987230993686,115.97795779526349,112.73679850248713
445,10/7/2021,118.57,0.014184618,0.000487274,0.000745869,115.60247410080123,114.30081971969304,111.09519743613622
446,10/8/2021,119.370003,0.006724435,0.000486262,0.000759273,117.25976199457057,115.94093888971551,112.69028537804093
447,10/11/2021,122.400002,0.025066448,0.000486493,0.000813652,118.05320581419255,116.73173195423641,113.46087101191534
448,10/12/2021,119.730003,-0.022055154,0.000486572,0.000762605,121.06053389248305,119.70010319284036,116.33695735343538
449,10/13/2021,118.839996,-0.007461216,0.000485638,0.00074429,118.41420301522805,117.079865853016,113.7995879120348
450,10/14/2021,120.110001,0.010629981,0.000484776,0.000766258,117.53450644315602,116.21317532592612,112.95634808236504
451,10/15/2021,119.860001,-0.002083595,0.000483719,0.000759939,118.78640440844413,117.45410864264194,114.18639803269127
452,10/18/2021,118.379997,-0.012424639,0.000483032,0.000730769,118.5465551119403,117.21567186185227,113.94991058886077
453,10/19/2021,119.839996,0.012257722,0.000482259,0.000756215,117.09051610950657,115.77671211682866,112.54571224309784
454,10/20/2021,122.25,0.019910642,0.000482003,0.000798406,118.52530636306665,117.19113094157882,113.93657795247702
455,10/21/2021,122.709999,0.003755711,0.000480963,0.000804905,120.9140556302345,119.56259856100593,116.20738158848626
456,10/22/2021,123.32,0.004958763,0.000479946,0.000814014,121.37350563495562,120.0186384372415,116.66752223832064
457,10/25/2021,122.599998,-0.005855596,0.000478993,0.00079942,121.98519518303219,120.62336197466784,117.25966884544623
458,10/26/2021,122.959999,0.002932084,0.000477957,0.000804077,121.27197354652068,119.91661136944548,116.57990331139158
459,10/27/2021,119.550003,-0.028124372,0.000478735,0.000741052,121.62375235163444,120.27177036718645,116.96074328506734
460,10/28/2021,120.699997,0.009573384,0.000477863,0.000760252,118.24479863834193,116.92739127707291,113.66586624461364
461,10/29/2021,122.019997,0.010876838,0.000477048,0.000782197,119.39354596538732,118.05955245759057,114.78053214201778
462,11/1/2021,122.809998,0.006453488,0.000476085,0.000794473,120.69465256733413,119.3511393555599,116.0435548429292
463,11/2/2021,125.199997,0.019274005,0.000475793,0.000834385,121.48018814954412,120.12837374780918,116.78260655441724
464,11/3/2021,128.289993,0.024380837,0.00047596,0.000885132,123.84737746235095,122.47463103162634,119.08993940605845
465,11/4/2021,126.779999,-0.011839979,0.000475284,0.000857766,126.91108160862184,125.49996560592137,122.02646303436617
466,11/5/2021,127.57,0.006211941,0.000474325,0.000869256,125.41633866692071,124.02635644984349,120.57593508768545
467,11/8/2021,125.980003,-0.012542046,0.000473694,0.000840538,126.1954741827985,124.79840941504585,121.33615962339033
468,11/9/2021,124.669998,-0.010452958,0.000472953,0.000816406,124.62509724863231,123.24303464047968,119.84016701795237
469,11/10/2021,125.68,0.008068764,0.000472057,0.00083187,123.33211657667395,121.9638239014995,118.59010907624015
470,11/11/2021,125.690002,7.96e-05,0.000471054,0.000830269,124.33462986963022,122.95608567574388,119.55179150720113
471,11/12/2021,125.339996,-0.002788561,0.000470081,0.000822586,124.34498083501897,122.97019066401383,119.57379119546296
472,11/15/2021,124.419998,-0.00736709,0.000469227,0.000805235,123.99129149782922,122.62040150207318,119.25313402520636
473,11/16/2021,123.860001,-0.004511019,0.000468295,0.000793996,123.08070664723068,121.72107836490402,118.37507871493426
474,11/17/2021,124.669998,0.006518327,0.000467376,0.000806072,122.52395024147168,121.17396447886308,117.84714955220281
475,11/18/2021,124.489998,-0.001444855,0.000466403,0.000801333,123.33086146189693,121.96899143599252,118.61741729478
476,11/19/2021,120.519997,-0.032409686,0.000467735,0.000731562,123.15492931791545,121.80968368842883,118.44993726045244
477,11/22/2021,121.120003,0.004966125,0.000466792,0.00074044,119.22046469053258,117.90691798644728,114.66495613800289
478,11/23/2021,123.660004,0.020754082,0.000466652,0.000782309,119.82021743162584,118.50265924907606,115.2451609198264
479,11/24/2021,123.440002,-0.001780672,0.000465691,0.000776959,122.3307688676596,120.98802129618991,117.6582564461383
480,11/26/2021,120.230003,-0.026348624,0.000466251,0.000720447,122.11777646176867,120.77949375979682,117.45997375817606
481,11/29/2021,120.230003,0.0,0.000465282,0.000718949,118.9302807917639,117.62541096049412,114.38935499159008
482,11/30/2021,115.75,-0.037973907,0.000467417,0.000638674,118.93240661890155,117.62627541184666,114.40845220959636
483,12/1/2021,114.080002,-0.014532719,0.000466925,0.000607263,114.49917767140924,113.23751913712817,110.11232927507274
484,12/2/2021,115.800003,0.014964617,0.000466385,0.000636927,112.83794831858785,111.59411800254014,108.53410633229227
485,12/3/2021,116.760002,0.008255972,0.000465543,0.000652636,114.5426794987021,113.28791940256578,110.18795402055146
486,12/6/2021,118.900002,0.018162257,0.000465214,0.000688664,115.49140008807935,114.22202385076038,111.09056822021343
487,12/7/2021,119.519997,0.005200876,0.000464301,0.00069793,117.61219055802265,116.32775567180141,113.13484806766951
488,12/8/2021,120.849998,0.011066394,0.000463569,0.000719176,118.23342612631245,116.9289327875163,113.73952413224879
489,12/9/2021,121.690002,0.006926753,0.0004627,0.000731871,119.54890425944653,118.24029171252889,115.00337971850665
490,12/10/2021,123.129997,0.01176384,0.000462003,0.000754385,120.39168757719803,119.07157422865906,115.81069160809892
491,12/13/2021,122.519997,-0.004966426,0.000461129,0.000742734,121.81690163916647,120.48794789524293,117.18068734695308
492,12/14/2021,123.300003,0.006346177,0.000460255,0.000754123,121.2064537193108,119.88027443772405,116.61143276642208
493,12/15/2021,123.769997,0.003804546,0.000459341,0.00076031,121.97979729746119,120.64990107132343,117.34668563040742
494,12/16/2021,123.980003,0.001695306,0.000458413,0.000762203,122.45045248731975,121.11390949423522,117.80428797212329
495,12/17/2021,125.18,0.009632415,0.000457645,0.000780123,122.66122239307859,121.32853569576241,118.0247728970854
496,12/20/2021,126.010002,0.006608583,0.000456791,0.000791874,123.86364048530801,122.51661664190769,119.17822765388256
497,12/21/2021,127.610001,0.012617461,0.000456152,0.000815667,124.67781432325332,123.31790334746158,119.96196418981812
498,12/22/2021,127.809998,0.001566025,0.000455238,0.000817174,126.26690498080269,124.89518652241767,121.50221695389459
499,12/23/2021,129.529999,0.013367736,0.00045464,0.000842326,126.46108113709808,125.08276578221573,121.69095936155365
500,12/27/2021,131.899994,0.018131507,0.000454328,0.000876904,128.1660666023666,126.77782329826834,123.3278793562067
501,12/28/2021,132.360001,0.003481476,0.000453434,0.000882103,130.52532306206567,129.1077342566675,125.6074970877684
502,12/29/2021,133.339996,0.007376737,0.000452615,0.00089504,130.97880966722678,129.5562809386201,126.03526771010065
503,12/30/2021,133.770004,0.00321971,0.000451726,0.000899662,131.95072087537355,130.52316923254236,126.99667171254467
504,12/31/2021,132.889999,-0.006600226,0.000450941,0.000884781,132.37493824748108,130.94447727830467,127.39495920319149
505,1/3/2022,132.619995,-0.002033853,0.000450065,0.000879002,131.5067697001324,130.08324751235193,126.55350005533148
506,1/4/2022,131.360001,-0.009546205,0.00044939,0.000858399,131.23844145790133,129.8254408042672,126.3226728135892
507,1/5/2022,132.5,0.008640992,0.000448623,0.000873749,129.99475643136196,128.58998731329964,125.13480208414083
508,1/6/2022,130.449997,-0.015592657,0.000448272,0.000841335,131.12220950286465,129.70550391600173,126.21854448712683
509,1/7/2022,133.119995,0.020260951,0.000448131,0.000879487,129.08813045442946,127.695035400795,124.2722227752777
510,1/10/2022,134.639999,0.011353603,0.000447467,0.000900025,131.73943229854336,130.3185564774218,126.82349939518848
511,1/11/2022,136.449997,0.013353683,0.000446894,0.000924396,133.24102056112818,131.80430781813146,128.25181191387392
