,Date,QCOM,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,76.849998,0.011253718,0.002067013,-0.001990163,73.95501066548019,72.24173876032873,68.11354031755822
73,4/17/2020,76.169998,-0.008887786,0.002039341,-0.002084651,74.80765242166991,73.0875469946391,68.94570143848948
74,4/20/2020,74.309998,-0.024722153,0.002018614,-0.002390563,74.15510341660193,72.46169378814332,68.34632499822543
75,4/21/2020,71.839996,-0.033804137,0.002004681,-0.002809411,72.33162453243007,70.68673090964356,66.71755182716294
76,4/22/2020,74.68,0.03877095,0.002000753,-0.002262301,69.90663644761848,68.32105480373147,64.48832111546565
77,4/23/2020,73.809998,-0.011718122,0.001975916,-0.002385104,72.71086824410472,71.06804601138371,67.10457554316756
78,4/24/2020,76.040001,0.029765334,0.001963665,-0.001972918,71.86909713195402,70.24690548434452,66.34581185316125
79,4/27/2020,75.980003,-0.000789344,0.001938826,-0.001957936,74.0705700630102,72.40371887187545,68.38527148268504
80,4/28/2020,75.290001,-0.00912285,0.001915225,-0.002047498,74.02852400931324,72.37314980101915,68.39487115048466
81,4/29/2020,78.970001,0.047720709,0.001921781,-0.001433076,73.36051173471266,71.73816347224745,67.78571369599938
82,4/30/2020,78.669998,-0.003806183,0.001898413,-0.001462016,76.9964260099045,75.2865932013776,71.14212862981574
83,5/1/2020,75.639999,-0.039276632,0.001892561,-0.001917614,76.70597341619562,75.00780568192916,70.91172642072947
84,5/4/2020,75.68,0.000528694,0.001870101,-0.001888491,73.7233325622671,72.0979685452078,68.16009940817816
85,5/5/2020,77.629997,0.025439987,0.001856783,-0.001566979,73.77920905982386,72.16267966319978,68.26102403135744
86,5/6/2020,78.870003,0.015847054,0.001838677,-0.001364491,75.70641365610058,74.05850696265219,70.06003706860515
87,5/7/2020,78.830002,-0.000507305,0.001817551,-0.001354638,76.93952713587161,75.27129367646413,71.22920209475849
88,5/8/2020,80.559998,0.021708563,0.001802873,-0.001092556,76.91159590719028,75.24857292798471,71.2271987772523
89,5/11/2020,80.480003,-0.00099348,0.001782616,-0.001091443,78.6323342304905,76.93517790626272,72.83425944387137
90,5/12/2020,78.419998,-0.025929772,0.001769588,-0.001367424,78.55842162390239,76.87874904016562,72.80811894211863
91,5/13/2020,78.0,-0.005370145,0.001750316,-0.00141141,76.53082512708656,74.89427901848195,70.95348696060645
92,5/14/2020,79.870003,0.023691524,0.001738066,-0.001138552,76.1348649145238,74.51891085726965,70.58165302097541
93,5/15/2020,75.769997,-0.052697954,0.001747655,-0.001692955,77.98628247216351,76.33922038105956,72.35014737236942
94,5/18/2020,79.940002,0.053573982,0.001761211,-0.001105008,73.9433408634195,72.3741164558864,68.58127092590412
95,5/19/2020,78.089996,-0.023414422,0.001747856,-0.001339844,78.04520824788241,76.38159513063894,72.3573912717663
96,5/20/2020,80.629997,0.032008795,0.001741113,-0.000992463,76.22647630204877,74.6125930755361,70.68061002387367
97,5/21/2020,78.0,-0.033161925,0.001733722,-0.001324107,78.74053172525143,77.07548874435615,73.04914573066503
98,5/22/2020,78.699997,0.008934291,0.001717094,-0.001219429,76.15150543301563,74.55179580838417,70.6499772165449
99,5/26/2020,78.019997,-0.008677952,0.001700306,-0.001294768,76.84009985666971,75.2208687161899,71.30467116423836
100,5/27/2020,79.290001,0.016146864,0.001686314,-0.001120351,76.18601414466606,74.59007251367962,70.7178718796509
101,5/28/2020,78.110001,-0.014993927,0.001671505,-0.001257714,77.4474826154218,75.84075400313873,71.92909581337075
102,5/29/2020,80.879997,0.034848435,0.001667773,-0.000903732,76.29580038654957,74.70978369837144,70.866807431524
103,6/1/2020,79.730003,-0.014320573,0.001653312,-0.001033992,79.02178546640951,77.39792166015505,73.40134584248187
104,6/2/2020,84.629997,0.059642814,0.001672475,-0.000450561,77.90550032553341,76.29596131427142,72.40562862826906
105,6/3/2020,84.110001,-0.0061633,0.001656855,-0.000504968,82.73206868947757,81.01273115434121,76.84596842015178
106,6/4/2020,86.040001,0.022686838,0.00164625,-0.000286178,82.2213329701919,80.53038174194118,76.41468664137982
107,6/5/2020,88.550003,0.028755082,0.001638673,-1.48e-05,84.13255699409062,82.40567643016236,78.19553005773471
108,6/8/2020,91.370003,0.031349832,0.001632525,0.000275649,86.6156730153295,84.83873350992097,80.53564443082797
109,6/9/2020,89.75,-0.017889202,0.001620547,0.000108999,89.4089168646144,87.58162825283283,83.13621282066522
110,6/10/2020,91.010002,0.013941385,0.001607538,0.000234748,87.81410324789084,86.023983096829,81.66363977907814
111,6/11/2020,84.019997,-0.079914583,0.001650408,-0.000487318,89.0667566540353,87.25684535714011,82.85639142450289
112,6/12/2020,85.239998,0.014415954,0.001637637,-0.000354253,82.14651502035011,80.44902467999802,76.34081663523119
113,6/15/2020,86.389999,0.013401133,0.001624804,-0.000232524,83.3541908042258,81.63882855302116,77.49653141303259
114,6/16/2020,89.519997,0.035590114,0.00162171,8.17e-05,84.49747593396924,82.77544728998399,78.59623063865742
115,6/17/2020,89.940002,0.004680773,0.00160779,0.000121701,87.58597276875987,85.79677351507253,81.45340739145931
116,6/18/2020,89.919998,-0.00022244,0.001593931,0.000118734,88.01271867680863,86.21944484466877,81.87521409299144
117,6/19/2020,88.809998,-0.01242113,0.00158164,1.16e-05,87.99594177661278,86.21690633182023,81.92684547986532
118,6/22/2020,89.129997,0.003596711,0.001568344,4.19e-05,86.90838878214207,85.16657147308055,80.89756857326445
119,6/23/2020,89.349998,0.002465275,0.001555214,6.23e-05,87.24448484904542,85.48905620730743,81.238249039796
120,6/24/2020,89.139999,-0.002353063,0.001542302,4.22e-05,87.45700833636467,85.7069814523686,81.45067619131473
121,6/25/2020,88.959999,-0.002021337,0.001529591,2.51e-05,87.26171688911921,85.52816152632782,81.30714937983146
122,6/26/2020,88.019997,-0.010622792,0.001517975,-6.22e-05,87.09217330340319,85.36485457131738,81.14195376787659
123,6/29/2020,89.010002,0.011184718,0.001506654,2.93e-05,86.16551497139449,84.46733566874278,80.33860744474819
124,6/30/2020,91.209999,0.024415784,0.00149926,0.000225946,87.1548656196377,85.44269539578168,81.2736754964422
125,7/1/2020,89.779999,-0.015802307,0.001489305,9.77e-05,89.33369857268012,87.58109397737115,83.31831101408356
126,7/2/2020,91.870003,0.023012345,0.001481619,0.000279583,87.92562386943898,86.20864686157215,82.00827831896761
127,7/6/2020,92.919998,0.011364319,0.001470913,0.000366864,89.99571519610717,88.24701165998684,83.96681583491215
128,7/7/2020,92.139999,-0.008429738,0.001460021,0.00029814,91.0309312660143,89.26528938276496,84.96386126564055
129,7/8/2020,93.529999,0.014973081,0.00145036,0.0004119,90.27099233227017,88.52087403569311,84.24557047826252
130,7/9/2020,93.25,-0.002998171,0.001439292,0.000385668,91.6543592036694,89.88437928065818,85.5798516973592
131,7/10/2020,92.510002,-0.00796729,0.001428834,0.000321905,91.38161459800641,89.61924188314906,85.32639356368394
132,7/13/2020,91.330002,-0.012837426,0.001419311,0.000222213,90.65948423038762,88.9285292237844,84.66750333630782
133,7/14/2020,92.379997,0.01143113,0.001409577,0.000306491,89.503660986369,87.78972103959399,83.64595806749287
134,7/15/2020,92.550003,0.001838599,0.001399075,0.000317925,90.53780626873082,88.80813295264119,84.61294671424962
135,7/16/2020,91.199997,-0.014694207,0.001390369,0.000206724,90.72017726636062,89.00070095429415,84.81091764806861
136,7/17/2020,92.230003,0.011230626,0.001381032,0.000287782,89.38613132808764,87.69682324108122,83.57607698996055
137,7/20/2020,93.169998,0.01014027,0.001371655,0.000359698,90.40934212885412,88.70381116581561,84.5397481435285
138,7/21/2020,92.309998,-0.009273304,0.001362383,0.000289893,91.35246196000814,89.63636540602975,85.44990893206737
139,7/22/2020,92.599998,0.003136664,0.00135264,0.000310374,90.49603807004661,88.8051627611402,84.66183688778577
140,7/23/2020,89.669998,-0.032152877,0.001350452,7.85e-05,90.79615006835184,89.10518849680271,84.97984572749122
141,7/24/2020,88.889999,-0.008736604,0.001341421,1.6e-05,87.8983194381848,86.26311544779841,82.2702428564239
142,7/27/2020,92.699997,0.041968801,0.001344282,0.000311417,87.13850246676954,85.51944120735259,81.57226264284391
143,7/28/2020,91.449997,-0.013576098,0.001336221,0.000214302,90.90867439486696,89.21762283028873,85.09047985755915
144,7/29/2020,93.029999,0.017129669,0.001328915,0.00033177,89.67072994572922,88.00304182362338,83.96621799625363
145,7/30/2020,107.190002,0.141680968,0.00145659,0.001306592,91.23092908145293,89.54755554683668,85.42785440194908
146,7/31/2020,105.610001,-0.014849906,0.001448389,0.001195931,105.12644021950483,103.08984613192696,98.14181995302532
147,8/3/2020,109.589996,0.03699302,0.001447194,0.001439448,103.57883536797398,101.58281097316033,96.74349325209258
148,8/4/2020,110.949997,0.012333529,0.001438212,0.001513057,107.49964966160358,105.42790149800635,100.3888931218708
149,8/5/2020,111.389999,0.003957926,0.001428599,0.001529466,108.8500235952019,106.75684040768233,101.6449154473449
150,8/6/2020,111.059998,-0.00296697,0.001419209,0.001499489,109.28782399019033,107.2019250064364,102.11064943424626
151,8/7/2020,108.25,-0.025627211,0.001414652,0.001319842,108.97509399258219,106.88874422365909,101.83356790465074
152,8/10/2020,106.360001,-0.017613791,0.001407688,0.001195279,106.20447523097688,104.16823493748892,99.24950794474414
153,8/11/2020,108.830002,0.022957474,0.001401562,0.001337516,104.3360846773584,102.35955146033075,97.53499559518463
154,8/12/2020,115.790001,0.061991164,0.001416195,0.00173137,106.78714621139954,104.76050336386716,99.81198145226622
155,8/13/2020,113.410004,-0.020768608,0.001410303,0.001586209,113.64734066898767,111.4739061942082,106.2181757465449
156,8/14/2020,113.739998,0.002905518,0.001401274,0.001594666,111.29253117024157,109.17969526291067,104.01282775636851
157,8/17/2020,112.18,-0.0138104,0.00139385,0.001496545,111.6342546960529,109.5162820552222,104.33579535009052
158,8/18/2020,112.029999,-0.00133804,0.001385079,0.001478605,110.09429892620464,108.01561279302314,102.91141458698392
159,8/19/2020,111.040001,-0.008876178,0.001377038,0.00141348,109.95645298050815,107.88113197549136,102.82122549888189
160,8/20/2020,110.660004,-0.003428032,0.001368577,0.001383221,108.97400569963233,106.92219690752758,101.91681095526552
161,8/21/2020,113.0,0.020925345,0.001362434,0.0015046,108.6217692297919,106.5853027078323,101.61481648395947
162,8/24/2020,115.910004,0.025426244,0.001357534,0.001652265,110.92865742293672,108.85046795789701,103.78270262515541
163,8/25/2020,115.949997,0.000344975,0.001349216,0.001644245,113.80236057146865,111.67665786189426,106.47790449649092
164,8/26/2020,116.040001,0.00077593,0.001340994,0.00163895,113.85127144194558,111.73513421622197,106.56248972999579
165,8/27/2020,116.019997,-0.000172404,0.001332886,0.001627972,113.9434080780334,111.83264221994754,106.66238903879311
166,8/28/2020,118.199997,0.018615515,0.001326585,0.001730307,113.92038368182871,111.81080951464062,106.65881086645024
167,8/31/2020,119.099998,0.00758538,0.001318845,0.001765367,116.07803142383992,113.93338485232606,108.69897485818744
168,9/1/2020,122.010002,0.024139565,0.001313957,0.001898547,116.98547342287087,114.83024746280206,109.58058192918173
169,9/2/2020,123.18,0.009543675,0.001306526,0.001943784,119.8588968591043,117.65503872178296,112.26501441329619
170,9/3/2020,116.43,-0.056356466,0.001318717,0.001600842,121.01777416973918,118.80933394376602,113.4140873611139
171,9/4/2020,115.970001,-0.003958688,0.001311185,0.00156833,114.34629248714852,112.24006680453564,107.1139827367065
172,9/8/2020,109.769997,-0.054944305,0.001322021,0.001239768,113.88441498728001,111.78422151363657,106.70108400931913
173,9/9/2020,114.019997,0.037986605,0.00132214,0.001452177,107.76298211954118,105.78043617011572,100.90132715977273
174,9/10/2020,112.440002,-0.013954081,0.001315898,0.001363636,111.97096572206507,109.90613546499178,104.87377540936002
175,9/11/2020,113.419998,0.008677961,0.001308682,0.001405432,110.4077818311667,108.37414288963491,103.41535223570276
176,9/14/2020,113.459999,0.000352618,0.001301253,0.00139945,111.36894503569874,109.33060593767165,104.3488700805037
177,9/15/2020,116.580002,0.027127407,0.00129762,0.001544806,111.42925147610161,109.3874112200673,104.39372769363233
178,9/16/2020,114.559998,-0.017479064,0.001292351,0.00143793,114.49652446928785,112.40298459985416,107.29269996826602
179,9/17/2020,114.879997,0.002789393,0.001285142,0.00144548,112.50431332015737,110.45218435782557,105.45508625098208
180,9/18/2020,110.690002,-0.03715456,0.001286234,0.001231035,112.8292262797851,110.77937390361913,105.78346592007182
181,9/21/2020,111.919998,0.011050793,0.001279657,0.001285288,108.68546548743807,106.70787405870169,101.85266569304098
182,9/22/2020,113.82,0.016833941,0.001273947,0.00137072,109.92327584251686,107.93191616259449,103.08476220463666
183,9/23/2020,110.57,-0.028969449,0.001271988,0.001204927,111.79138690688684,109.76898472931018,104.82239589778021
184,9/24/2020,112.190002,0.014545076,0.001266037,0.001277428,108.58473907145408,106.61820562765524,101.82171582176005
185,9/25/2020,114.5,0.020380943,0.001261156,0.00138069,110.19159150827264,108.19504550034681,103.35170012032481
186,9/28/2020,118.470001,0.034084949,0.001260095,0.001556519,112.46604127563938,110.43708888699628,105.49676028069572
