,Date,AXP,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,81.349998,-0.029552871,0.00328913,-0.006060137,80.68002720440994,78.33764613814996,72.70731419881479
73,4/17/2020,87.389999,0.071620039,0.003325601,-0.004996025,78.33948789268963,76.07249056231991,70.64960147706928
74,4/20/2020,84.010002,-0.039444985,0.003296481,-0.005461552,84.22153518493755,81.76472643708995,75.90873357281093
75,4/21/2020,81.519997,-0.030087511,0.003260506,-0.005789898,80.94400230446576,78.59691860698588,72.98937353520297
76,4/22/2020,82.540001,0.012434684,0.003221917,-0.005550101,78.52628220718154,76.26879780940924,70.86649176338173
77,4/23/2020,82.459999,-0.000969721,0.003180343,-0.005490615,79.55347590138662,77.2841621796509,71.82106319199845
78,4/24/2020,83.169998,0.008573367,0.003142073,-0.005310308,79.48975380586046,77.22756605905884,71.8342887104621
79,4/27/2020,85.059998,0.022470184,0.003111945,-0.004958656,80.20553047531526,77.92588181834412,72.48634145392985
80,4/28/2020,88.190002,0.036136734,0.003093892,-0.004444964,82.06567490520371,79.75810417740082,74.22164878953942
81,4/29/2020,96.120003,0.086103842,0.00315567,-0.003327077,85.14083959753636,82.74814085161533,77.02159863922037
82,4/30/2020,91.25,-0.05199445,0.003145718,-0.003920582,92.87344958571514,90.24642570219315,83.93388901773244
83,5/1/2020,88.32,-0.03263641,0.003117633,-0.004266556,88.11856489758311,85.629911356342,79.65850811629892
84,5/4/2020,86.379997,-0.02221045,0.003084306,-0.004480174,85.26842276203296,82.86580238158884,77.11395616402451
85,5/5/2020,86.739998,0.004158983,0.003048888,-0.004378536,83.39102160348885,81.05480569113418,75.47540265030668
86,5/6/2020,84.0,-0.032098317,0.003022266,-0.004700859,83.7640947543353,81.43494169199771,75.8169436550054
87,5/7/2020,86.730003,0.03198308,0.003002818,-0.004279205,81.11399486705585,78.8572442677513,73.45962434255807
88,5/8/2020,89.5,0.031438746,0.002983027,-0.003873319,83.78809716709041,81.4789846290669,75.91940391933433
89,5/11/2020,85.330002,-0.047712509,0.002970862,-0.004365894,86.51605598593794,84.13647544768327,78.41847853813384
90,5/12/2020,83.139999,-0.026000194,0.002942995,-0.004606275,82.44112864581845,80.17151583659432,74.72885747641182
91,5/13/2020,78.029999,-0.063432566,0.002948264,-0.005252718,80.32223046505217,78.12198295378572,72.84669084405681
92,5/14/2020,83.809998,0.071458953,0.002979486,-0.004418896,75.34310207003477,73.26529741698727,68.32234363228328
93,5/15/2020,82.220001,-0.019153715,0.002949758,-0.004577335,80.9656665057084,78.73626867835797,73.38629130210616
94,5/18/2020,88.410004,0.072586537,0.002981047,-0.003756442,79.42416233786565,77.24601555792259,72.0211334800495
95,5/19/2020,87.260002,-0.01309294,0.002950576,-0.003854721,85.46782182183419,83.10776781109479,77.44255468525449
96,5/20/2020,90.730003,0.038995906,0.002938768,-0.003408361,84.36406559368437,82.04596473293059,76.49455332861365
97,5/21/2020,89.830002,-0.009969079,0.002908911,-0.003475997,87.75233526292303,85.35858426019759,79.60975068763403
98,5/22/2020,89.330002,-0.005581617,0.002879273,-0.003497483,86.90240744250563,84.5404749587446,78.86700464871468
99,5/26/2020,94.32,0.054355856,0.002883656,-0.002913106,86.42346343632671,84.08968999918532,78.46078950290241
100,5/27/2020,101.230003,0.070701929,0.002908469,-0.002176955,91.30827930346382,88.8259326644642,82.87498434581457
101,5/28/2020,98.059998,-0.031815669,0.002888284,-0.002470408,98.04194480028356,95.3706204540029,88.95618949516363
102,5/29/2020,95.07,-0.030966053,0.00286785,-0.002749777,94.96680383025235,92.37656599281658,86.20515640606027
103,6/1/2020,96.75,0.01751687,0.002843956,-0.002553013,92.05778643624753,89.56506567237736,83.58990977087453
104,6/2/2020,99.07,0.023696339,0.002823172,-0.002300616,93.72263601717793,91.19774942152449,85.09478255911615
105,6/3/2020,105.400002,0.061935984,0.002835209,-0.001688839,96.00818660937367,93.4372328983728,87.23665703813913
106,6/4/2020,106.540001,0.010757856,0.002809909,-0.001571417,102.16360298507114,99.42073612863179,92.82214711699119
107,6/5/2020,109.730003,0.029502319,0.002792588,-0.001281008,103.31723348668541,100.55055342963244,93.88947768617419
108,6/8/2020,113.669998,0.035276666,0.002778991,-0.000942511,106.4587666663643,103.60132967512035,96.78223715760546
109,6/9/2020,110.459999,-0.028646041,0.002760472,-0.001196672,110.29634420587038,107.37186560044194,100.29829683140963
110,6/10/2020,106.160004,-0.039706028,0.002748736,-0.001546757,107.18746315034787,104.32848758314,97.46797873229414
111,6/11/2020,98.599998,-0.073876186,0.002770679,-0.002198374,102.9781151071457,100.2519623395756,93.67338163539983
112,6/12/2020,101.68,0.030759386,0.002755553,-0.001904108,95.57045077263983,93.02213191791724,86.9208844825683
113,6/15/2020,103.949997,0.022079359,0.002736212,-0.001691865,98.60521060778822,95.99164958281987,89.72708916269328
114,6/16/2020,105.620003,0.01593779,0.002714913,-0.001537219,100.82707516624522,98.15523422239295,91.75407801433694
115,6/17/2020,103.959999,-0.015841576,0.002693069,-0.001661604,102.48430786488021,99.78581903581757,93.31792301957245
116,6/18/2020,102.160004,-0.017465949,0.002671987,-0.001797849,100.8666770846541,98.21990065465306,91.8703008251761
117,6/19/2020,100.940002,-0.01201395,0.002650034,-0.001885166,99.12601588887745,96.53384208701677,90.28400066517092
118,6/22/2020,99.440002,-0.014971833,0.002629015,-0.00199607,97.95157950427087,95.4010406281815,89.27824797437766
119,6/23/2020,99.419998,-0.000201187,0.00260695,-0.001980987,96.4763724820855,93.97308792365558,87.95901468740912
120,6/24/2020,95.480003,-0.040436448,0.002597446,-0.002301449,96.4775608100539,93.98203247039807,87.98420558701653
121,6/25/2020,97.849998,0.024518841,0.002581875,-0.002079794,92.62548614138332,90.24429981831692,84.49218024374431
122,6/26/2020,93.419998,-0.04633024,0.002576631,-0.002442502,94.95334995383249,92.51981766959732,86.61826258218365
123,6/29/2020,94.519997,0.011705987,0.002557297,-0.002327474,90.63400367669236,88.30935620186368,82.71303156577406
124,6/30/2020,95.199997,0.00716849,0.002537395,-0.002250894,91.72132617735673,89.37791042791865,83.71612772747376
125,7/1/2020,94.050003,-0.012153323,0.002517874,-0.002330113,92.40870524147456,90.05183728292545,84.39520715050374
126,7/2/2020,94.330002,0.002972706,0.002498112,-0.002288027,91.28861885754812,88.96760291218965,83.39512231007787
