,Date,MPC,PDR,VAR,AVG,VAR70,VAR85,VAR99
0,1/2/2020,61.91,,,,,,
1,1/3/2020,58.23,-0.061281032,0.0,-0.061281032,,,
2,1/6/2020,58.220001,-0.00017173,0.000933587,-0.030726381,,,
3,1/7/2020,59.139999,0.015678542,0.001100928,-0.015258073,,,
4,1/8/2020,58.52,-0.010538921,0.000829872,-0.014078285,,,
5,1/9/2020,59.389999,0.014757269,0.000796936,-0.008311174,,,
6,1/10/2020,60.220001,0.013878694,0.000732501,-0.004612863,,,
7,1/13/2020,59.619999,-0.010013468,0.000631429,-0.005384378,,,
8,1/14/2020,59.84,0.003683262,0.000561494,-0.004250923,,,
9,1/15/2020,58.130001,-0.028992435,0.000559564,-0.00699998,,,
10,1/16/2020,57.529999,-0.010375365,0.000504633,-0.007337518,,,
11,1/17/2020,56.889999,-0.011186972,0.000459982,-0.007687469,,,
12,1/21/2020,56.18,-0.01255874,0.000423463,-0.008093408,,,
13,1/22/2020,55.970001,-0.003744971,0.000392231,-0.007758913,,,
14,1/23/2020,55.330002,-0.011500558,0.000365143,-0.008026173,,,
15,1/24/2020,54.490002,-0.015298058,0.000344091,-0.008510966,,,
16,1/27/2020,52.700001,-0.033401761,0.000358887,-0.01006664,,,
17,1/28/2020,52.93,0.004354811,0.00034929,-0.00921832,,,
18,1/29/2020,53.59,0.012392198,0.000354389,-0.008017735,,,
19,1/30/2020,54.349998,0.014082093,0.00036009,-0.006854586,,,
20,1/31/2020,54.5,0.002756125,0.000346472,-0.006374051,,,
21,2/3/2020,52.060001,-0.045803783,0.000400482,-0.008251657,,,
22,2/4/2020,53.389999,0.025226525,0.000430907,-0.006729922,,,
23,2/5/2020,55.540001,0.039480056,0.000500978,-0.004720792,,,
24,2/6/2020,55.459999,-0.001441478,0.000480533,-0.004584154,,,
25,2/7/2020,54.689999,-0.013981163,0.000464702,-0.004960034,,,
26,2/10/2020,55.07,0.006924244,0.000452052,-0.004502947,,,
27,2/11/2020,56.759998,0.030226714,0.000478327,-0.003216663,,,
28,2/12/2020,58.93,0.037518482,0.00051839,-0.001761836,,,
29,2/13/2020,59.5,0.009626014,0.000504832,-0.001369152,,,
30,2/14/2020,58.330002,-0.019859737,0.000499022,-0.001985505,,,
31,2/18/2020,56.470001,-0.032407034,0.000511815,-0.002966844,,,
32,2/19/2020,57.689999,0.02137429,0.000513757,-0.002206184,,,
33,2/20/2020,60.259998,0.04358467,0.000559803,-0.000818582,,,
34,2/21/2020,59.130001,-0.018930074,0.000552702,-0.001351273,,,
35,2/24/2020,55.869999,-0.056710881,0.000621972,-0.002932976,,,
36,2/25/2020,53.119999,-0.050474059,0.000665733,-0.004253562,,,
37,2/26/2020,52.27,-0.016130894,0.00065145,-0.004574571,,,
38,2/27/2020,47.93,-0.08668098,0.000807044,-0.006735266,,,
39,2/28/2020,47.419998,-0.010697575,0.000786743,-0.006836864,,,
40,3/2/2020,47.73,0.006516093,0.000771421,-0.00650304,,,
41,3/3/2020,45.169998,-0.055127026,0.000808865,-0.007688991,,,
42,3/4/2020,45.880001,0.015596209,0.000802208,-0.007134581,,,
43,3/5/2020,41.209999,-0.107348393,0.001011674,-0.009465135,,,
44,3/6/2020,39.150002,-0.051280448,0.001027518,-0.010415483,,,
45,3/9/2020,33.82,-0.14634813,0.001406175,-0.013436208,,,
46,3/10/2020,34.52,0.020486523,0.001400078,-0.012698758,,,
47,3/11/2020,31.360001,-0.096005639,0.001514808,-0.014471244,,,
48,3/12/2020,22.889999,-0.314833137,0.003323619,-0.020728784,,,
49,3/13/2020,24.92,0.084970604,0.003479144,-0.018571654,,,
50,3/16/2020,20.290001,-0.205542491,0.00409474,-0.02231107,,,
51,3/17/2020,20.299999,0.000492634,0.004024447,-0.021863939,,,
52,3/18/2020,16.75,-0.192222579,0.004494438,-0.025140067,,,
53,3/19/2020,16.719999,-0.00179271,0.004419728,-0.02469955,,,
54,3/20/2020,18.950001,0.125198436,0.004746275,-0.021923662,,,
55,3/23/2020,16.620001,-0.131197135,0.004873136,-0.023910452,,,
56,3/24/2020,17.5,0.051594031,0.0048861,-0.022562158,,,
57,3/25/2020,21.110001,0.187546028,0.005561273,-0.018876049,,,
58,3/26/2020,23.139999,0.091815769,0.005673,-0.01696757,,,
59,3/27/2020,23.15,0.000432102,0.005581891,-0.01667266,,,
60,3/30/2020,24.33,0.049715376,0.005561092,-0.015566193,,,
61,3/31/2020,23.620001,-0.029616304,0.00547311,-0.015796522,,,
62,4/1/2020,20.870001,-0.123781084,0.005569875,-0.017538209,,,
63,4/2/2020,21.219999,0.016631317,0.005499703,-0.016995835,,,
64,4/3/2020,20.059999,-0.056216353,0.00543743,-0.017608656,20.012414211005105,19.264942644412535,17.508474239183702
65,4/6/2020,23.09,0.140671891,0.005733274,-0.015173571,18.91066559387201,18.211058828730163,16.554306912621737
66,4/7/2020,22.51,-0.025439968,0.005647979,-0.015329122,21.798359428199745,20.971418915110302,19.02785686858396
67,4/8/2020,24.309999,0.076928092,0.005688821,-0.013952149,21.249564360313464,20.448027694284587,18.548583795890725
68,4/9/2020,25.629999,0.052875754,0.005669872,-0.012969386,22.978142999495436,22.106826757763507,20.06764007954456
69,4/13/2020,25.33,-0.011774037,0.00558772,-0.012952062,24.250708748520392,23.33191416118593,21.170226761245672
70,4/14/2020,26.299999,0.037579437,0.005543852,-0.012230183,23.97180161022562,23.073321398272935,20.956195886323393
71,4/15/2020,23.98,-0.092348752,0.005554904,-0.013358614,24.91268307258339,23.980093484059957,21.787734803084355
72,4/16/2020,21.950001,-0.088452965,0.005554987,-0.014401591,22.691734404639426,21.840895765611627,19.836724264811505
73,4/17/2020,25.450001,0.147948597,0.005835008,-0.012177616,20.746600035944144,19.96903998302682,18.139195549023217
74,4/20/2020,24.85,-0.02385803,0.005757975,-0.012335459,24.086049907260467,23.164459343968968,20.987355383027282
75,4/21/2020,23.719999,-0.046539221,0.005696593,-0.012791509,23.51792568715111,22.623561391707568,20.51369808663899
76,4/22/2020,24.690001,0.040079812,0.005657935,-0.012095834,22.445102222397274,21.594956027148246,19.596241467747912
77,4/23/2020,25.940001,0.049387874,0.005632912,-0.011297344,23.38403850562122,22.50159988958125,20.420130312199685
78,4/24/2020,25.76,-0.006963316,0.005560933,-0.01124178,24.588954517610315,23.659517823614483,21.476784990188907
79,4/27/2020,26.450001,0.026433295,0.005508281,-0.01076488,24.430338126070207,23.515806478904032,21.361557201975785
80,4/28/2020,28.43,0.07218873,0.005524368,-0.00972796,25.101695633557583,24.16557464385713,21.95526363467744
81,4/29/2020,33.040001,0.150274053,0.005768322,-0.007752626,27.0055155279507,25.994833717823035,23.616661396006716
82,4/30/2020,32.080002,-0.029486134,0.005703666,-0.008017669,31.412083928778593,30.217789717175698,27.4103711515192
83,5/1/2020,29.24,-0.09269521,0.005720296,-0.009037881,30.503404284216764,29.346565578079048,26.612229942493848
84,5/4/2020,31.530001,0.07540187,0.005736068,-0.008032645,27.770912009154156,26.71359139740286,24.242065405454202
85,5/5/2020,31.139999,-0.012446371,0.005668812,-0.008084572,29.973853724030555,28.835874651065076,26.15460313089147
86,5/6/2020,29.530001,-0.053086405,0.00562617,-0.008607849,29.6070467728198,28.487295147982117,25.855134757907624
87,5/7/2020,30.780001,0.041458431,0.005589982,-0.008032374,28.0697402764774,27.010989587744074,24.51380632941806
88,5/8/2020,33.029999,0.070551048,0.005595836,-0.007139381,29.273191739892127,28.177905456846695,25.581584964617957
89,5/11/2020,32.700001,-0.010041101,0.005533055,-0.007171984,31.45344077128673,30.27237641415671,27.474608150697662
90,5/12/2020,32.209999,-0.015098176,0.005472267,-0.007260053,31.1373788049615,29.96922355484274,27.24440411567535
91,5/13/2020,31.049999,-0.036678156,0.005421538,-0.007583329,30.675974422010704,29.535876659843098,26.85064088564848
92,5/14/2020,30.889999,-0.005166302,0.005362671,-0.007557057,29.5666353381745,28.472876531670632,25.896937502052303
93,5/15/2020,30.299999,-0.019284795,0.005306471,-0.007683162,29.42333712371558,28.3429746349729,25.783929226260263
94,5/18/2020,34.950001,0.142770818,0.00548827,-0.006082587,28.864963746747154,27.80918380902071,25.322240026426115
95,5/19/2020,34.5,-0.012959173,0.005430991,-0.006154973,33.32200502041868,32.08172072143787,29.16646514250838
96,5/20/2020,36.82,0.065081852,0.005426729,-0.005412922,32.906874236659924,31.690383575209694,28.814052393654976
97,5/21/2020,35.689999,-0.031170666,0.005377553,-0.005678466,35.14050391532136,33.83918617888727,30.768943528000662
98,5/22/2020,35.57,-0.003367924,0.005322734,-0.005654889,34.06043345493947,32.80424967319659,29.85593081019012
99,5/26/2020,36.830002,0.034810199,0.005285341,-0.005246151,33.95439724421905,32.711352927412875,29.762326994589493
100,5/27/2020,36.580002,-0.006811087,0.005232512,-0.0052618,35.17796996040763,33.894349603050685,30.855371785240898
101,5/28/2020,35.18,-0.039023958,0.005191879,-0.005596079,34.94051358693804,33.66844555755386,30.67673856021449
102,5/29/2020,35.139999,-0.001137685,0.005141172,-0.005552369,33.6030152271862,32.38462916070273,29.511714600895697
103,6/1/2020,36.5,0.037972206,0.005109471,-0.005129801,33.565583993364676,32.354670612565656,29.50299309512654
104,6/2/2020,37.720001,0.032878224,0.005074098,-0.004764339,34.886709673714385,33.63277231234063,30.663236623723787
105,6/3/2020,38.59,0.022802691,0.005032942,-0.004501796,36.07675464921878,34.78249427841121,31.721937192315337
106,6/4/2020,38.040001,-0.014354912,0.004986369,-0.00459475,36.92553846217523,35.60761311546206,32.49263846277197
107,6/5/2020,41.560001,0.088499926,0.005020007,-0.003724706,36.396207046978375,35.10408749286365,32.057109600692336
108,6/8/2020,42.209999,0.015518946,0.004976922,-0.003546524,39.790126072228986,38.375360223477486,35.02224238129802
109,6/9/2020,40.41,-0.043579857,0.004945831,-0.003913802,40.4347517693617,38.996490568825706,35.63229188063259
110,6/10/2020,39.189999,-0.030655692,0.004907311,-0.00415691,38.70228455233609,37.33115592878511,34.098006893942745
111,6/11/2020,35.330002,-0.103689069,0.004951546,-0.005053596,37.526181657317274,36.20687878720005,33.081518802512555
112,6/12/2020,36.619999,0.035861994,0.004922149,-0.004688279,33.78558363289616,32.591015925327554,29.76220084522976
113,6/15/2020,37.84,0.032772232,0.004890899,-0.00435677,35.04793781205403,33.80661414712302,30.888873046448577
114,6/16/2020,38.639999,0.020921239,0.004853552,-0.004135033,36.23648167551147,34.962555611342864,31.9277590651894
115,6/17/2020,37.130001,-0.039862688,0.004822351,-0.004445708,37.00853175833257,35.71276865078428,32.625950716383414
116,6/18/2020,38.470001,0.035453448,0.004794384,-0.00410175,35.55802525358038,34.319464372312325,31.38171517698856
117,6/19/2020,38.189999,-0.007305068,0.004753493,-0.004129129,36.854232379484735,35.568586047872614,32.52950086572548
118,6/22/2020,38.610001,0.010937661,0.004715117,-0.004001444,36.59431000505231,35.3197187585363,32.309347243631215
119,6/23/2020,38.799999,0.004908885,0.004676156,-0.003926567,37.00726566293789,35.72894096605885,32.70968695472923
120,6/24/2020,36.23,-0.068532716,0.004671681,-0.004464952,37.2015617821938,35.922819540357004,32.87801306742796
121,6/25/2020,36.689999,0.012616706,0.004635464,-0.004323781,34.71900132468533,33.52670258970966,30.686109010205154
122,6/26/2020,35.369999,-0.036640236,0.004605958,-0.00458867,35.168510803347516,33.96209890563796,31.11437886657575
123,6/29/2020,35.400002,0.000847902,0.00456875,-0.00454447,33.89953232385572,32.74051004865264,29.993278958532507
124,6/30/2020,37.380001,0.054423952,0.004559721,-0.004068918,33.93526409055405,32.778308589642165,30.054070715237387
125,7/1/2020,35.68,-0.046545521,0.004537562,-0.004408731,35.85959852230969,34.636715597824995,31.75324028651204
126,7/2/2020,36.07,0.010871187,0.004503388,-0.004287462,34.21370168302266,33.05750404553381,30.302423465384994
127,7/6/2020,36.360001,0.008007802,0.004469109,-0.004190649,34.59423551067934,33.42678073212206,30.656728475443003
128,7/7/2020,34.689999,-0.047017865,0.004448412,-0.004525237,34.88180572375683,33.70390010658953,30.924309367334747
129,7/8/2020,34.150002,-0.015688788,0.004414887,-0.004611776,33.273310495364875,32.15492252871845,29.50806311075503
130,7/9/2020,33.349998,-0.023704932,0.004383709,-0.004758646,32.75662724589898,31.663739268385243,29.054959219616187
