,Date,VZ,PDR,VAR,AVG,VAR70,VAR85,VAR99
71,4/15/2020,56.93,-0.021031435,0.000592688,-0.000984095,57.34174547744763,56.630392519092275,54.87669377549081
72,4/16/2020,57.66,0.012741249,0.000587036,-0.000793465,56.135202596080646,55.44249440387023,53.71973002718194
73,4/17/2020,58.459999,0.01377905,0.000581864,-0.000593842,56.86924830687064,56.16901843770639,54.43617512236226
74,4/20/2020,58.130001,-0.005660844,0.000574343,-0.000662315,57.67087455572961,56.96403007307397,55.216935298568366
75,4/21/2020,56.82,-0.022793522,0.000573129,-0.000957397,57.34834667281451,56.65159356832196,54.935286488061294
76,4/22/2020,57.990002,0.02038224,0.000571501,-0.000676613,56.0404162496498,55.35940565294098,53.68635009992824
77,4/23/2020,57.59,-0.006921675,0.000564578,-0.000757717,57.20976031367496,56.51317409504558,54.7967373886461
78,4/24/2020,57.93,0.005886444,0.000557899,-0.000672536,56.81845056465623,56.13105150687663,54.435814266780675
79,4/27/2020,57.810001,-0.002073597,0.000550861,-0.000690271,57.163937864951265,56.477986026709395,54.77983696108664
80,4/28/2020,57.830002,0.000345918,0.000543989,-0.000677318,57.04607723183551,56.36331896501771,54.683877295100864
81,4/29/2020,58.119999,0.005002115,0.000537666,-0.000607202,57.07566254026359,56.40049232869114,54.72460790108778
82,4/30/2020,57.450001,-0.0115948,0.000532564,-0.000741197,57.368098792554406,56.689420765003625,55.023328330044386
83,5/1/2020,56.830002,-0.010850631,0.000527364,-0.000862998,56.70434531738807,56.03883926235994,54.39808748073683
84,5/4/2020,56.240002,-0.010436107,0.000522164,-0.000976963,56.09143373773283,55.43460327600729,53.81984537811848
85,5/5/2020,56.509998,0.004789295,0.000516407,-0.000909125,55.500025516987286,54.85114249458242,53.26177538993851
86,5/6/2020,55.639999,-0.015515229,0.000512854,-0.001078963,55.77658870023146,55.130223254924395,53.5413600461324
87,5/7/2020,55.580002,-0.001078889,0.000506959,-0.001078962,54.912034134669376,54.27929384229599,52.717609858320714
88,5/8/2020,57.0,0.025227808,0.000508973,-0.000780022,54.853063271930395,54.22250419805249,52.670559187207125
89,5/11/2020,56.400002,-0.010582074,0.000504322,-0.000890157,56.272368915146515,55.62733248424951,54.03721871652435
90,5/12/2020,55.459999,-0.016807172,0.000501502,-0.001067013,55.67380348944499,55.039239990427994,53.45515504369289
91,5/13/2020,54.849998,-0.011059872,0.000497076,-0.001176825,54.741147131943535,54.11739327039894,52.57309393753404
92,5/14/2020,54.91,0.001093331,0.000491729,-0.001152149,54.13311075168329,53.52014244525809,52.00292550708723
93,5/15/2020,54.709999,-0.003648991,0.000486508,-0.001178997,54.19990290616637,53.58844975879271,52.08884793907342
94,5/18/2020,55.720001,0.018292677,0.000485323,-0.000971851,54.004974763846974,53.39444920185336,51.901418519311434
95,5/19/2020,54.380001,-0.024342709,0.000485903,-0.00121786,55.01005905465049,54.3930192428745,52.881215610997224
96,5/20/2020,54.259998,-0.002209187,0.000480851,-0.001228187,53.6766028033231,53.07189119942164,51.586102932136804
97,5/21/2020,53.970001,-0.005358915,0.000476068,-0.001270771,53.55951775008725,52.962928475846425,51.48565645876621
98,5/22/2020,54.099998,0.002405794,0.000471347,-0.001233255,53.27451930747776,52.68182141854955,51.2247593535347
99,5/26/2020,54.299999,0.00369006,0.000466828,-0.001183525,53.411675780714155,52.8226189100205,51.35984362703046
100,5/27/2020,55.139999,0.015351179,0.000464867,-0.001018178,53.611831533464226,53.020427623041634,51.56350739937588
101,5/28/2020,55.720001,0.010463779,0.000461556,-0.000904495,54.45215546229919,53.853200488367946,52.37847987025357
102,5/29/2020,57.380001,0.029356661,0.000465921,-0.000607817,55.034321600746566,54.43359682392368,52.94721008223272
103,6/1/2020,55.779999,-0.028280464,0.00046876,-0.000876484,56.68746351187474,56.066511950853965,54.5264000255051
104,6/2/2020,56.400002,0.01105383,0.000465608,-0.000761769,55.089774434651694,54.484161745584,52.97844089006484
105,6/3/2020,56.830002,0.007595197,0.000461833,-0.000682179,55.705869148542845,55.09321714391771,53.58256204073852
106,6/4/2020,57.220001,0.006839115,0.000458004,-0.000611223,56.14203477577359,55.52725321904667,54.009389190683464
107,6/5/2020,57.740002,0.009046704,0.000454588,-0.000520962,56.534256160738515,55.91750670333959,54.39675087550008
108,6/8/2020,58.09,0.006043323,0.000450774,-0.000460182,57.054322526346176,56.43239512463462,54.896984633912865
109,6/9/2020,57.860001,-0.003967215,0.00044675,-0.000492357,57.40723340528549,56.78721528918991,55.249494520861255
110,6/10/2020,58.049999,0.003278374,0.000442817,-0.000458077,57.17827260354421,56.563222644321385,55.04329838408231
111,6/11/2020,56.450001,-0.027949383,0.000445575,-0.000705747,57.372039809731376,56.75701586751015,55.23970086108009
112,6/12/2020,56.529999,0.001416145,0.000441636,-0.000686801,55.77626925293685,55.17416411075598,53.693103297150635
113,6/15/2020,56.150002,-0.006744736,0.00043805,-0.000740411,55.85881985926377,55.262721856869355,53.78850000824737
114,6/16/2020,56.919998,0.013620021,0.000436,-0.000614442,55.485278927428126,54.89417115568278,53.436948010013836
115,6/17/2020,56.650002,-0.004754715,0.000432357,-0.000650445,56.2514454938266,55.6531420437048,54.17513473495665
116,6/18/2020,56.889999,0.004227538,0.000428833,-0.000608393,55.98654065553894,55.39382340550914,53.92818416105422
117,6/19/2020,56.16,-0.012914801,0.000426451,-0.000713576,56.22830397080689,55.634721226703064,54.16936261608097
118,6/22/2020,55.66,-0.008943004,0.000423406,-0.000783317,55.50207559720907,54.91793228891608,53.47414688249802
119,6/23/2020,54.939999,-0.013020094,0.000421096,-0.000886147,55.00966271174326,54.43264652963202,53.00738904679163
120,6/24/2020,53.93,-0.018554753,0.000420167,-0.001033386,54.290490553062135,53.72240618807691,52.32710803646354
121,6/25/2020,54.279999,0.006468907,0.000417155,-0.000971383,53.28552816302931,52.72699497553758,51.35542407659626
122,6/26/2020,53.16,-0.020849583,0.000416948,-0.001134319,53.638859833191994,53.07858048771224,51.69724449312048
123,6/29/2020,54.689999,0.028374625,0.000420581,-0.000894409,52.52174940817551,51.97454410339965,50.622052346256524
124,6/30/2020,55.130001,0.008013192,0.000417824,-0.000822574,54.04230242351217,53.47837878619159,52.085720376797866
125,7/1/2020,54.669998,-0.008378974,0.000414934,-0.000883025,54.48378525236135,53.9178222436672,52.511118165895915
126,7/2/2020,54.790001,0.002192637,0.000411715,-0.000858615,54.03014652509951,53.468752122321014,52.0857989082467
127,7/6/2020,55.240002,0.008179651,0.000409112,-0.000787447,54.15193942572713,53.59240332008708,52.20880242407498
128,7/7/2020,55.040001,-0.003627153,0.000405978,-0.000809633,54.60193207519722,54.03906989128434,52.65038524549775
129,7/8/2020,55.380001,0.006158324,0.000403204,-0.000755617,54.40502113290083,53.84876750809494,52.46775787757372
130,7/9/2020,53.939999,-0.026346237,0.000405102,-0.000952468,54.748463951790804,54.18600224239146,52.799537592478444
131,7/10/2020,54.490002,0.010144936,0.000402942,-0.000867755,53.312009899808366,52.766911261994096,51.4108397104964
132,7/13/2020,54.450001,-0.000734368,0.00039989,-0.000866745,53.86106465899028,53.30703583220954,51.946922155264346
133,7/14/2020,55.439999,0.018018469,0.000399544,-0.000724751,53.825838982656165,53.276985367752175,51.920132710976354
134,7/15/2020,55.060001,-0.006877819,0.000396843,-0.000770669,54.812072960660394,54.2540018510401,52.87700905752341
135,7/16/2020,55.779999,0.012991846,0.000395296,-0.000668725,54.43493942140707,53.88256243311402,52.512068498167146
136,7/17/2020,56.299999,0.009279153,0.000393112,-0.000595578,55.154320589573636,54.59704432203488,53.21402031376632
137,7/20/2020,55.869999,-0.007666972,0.000390605,-0.000647194,55.67379622294727,55.112474213919455,53.72034870142291
138,7/21/2020,55.84,-0.000537087,0.000387774,-0.000646397,55.247566929489835,54.69132830803247,53.3138530056212
139,7/22/2020,55.75,-0.001613048,0.000384991,-0.000653351,55.21773281139902,54.66432590942521,53.29311746730669
140,7/23/2020,55.849998,0.001792079,0.000382284,-0.000635884,55.13447016207677,54.583819423995884,53.2184967843806
141,7/24/2020,56.849998,0.017746695,0.000381952,-0.000505511,55.23282443501553,54.68504354051065,53.317921426022856
142,7/27/2020,56.869999,0.000351759,0.000379268,-0.000499474,56.231592138155634,55.67043632036351,54.28850859677575
143,7/28/2020,57.48,0.010669117,0.000377482,-0.000421371,56.25304063555424,55.69472788325987,54.3150417775859
144,7/29/2020,57.450001,-0.00052204,0.00037486,-0.000422071,56.86263050123073,56.29952146538538,54.90709052137151
145,7/30/2020,57.299999,-0.002614415,0.000372308,-0.00043719,56.83414922499508,56.27554425843277,54.881864753266036
146,7/31/2020,57.48,0.003136455,0.000369845,-0.000412713,56.689830593709424,56.13212856800577,54.74281297855068
147,8/3/2020,57.240002,-0.004184072,0.000367425,-0.000438369,56.86937031995822,56.31109324876902,54.9416481300823
148,8/4/2020,57.91,0.011637092,0.000365921,-0.000356778,56.63195899230843,56.07979869841173,54.705782617778944
149,8/5/2020,57.540001,-0.006409706,0.000363709,-0.000397401,57.300389581714725,56.74488316733375,55.36065090575309
150,8/6/2020,57.830002,0.005027331,0.000361479,-0.000361237,56.933346950834135,56.379434924082155,55.007385378592325
151,8/7/2020,58.529999,0.012031719,0.000360096,-0.000279164,57.22554142885277,56.67091902637637,55.29597929493633
152,8/10/2020,58.990002,0.007828546,0.000358156,-0.000225824,57.923255077191186,57.36368099334498,55.9792279877087
153,8/11/2020,58.509998,-0.008170326,0.000356225,-0.000277749,58.3830674644966,57.82089648656918,56.41929282698997
154,8/12/2020,58.599998,0.001537017,0.000353933,-0.000265964,57.907627798728235,57.348741180795386,55.973090285668526
155,8/13/2020,58.52,-0.001366086,0.000351658,-0.000273062,57.9990553222005,57.443238750369225,56.06792437456654
156,8/14/2020,58.790001,0.004603213,0.000349555,-0.000241804,57.92182518498699,57.36789855933012,56.003746850910076
157,8/17/2020,58.779999,-0.000170145,0.000347329,-0.000241347,58.19176722863356,57.63705939435937,56.26275625752659
