,Date,TSN,PDR,VAR,AVG,VAR70,VAR85,VAR99
71,4/15/2020,60.150002,-0.020731213,0.00196763,-0.005670913,59.60382671310139,58.262772148955555,55.007075543606256
72,4/16/2020,60.880001,0.012063254,0.001944609,-0.005424605,58.37797928438586,57.07052043803992,53.88499523548272
73,4/17/2020,62.34,0.023698544,0.00192943,-0.005025658,59.11195580574476,57.79403128898771,54.58640131182699
74,4/20/2020,63.860001,0.024089929,0.001914658,-0.004632204,60.554087808516314,59.21350194688653,55.9375330230253
75,4/21/2020,61.91,-0.031011485,0.001898284,-0.004983928,62.063632448361375,60.68589765354797,57.35162130887896
76,4/22/2020,59.919998,-0.032671412,0.00188326,-0.005348237,60.156563499567405,58.828498626507105,55.609820994730406
77,4/23/2020,60.900002,0.016222902,0.001864767,-0.005068092,58.201913953288894,56.92543332803159,53.843952689786576
78,4/24/2020,58.98,-0.032034804,0.001850063,-0.005413819,59.18371781451189,57.88482865266626,54.74936472877156
79,4/27/2020,59.68,0.011798553,0.001830347,-0.005195941,57.305505116672414,56.06132123411707,53.023829911605965
80,4/28/2020,62.799999,0.050958102,0.001846391,-0.004494015,57.998383003465165,56.74090074930339,53.69258381416164
81,4/29/2020,63.299999,0.007930256,0.001825479,-0.004340629,61.065425951794154,59.737793486151325,56.52619804414426
82,4/30/2020,62.189999,-0.017691114,0.001805364,-0.00450344,61.57653085464815,60.24507067155923,57.01127988653261
83,5/1/2020,60.009998,-0.035683017,0.001795184,-0.004879098,60.49303608529818,59.18806063837959,56.06133510541451
84,5/4/2020,55.32,-0.081376675,0.001842649,-0.005789783,58.351785514319744,57.09845745594675,54.06176171716026
85,5/5/2020,56.990002,0.029741342,0.001835648,-0.00537177,53.72799751079862,52.55669980998507,49.71907780514223
86,5/6/2020,54.779999,-0.039550703,0.001827729,-0.005769199,55.375674039895614,54.17622474562073,51.26297033691245
87,5/7/2020,57.259998,0.044277119,0.001835179,-0.005193954,53.20504403467425,52.05161275329222,49.26808056482566
88,5/8/2020,60.389999,0.053221247,0.00185266,-0.004530145,55.647950880282714,54.442978767947714,51.51719160867529
89,5/11/2020,60.759998,0.006108133,0.001833101,-0.004410614,58.72496498710735,57.44783568635405,54.3247645177707
