,Date,AMZN,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,120.4095,0.042632711,0.00083461,0.003306521,113.920295084248,112.26331126250109,108.1700071894167
73,4/17/2020,118.75,-0.013877991,0.000827167,0.003071116,118.94210995614408,117.18430566970274,112.90506413111035
74,4/20/2020,119.680496,0.007805216,0.000816288,0.003135091,117.28836087073786,115.57417477665999,111.37066194758765
75,4/21/2020,116.405998,-0.027741595,0.000817946,0.002723402,118.22506869465535,116.51721997236488,112.28412539186104
76,4/22/2020,118.1745,0.015078282,0.000809166,0.002885966,114.94739178959504,113.2732899267157,109.18039744156908
77,4/23/2020,119.972504,0.015100238,0.000800569,0.003044593,116.71863145971648,115.03434971591304,110.90348567136824
78,4/24/2020,120.511002,0.004478468,0.000790332,0.003062976,118.51521041182724,116.81134131518066,112.59920753425439
79,4/27/2020,118.800003,-0.014299619,0.000784095,0.002843196,119.06527734356602,117.36179308861385,113.16747807956297
80,4/28/2020,115.704002,-0.026406209,0.000784854,0.002477578,117.35328075242957,115.6786217740585,111.59404032136898
81,4/29/2020,118.635498,0.025020527,0.000781361,0.002755886,114.25850517630565,112.62883495001171,108.64186993607605
82,4/30/2020,123.699997,0.041803505,0.0007902,0.003232077,117.19567208888171,115.52930099587545,111.43135687583695
83,5/1/2020,114.302002,-0.079015169,0.000861199,0.002241146,122.24173107376498,120.48816041196811,116.20397500841987
84,5/4/2020,115.7995,0.013016161,0.000852312,0.00236942,112.7582106784351,111.07546845027656,106.94126138783714
85,5/5/2020,115.889999,0.000781209,0.000842314,0.002350735,114.26463559146886,112.56983295228704,108.41238979554598
86,5/6/2020,117.563004,0.014332937,0.00083417,0.002490063,114.37001800902567,112.68493613634722,108.5234796930086
87,5/7/2020,118.380501,0.006929627,0.000824806,0.002541093,116.03777579832013,114.33627399639434,110.14388327404576
88,5/8/2020,118.980499,0.005055584,0.000815504,0.002569667,116.86385837590274,115.15587324036677,110.95645151076876
89,5/11/2020,120.449997,0.012275098,0.000807387,0.002678716,117.46907144129992,115.76704722838264,111.57129084329418
90,5/12/2020,117.847504,-0.021843254,0.000805024,0.00240625,118.9447965071394,117.22659787509627,113.0005436828796
91,5/13/2020,118.396004,0.004643522,0.000796231,0.002430835,116.33193493420436,114.65119216470495,110.53895239143199
92,5/14/2020,119.442497,0.008800087,0.000788013,0.002500066,116.89534112650365,115.21686793828448,111.1061182813225
93,5/15/2020,120.488998,0.008723387,0.000779952,0.002566984,117.94518488428285,116.2540778658183,112.13464069219488
94,5/18/2020,121.313004,0.00681557,0.000771844,0.002612182,118.9989886977452,117.31027182480679,113.1350525534506
95,5/19/2020,122.466499,0.0094635,0.000764209,0.002684301,119.83020695859639,118.13723373506802,113.97714215809187
96,5/20/2020,124.897003,0.019651907,0.000759216,0.002861047,120.98185973880113,119.28000767776463,115.10173512423037
97,5/21/2020,122.336998,-0.020709906,0.000757057,0.002618047,123.41220881609011,121.68537399241862,117.4336688813564
98,5/22/2020,121.844002,-0.004037961,0.00074978,0.002550129,120.85565945055384,119.16940642598873,114.99852417988899
99,5/26/2020,121.093002,-0.006182692,0.000742969,0.002461918,120.36912784262965,118.69977422640575,114.57466742541742
100,5/27/2020,120.519501,-0.004747288,0.000736054,0.002389826,119.62072523035485,117.96188677515455,113.88766732710775
101,5/28/2020,120.055,-0.003861603,0.000729149,0.002327931,119.0512592842985,117.41668427425499,113.35305996872177
102,5/29/2020,122.1185,0.017041914,0.000724102,0.002472186,118.5953750698267,116.9786306708967,112.96885836720364
103,6/1/2020,123.552002,0.011670251,0.000717886,0.002561487,120.66694754324187,119.01338714140631,114.942528687333
104,6/2/2020,123.620499,0.000554245,0.000711021,0.002542187,122.09370697802368,120.43012085159096,116.33945926610386
105,6/3/2020,123.919998,0.002419799,0.00070425,0.002541021,122.17320977071176,120.51696517816629,116.4284829533226
106,6/4/2020,123.029999,-0.00720796,0.000698494,0.00244905,122.46724686888754,120.82629132223656,116.77158061877196
107,6/5/2020,124.150002,0.009062308,0.000692371,0.002510856,121.58806306348202,119.95002676528223,115.93157673038567
108,6/8/2020,126.203003,0.016401217,0.00068773,0.00263947,122.70706492151464,121.0602583682798,117.02058939649505
109,6/9/2020,130.042999,0.029973412,0.000688212,0.00289024,124.7584423833337,123.09381656629692,119.00370583267227
110,6/10/2020,132.372498,0.017754746,0.000683946,0.003025372,128.59433857109275,126.87576679655042,122.68672411880064
111,6/11/2020,127.898003,-0.034386808,0.000690281,0.002688326,130.91644005531472,129.1806100546415,124.89220941560498
112,6/12/2020,127.250999,-0.005071589,0.00068465,0.002619041,126.44063051817567,124.75171928439718,120.60027867740904
113,6/15/2020,128.634003,0.01080968,0.00067918,0.002691524,125.81318858499566,124.1301780828122,120.01696973516309
114,6/16/2020,130.763504,0.016419193,0.000674861,0.002811942,127.18201405214893,125.49966356632406,121.35753416059298
115,6/17/2020,132.048996,0.009782657,0.000669411,0.002872557,129.3168023734465,127.60440152983752,123.40709505733781
116,6/18/2020,132.699005,0.004910408,0.000663676,0.002890125,130.60041234827654,128.88075280534667,124.6664774441617
117,6/19/2020,133.750504,0.007892711,0.000658216,0.002932882,131.2589327896388,129.53452089366664,125.27804548204008
118,6/22/2020,135.690994,0.014404044,0.000653743,0.003030095,132.30510544189596,130.58125044552736,126.34443827571057
119,6/23/2020,138.220505,0.018470075,0.000650236,0.003159843,134.2406256138484,132.49765660787392,128.20357956729293
