,Date,DELL,PDR,VAR,AVG,VAR70,VAR85,VAR99
78,4/24/2020,20.116573,0.019847927,0.00210993,-0.003534692,19.156930326492283,18.708695551740917,17.626511233681097
79,4/27/2020,20.369995,0.012518982,0.002086443,-0.003331481,19.54737622148199,19.09195924798002,17.99978347011624
80,4/28/2020,20.699442,0.016043759,0.002064996,-0.00308929,19.799384810053393,19.340598465451002,18.23695497870016
81,4/29/2020,21.991892,0.060567097,0.002088911,-0.002303409,20.13003829823612,19.66681541041867,18.54314841494529
82,4/30/2020,21.6371,-0.016264406,0.002065785,-0.002473665,21.399557219628665,20.903170397802313,19.708425535150926
83,5/1/2020,20.273695,-0.065085201,0.002087558,-0.003228021,21.051507036652573,20.567439345219235,19.39302076262797
84,5/4/2020,20.552458,0.013656312,0.00206606,-0.003027017,19.70964801888341,19.252219473861683,18.152076173871652
85,5/5/2020,20.369995,-0.00891756,0.002042156,-0.003096317,19.98645631458911,19.525738374569737,18.41969814084272
86,5/6/2020,20.522049,0.007436884,0.002019686,-0.002973838,19.812261962583417,19.36042860832687,18.264680892930365
87,5/7/2020,21.160669,0.030644354,0.002009312,-0.002587422,19.961978438108353,19.50981117564685,18.417814314865254
88,5/8/2020,22.123671,0.044503899,0.002011393,-0.002052294,20.596045832237106,20.129452072206462,19.001445784000687
89,5/11/2020,21.981754,-0.006435376,0.001989006,-0.002101542,21.542971091042663,21.053638553073206,19.87003415561022
90,5/12/2020,21.414089,-0.026163676,0.001973268,-0.002368899,21.40537675671189,20.921245427674467,19.7580152232544
91,5/13/2020,20.795744,-0.02930072,0.001959466,-0.002664853,20.8503762561867,20.384133990770216,19.250810320195278
92,5/14/2020,21.216421,0.020027107,0.001943704,-0.002418201,20.24524568602288,19.79186688530077,18.6935222487946
93,5/15/2020,21.332994,0.005479431,0.001923467,-0.00233328,20.660780242930922,20.198694201088806,19.084828936056386
94,5/18/2020,22.18956,0.03936702,0.001921307,-0.00188966,20.77857222981418,20.316002755365425,19.199366947996594
95,5/19/2020,22.321339,0.005921219,0.001901718,-0.00180744,21.624451580118464,21.14327226702479,19.978385832914157
