,Date,MSFT,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,177.039993,0.029579068,0.001783786,0.001351866,168.11158948440712,164.4957918452342,155.750370701559
73,4/17/2020,178.600006,0.008773046,0.001760095,0.001453526,173.24222789852473,169.52426441555934,160.5236375719219
74,4/20/2020,175.059998,-0.020019941,0.001742457,0.001163344,174.82808571262476,171.09169881546117,162.08304408956
75,4/21/2020,167.820007,-0.042236743,0.001744003,0.000584676,171.308871455311,167.69685822591592,158.8964866683295
76,4/22/2020,173.520004,0.033400871,0.001735039,0.001016468,164.15070395650005,160.68526354913436,152.2337232032274
77,4/23/2020,171.419998,-0.012176216,0.001714737,0.000845135,169.7885701606489,166.20443545357892,157.51476361166544
78,4/24/2020,174.550003,0.018094577,0.001696519,0.001066282,167.73067912587058,164.18357518941593,155.62740963779663
79,4/27/2020,174.050003,-0.002868619,0.001675238,0.001016473,170.8622582958031,167.3053305515089,158.66297873532469
80,4/28/2020,169.809998,-0.024662478,0.001662437,0.000695486,170.39159461741895,166.8473734795429,158.280182746032
81,4/29/2020,177.429993,0.043895972,0.001664669,0.001228825,166.1862604803517,162.76536603338516,154.418881230118
82,4/30/2020,179.210007,0.009982216,0.001645291,0.001335574,173.74748729353655,170.15089326290564,161.43870115858877
83,5/1/2020,174.570007,-0.026232494,0.001634515,0.001003428,175.53608206418866,171.9313110589542,163.19958048561074
84,5/4/2020,178.839996,0.024165682,0.001621367,0.001279169,170.94851597254478,167.4435110439553,158.92909884580914
85,5/5/2020,180.759995,0.010678628,0.001603319,0.001389751,175.17536150047383,171.59043224695947,162.95126267446378
86,5/6/2020,182.539993,0.009799132,0.001585489,0.001487535,177.11887989971336,173.51804212792183,164.7769162293247
87,5/7/2020,183.600006,0.005790222,0.001567475,0.001536991,178.90079018391472,175.29339292278425,166.54088818440974
88,5/8/2020,184.679993,0.005865049,0.001549873,0.001586174,179.96805334024953,176.36375717261657,167.59368585259668
89,5/11/2020,186.740005,0.011092742,0.001533463,0.001692989,181.0648650114504,177.4420434762293,168.65524060867122
90,5/12/2020,182.509995,-0.022912363,0.001523077,0.001419596,183.11657619997163,179.46264957226418,170.65426348728832
91,5/13/2020,179.75,-0.015237942,0.001509355,0.001236546,178.94033649929148,175.4046917944401,166.79265881853888
92,5/14/2020,180.529999,0.004329967,0.001493052,0.00127017,176.20868150654914,172.7304966128092,164.3026055835798
93,5/15/2020,183.160004,0.014463146,0.001478849,0.00141203,176.99479467306,173.5172681030913,165.02722912083212
94,5/18/2020,184.910004,0.009509132,0.001463807,0.00149817,179.63243635434014,176.13268908511088,167.58468283314696
95,5/19/2020,183.630005,-0.006946351,0.001449141,0.00140928,181.3880538901444,177.87131713080984,169.27248469759692
96,5/20/2020,185.660004,0.010994175,0.001434993,0.001509123,180.11289790981363,176.6380140738334,168.1697200860228
97,5/21/2020,183.429993,-0.01208398,0.001422084,0.001368988,182.16474079633156,178.66679716527076,170.1472031604309
98,5/22/2020,183.509995,0.00043605,0.001407582,0.001359468,179.9539248140512,176.5159729976708,168.15780649077573
99,5/26/2020,181.570007,-0.010627842,0.001394801,0.001238384,180.0459763526973,176.62729924814263,168.2901991895777
100,5/27/2020,181.809998,0.001320882,0.001380853,0.001239209,178.15803738871196,174.77321456201585,166.55873618941118
101,5/28/2020,181.399994,-0.00225767,0.001367301,0.001204586,178.39770183254902,175.0342505826796,166.83419410769085
102,5/29/2020,183.25,0.010146836,0.001354672,0.001292255,178.02049154894513,174.68068561927032,166.54650259858778
103,6/1/2020,182.830002,-0.00229457,0.001341644,0.001257432,179.8483323519095,176.4903632741768,168.3050300679605
104,6/2/2020,184.910004,0.011312472,0.001329706,0.001354115,179.45169863730152,176.11476352299505,167.9983545765598
105,6/3/2020,185.360001,0.002430644,0.001317053,0.001364368,181.5440770068037,178.18320966466618,169.9442665576184
106,6/4/2020,182.919998,-0.013250998,0.001306624,0.001226487,181.99361348707268,178.65218172584227,170.43230169190127
107,6/5/2020,187.199997,0.02312866,0.001298854,0.00143118,179.58558280860018,176.29005574956014,168.24020213053672
108,6/8/2020,188.360001,0.006177483,0.001287034,0.001475127,183.84312255817497,180.48476833584633,172.28917395516237
109,6/9/2020,189.800003,0.007615871,0.00127557,0.001531464,184.99483852453378,181.6189797708363,173.39056836046564
110,6/10/2020,196.839996,0.036420294,0.001274939,0.001848636,186.44386875908725,183.06859533397784,174.81106987441018
111,6/11/2020,186.270004,-0.05519394,0.001292503,0.001334738,193.41827666438112,189.9306138783059,181.40813375538232
112,6/12/2020,187.740005,0.007860798,0.001281339,0.001393007,182.9251563978406,179.58148389789136,171.47213436776207
113,6/15/2020,188.940002,0.006371461,0.001270217,0.001437064,184.38116222038573,181.02978888706326,172.86832750876363
114,6/16/2020,193.570007,0.024209725,0.001263584,0.001636824,185.59210090668645,182.2465809575411,174.05881924845224
115,6/17/2020,194.240005,0.003455293,0.001252625,0.001652637,190.19146200199873,186.7532962413343,178.3912138450156
116,6/18/2020,196.320007,0.010651483,0.001242519,0.001730213,190.8558393272491,187.43628203604132,179.06510284057345
117,6/19/2020,195.149994,-0.005977554,0.001232402,0.001664335,192.95796535763358,189.5024704181131,181.11645528774977
118,6/22/2020,200.570007,0.027394885,0.001227521,0.00188239,191.7868476784447,188.35208253855646,180.01898886984256
119,6/23/2020,201.910004,0.006658725,0.001217396,0.001922528,197.1766970181472,193.67021664362724,185.12801456064545
120,6/24/2020,197.839996,-0.02036347,0.001211356,0.001736811,198.49459695512698,194.98010673049342,186.431500063342
121,6/25/2020,200.339996,0.0125573,0.001202304,0.001826236,194.48636668182527,191.0436969249966,182.6291502015236
122,6/26/2020,196.330002,-0.020218976,0.0011964,0.001645538,196.97524040242553,193.5067664486655,185.0269899312515
123,6/29/2020,198.440002,0.01068987,0.001187333,0.001719069,193.00406584250027,189.61927556420198,181.31439103101218
124,6/30/2020,203.509995,0.025228322,0.001182179,0.00190866,195.11243305212508,191.7118842696109,183.3688138576797
125,7/1/2020,204.699997,0.005830359,0.001172843,0.001940033,200.10679224643988,196.61708579648536,188.11422931815696
126,7/2/2020,206.259995,0.007592007,0.001163787,0.00198489,201.34741274009374,197.83473115722188,189.27543245632546
127,7/6/2020,210.699997,0.021297822,0.001157537,0.002136961,202.89463027743008,199.38075762150734,190.8290383711286
128,7/7/2020,208.25,-0.011696026,0.001149977,0.002028891,207.27984622853992,203.6874138896456,194.94836900069924
129,7/8/2020,212.830002,0.021754453,0.001144055,0.002181802,204.89199589998555,201.3678668661224,192.75447154848837
130,7/9/2020,214.320007,0.006976524,0.00113543,0.002218684,209.41636860864526,205.82178162852068,197.02408107199014
131,7/10/2020,213.669998,-0.003037499,0.001126972,0.002178561,210.9004928343025,207.30219543600037,198.48128652688445
132,7/13/2020,207.070007,-0.031375825,0.001126899,0.001924361,210.29137789973177,206.70095620623536,197.95658846431124
133,7/14/2020,208.350006,0.006162453,0.00111856,0.001956226,203.7213445657556,200.24793225341548,191.78536093795552
134,7/15/2020,208.039993,-0.001489051,0.001110301,0.001930515,205.01586026535747,201.53395365671508,192.98956573431198
135,7/16/2020,203.919998,-0.020002585,0.001105613,0.001768048,204.70436853129374,201.24320155074722,192.80636762118456
136,7/17/2020,202.880005,-0.005113054,0.001097829,0.001717452,200.6442235998614,197.25591845553743,188.94857446945346
137,7/20/2020,211.600006,0.042083032,0.001101623,0.002012091,199.61085521123815,196.2616152536325,188.05097061494791
138,7/21/2020,208.75,-0.013560365,0.001095384,0.001899247,208.25169044260088,204.76694375558066,196.17773691126777
139,7/22/2020,211.75,0.01426897,0.001088597,0.001988238,205.44327221347407,201.9848139899607,193.59071713371085
140,7/23/2020,202.539993,-0.04446897,0.001096127,0.001656401,208.4205111655916,204.92770461300816,196.3904287053845
141,7/24/2020,201.300003,-0.006141016,0.001088781,0.0016011,199.2921720116491,195.95050886278526,187.73547745044786
142,7/27/2020,203.850006,0.012588111,0.001081958,0.001678473,198.05123506522003,194.7333066966295,186.62420633780528
143,7/28/2020,202.020004,-0.009017736,0.001075186,0.001603674,200.58808800417023,197.2478938869294,189.05921287829977
144,7/29/2020,204.059998,0.010047336,0.001068211,0.001662311,198.7807104506816,195.47069371331168,187.3504547971965
145,7/30/2020,203.899994,-0.00078441,0.001060885,0.001645437,200.80720630155142,197.48015906465312,189.31982385650622
146,7/31/2020,205.009995,0.005429086,0.001053716,0.001671352,200.68275412841234,197.36551161633847,189.2232893522616
147,8/3/2020,216.539993,0.054716522,0.00106556,0.002032204,201.78565116877743,198.45697594586466,190.29083757392456
148,8/4/2020,213.289993,-0.015122546,0.001060335,0.001916293,213.19636113524797,209.64655753158198,201.0396026026868
149,8/5/2020,212.940002,-0.001642264,0.001053303,0.00189241,209.97076668864474,206.50203097949856,198.04707322054446
150,8/6/2020,216.350006,0.015887049,0.001047578,0.001985708,209.62710109824394,206.17221343628307,197.75256471185546
