,Date,BAC,PDR,VAR,AVG,VAR70,VAR85,VAR99
71,4/15/2020,22.190001,-0.067098288,0.002771542,-0.006673617,22.92163039131819,22.31285677181035,20.852910266067926
72,4/16/2020,21.42,-0.035316717,0.002744285,-0.007071438,21.411434909774485,20.841750935716856,19.47761246102268
73,4/17/2020,23.280001,0.083269601,0.002816962,-0.005833889,20.663923510447496,20.116120896866896,18.807218115148604
74,4/20/2020,22.5,-0.034079357,0.00278953,-0.006215585,22.477036762767316,21.87492812987423,20.433277857379814
75,4/21/2020,21.639999,-0.038971901,0.002766452,-0.006652336,21.72089913869599,21.14082064176458,19.750453891976107
76,4/22/2020,21.799999,0.007366516,0.002732603,-0.006467877,20.881607822054697,20.32559438457746,18.992429353726767
77,4/23/2020,21.870001,0.003205956,0.002698314,-0.006342243,21.04528561044925,20.487187121323224,19.15375381219649
78,4/24/2020,22.18,0.014075102,0.002668997,-0.006080482,21.11758182346815,20.562764004189255,19.23026595965185
79,4/27/2020,23.469999,0.056531985,0.002684208,-0.005287919,21.42746024947959,20.86731361111233,19.52387326376238
80,4/28/2020,23.889999,0.017736952,0.002657199,-0.005000108,22.690567183710254,22.095230607997944,20.67424095227577
81,4/29/2020,24.780001,0.036576997,0.002645472,-0.004486811,23.108254462147706,22.50446594645668,21.052501234298305
82,4/30/2020,24.049999,-0.029901962,0.002620992,-0.004796751,23.982011754309045,23.357317508880225,21.853779047969418
83,5/1/2020,23.08,-0.041168513,0.00260516,-0.005234965,23.268537076668082,22.666947859679734,21.222606528054563
84,5/4/2020,22.93,-0.006520345,0.002574166,-0.005250268,22.32357139495103,21.746758631185244,20.3595216091148
85,5/5/2020,22.66,-0.011844841,0.002544387,-0.005327851,22.18254095084518,21.61272574262624,20.247588713030705
86,5/6/2020,22.35,-0.013774935,0.002515621,-0.005426073,21.923506634321445,21.365645439606073,20.02059832446096
87,5/7/2020,22.84,0.021687064,0.002495058,-0.005114427,21.625659132860577,21.076956240949315,19.75985266954755
88,5/8/2020,23.57,0.031461332,0.002481735,-0.004698794,22.107443383033907,21.548606093347352,20.204716206521475
89,5/11/2020,22.58,-0.042910158,0.002470072,-0.005128135,22.824883478522686,22.248763702138657,20.862859475417373
