,Date,BBY,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,64.980003,0.003391417,0.002197151,-0.004102575,62.8385523345515,61.33102624308987,57.719837718445426
73,4/17/2020,70.400002,0.080113715,0.002262878,-0.002948927,63.06950075769694,61.579130826558114,57.96294164146144
74,4/20/2020,69.790001,-0.008702544,0.00223274,-0.003026679,68.39447871465086,66.74625038682447,62.772224926315126
75,4/21/2020,67.800003,-0.028928508,0.002211796,-0.003372037,67.80399758341314,66.18175648315902,62.27308766623351
76,4/22/2020,68.980003,0.017254412,0.002188218,-0.003100636,65.85096264337531,64.28336982719583,60.504708113465625
77,4/23/2020,69.599998,0.008947888,0.00216166,-0.002944162,67.0271155482395,65.44390202185048,61.602483147294336
78,4/24/2020,71.879997,0.032233482,0.002149608,-0.002493166,67.65350540201257,66.06075923061044,62.20148978988439
79,4/27/2020,74.57,0.036740261,0.002141636,-0.001996541,69.8994973513341,68.2616885910372,64.27975527234163
80,4/28/2020,77.589996,0.03970022,0.002136327,-0.001475331,72.5589617460512,70.86112853096103,66.75074352622671
81,4/29/2020,80.050003,0.031212976,0.002122981,-0.001071772,75.53498602175335,73.77411820699045,69.51772052251712
82,4/30/2020,76.730003,-0.042358672,0.002117625,-0.00157527,77.9732062935867,76.16180677292286,71.75321675589872
83,5/1/2020,72.260002,-0.060022052,0.002132773,-0.002279449,74.7067389995323,72.96101882651085,68.75835786343688
84,5/4/2020,74.360001,0.028647423,0.002118634,-0.001911272,70.29708339827748,68.6568952362155,64.66891133267048
85,5/5/2020,74.75,0.005231036,0.002094302,-0.001827244,72.37593428175049,70.69130874437978,66.60889708993302
86,5/6/2020,73.989998,-0.01021929,0.002070759,-0.001924826,72.76986706153242,71.0866109449622,66.99758582142155
87,5/7/2020,76.25,0.030087494,0.002058601,-0.001556869,72.02849240074569,70.36599516537669,66.35333010887486
88,5/8/2020,78.629997,0.030735852,0.002046923,-0.001189906,74.2707369986526,72.56042023668351,68.42698233098825
89,5/11/2020,78.019997,-0.007788102,0.002024408,-0.001264043,76.61722378687398,74.86905107606832,70.62339683354584
90,5/12/2020,77.050003,-0.012510565,0.002003304,-0.001389004,76.02231861309178,74.29397700969511,70.09210618782515
91,5/13/2020,75.029999,-0.02656658,0.001988179,-0.001665681,75.07341376735988,73.38031141500782,69.26277461754242
92,5/14/2020,77.190002,0.028381921,0.001976275,-0.001339077,73.09421166835152,71.44761561338116,67.46915675411176
93,5/15/2020,78.610001,0.01822899,0.001959098,-0.001128667,75.23246995628283,73.54504758061601,69.46776538914143
94,5/18/2020,87.160004,0.103246625,0.00205292,-1.83e-05,76.65295060543292,74.9295618463662,70.77014249269877
95,5/19/2020,83.480003,-0.043138438,0.002050676,-0.000472188,85.0342091438905,83.07840624628606,78.3824727467918
96,5/20/2020,81.540001,-0.023513408,0.002034787,-0.000712201,81.39359992821535,79.52943839453162,75.04028963052232
97,5/21/2020,77.980003,-0.044641288,0.0020335,-0.001165078,79.49488951437188,77.68395262350734,73.28841832307798
98,5/22/2020,76.919998,-0.013686527,0.002014333,-0.001292848,75.99269503638651,74.25900015483072,70.06440311352856
