,Date,META,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,176.25,-0.004076791,0.001386256,-0.002418832,172.98445987315822,169.710152201665,161.71078983956798
73,4/17/2020,179.240005,0.016822276,0.001372269,-0.002155255,172.31909780154467,169.06663189463197,161.14464374165053
74,4/20/2020,178.240005,-0.005594733,0.001353882,-0.002201735,175.30433159124806,172.01245184719545,163.96322079551103
75,4/21/2020,170.800003,-0.042637686,0.001357341,-0.002740881,174.32693736592395,171.0699214274369,163.15628218259715
76,4/22/2020,182.279999,0.065050662,0.001399155,-0.001848887,166.97206560767907,163.8483946445892,156.24491756450306
77,4/23/2020,185.130005,0.015514347,0.001384849,-0.00162339,178.26930649005988,174.88048176833803,166.70515360479814
78,4/24/2020,190.070007,0.026334154,0.001376986,-0.00126496,181.12999447375196,177.71824606763568,169.36806125370592
79,4/27/2020,187.5,-0.013613617,0.001361462,-0.001421272,186.02639062294992,182.52457962066217,173.98606459091235
80,4/28/2020,182.910004,-0.024784595,0.001351181,-0.001713314,183.51407828803048,180.07938935834693,171.71411775354272
81,4/29/2020,194.190002,0.059842821,0.001380702,-0.000953362,178.98755215698168,175.6505742327512,167.5298300434866
82,4/30/2020,204.710007,0.052757306,0.001398616,-0.000298353,190.12823489766464,186.55782872530753,177.8872263042473
83,5/1/2020,202.270004,-0.011990919,0.001383393,-0.000439228,200.55774299863424,196.74382443420652,187.46940491495278
84,5/4/2020,205.259995,0.014673986,0.001369611,-0.000259309,198.13914586277625,194.40532907754366,185.33235078154559
85,5/5/2020,207.070007,0.00877949,0.001354448,-0.00015297,201.12741462748383,197.35653279098793,188.18736845418798
86,5/6/2020,208.470001,0.006738217,0.001339244,-7.28e-05,202.95698944027265,199.1763468112714,189.92538187888476
87,5/7/2020,211.259995,0.013294428,0.001325881,8.08e-05,204.352280347324,200.54936894337553,191.27206631847613
88,5/8/2020,212.350006,0.005146306,0.001311102,0.00013837,207.1539859771552,203.3332878652854,194.01870200799112
89,5/11/2020,213.179993,0.003900961,0.001296528,0.000180646,208.24682709841977,204.4205787946696,195.07996924532833
90,5/12/2020,210.100006,-0.01455321,0.001284507,1.69e-05,209.09161121834285,205.28511423148535,195.96117099098032
91,5/13/2020,205.100006,-0.024085942,0.001276706,-0.00024793,206.06588119998432,202.32022193127648,193.17665307374088
92,5/14/2020,206.809998,0.008302793,0.001263615,-0.000154988,201.10701214626638,197.46287264184747,188.5487629064681
93,5/15/2020,210.880005,0.019488787,0.001254132,5.62e-05,202.81900137931373,199.15663026745221,190.22744479092734
94,5/18/2020,213.190002,0.010894521,0.001242026,0.000171537,206.8769470978439,203.17002661908612,194.1153821232709
95,5/19/2020,216.880005,0.017160432,0.001231959,0.000350367,209.20401490335868,205.45546635007892,196.2940131800807
96,5/20/2020,229.970001,0.058604642,0.001254107,0.000957182,212.8682821847995,209.08043827964843,199.82343074395104
97,5/21/2020,231.389999,0.006155724,0.001241454,0.001010776,225.80398973460365,221.7569752873188,211.88679150392858
98,5/22/2020,234.910004,0.015097885,0.00123079,0.001154522,227.26292837632224,223.20370446970824,213.28534292593363
99,5/26/2020,232.199997,-0.011603423,0.001219986,0.001025653,230.76035155455392,226.6607552791534,216.61509879019167
100,5/27/2020,229.139999,-0.01326589,0.001209808,0.000882738,228.08069202748413,224.05703997052362,214.16110497190556
