,Date,GOOG,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,63.1735,0.000791769,0.001164565,-0.001097601,61.89208805226714,60.80970141036728,58.17640463261768
73,4/17/2020,64.162498,0.015533987,0.001152349,-0.000869771,61.94714196784817,60.8770651374371,58.25504439818336
74,4/20/2020,63.330502,-0.013051819,0.001138755,-0.001034393,62.937527288930475,61.84949257549028,59.21595753371185
75,4/21/2020,60.817001,-0.040497706,0.001144059,-0.001560571,62.1197127263166,61.05473171855606,58.455694179392864
76,4/22/2020,63.1605,0.037809734,0.001149133,-0.001042541,59.61838659229981,58.59165758885004,56.096639194753664
77,4/23/2020,63.815498,0.01031697,0.001135863,-0.000895014,61.945017209802685,60.881494767898005,58.2787488555374
78,4/24/2020,63.9655,0.002347799,0.001121434,-0.00085344,62.6021512234169,61.532343085227765,58.90985944243142
79,4/27/2020,63.793999,-0.002684749,0.00110728,-0.000876621,62.760645254520924,61.69781559251854,59.09374636702512
80,4/28/2020,61.683498,-0.033642687,0.001106692,-0.001286197,62.59855158680194,61.54033510623629,58.95140927376775
81,4/29/2020,67.073997,0.083780003,0.001181262,-0.000235997,60.50712824556953,59.48365597558197,56.984659655765
82,4/30/2020,67.432999,0.005338055,0.001167231,-0.000168021,65.81984225736709,64.67329541787784,61.86777955944306
83,5/1/2020,66.030502,-0.021017711,0.001158342,-0.000419222,66.18607450354125,65.03882437251126,62.23360988138265
84,5/4/2020,66.339996,0.004676186,0.001144858,-0.000358562,64.79197145871012,63.67136756516921,60.92761737516579
85,5/5/2020,67.555496,0.01815645,0.001135375,-0.000140738,65.11859693714499,63.99890558384849,61.255604067672934
86,5/6/2020,67.364998,-0.002823858,0.001122255,-0.000171937,66.32438729354759,65.1865033267323,62.40924693070998
87,5/7/2020,68.627998,0.01857502,0.001113349,4.35e-05,66.14046207299185,65.01715678710683,62.253399394214156
88,5/8/2020,69.418503,0.01145286,0.00110216,0.000173196,67.4082260514,66.26388826404508,63.477774207605535
89,5/11/2020,70.163002,0.010667689,0.001091,0.000291112,68.19359104242365,67.04568867110376,64.24159605435194
90,5/12/2020,68.787003,-0.019806318,0.001083315,6.78e-05,68.94352708810455,67.79048145523898,64.9636146003048
91,5/13/2020,67.466499,-0.019383654,0.001075523,-0.000145945,67.57844776999691,66.44451203222805,63.682473502242296
92,5/14/2020,67.806503,0.005026941,0.00106412,-8.97e-05,66.26706434133368,65.16319000899732,62.46738978550763
93,5/15/2020,68.6595,0.012501401,0.001054364,4.57e-05,66.61218574427969,65.51014871720548,62.81512033109646
94,5/18/2020,69.196999,0.007797989,0.00104378,0.000128142,67.47378203637057,66.35838199879011,63.63800850573252
95,5/19/2020,68.674248,-0.007583213,0.001033412,4.7e-05,68.00474757547775,66.89048507723194,64.15393120749071
96,5/20/2020,70.335999,0.023909463,0.001028517,0.000295537,67.4997156729814,66.39617892913924,63.715275816357824
97,5/21/2020,70.139999,-0.002790514,0.001018011,0.000263722,69.14621252487657,68.02333970477393,65.25911685517471
98,5/22/2020,70.521004,0.005417364,0.001007892,0.00031631,68.95677163099255,67.83775634733826,65.09730238518117
99,5/26/2020,70.850998,0.004668458,0.0009979,0.000360271,69.34682543819835,68.22564085172642,65.49427763019453
100,5/27/2020,70.891998,0.000578512,0.000987922,0.000362454,69.67907814108253,68.56107863581184,65.84898236346498
101,5/28/2020,70.836502,-0.000783131,0.000978153,0.000351111,69.72711039933097,68.613071718101,65.89375043469099
102,5/29/2020,71.445999,0.008567473,0.000969219,0.000431664,69.6795622967458,68.57562495542568,65.86844057536545
103,6/1/2020,71.591003,0.002027504,0.000959833,0.000447157,70.28613216010935,69.17416398465275,66.45730872848044
104,6/2/2020,71.960999,0.005154882,0.000950815,0.000492424,70.43121237130576,69.32146643188973,66.59962013940898
105,6/3/2020,71.819,-0.001975227,0.000941817,0.000468923,70.81034806148426,69.70378709863755,66.98291751307723
106,6/4/2020,70.609001,-0.016991436,0.000935781,0.000304202,70.67078640492127,69.56847008520073,66.87237313964432
107,6/5/2020,71.919502,0.018389836,0.000930064,0.000473227,69.47344619542315,68.39331193796824,65.7495569987687
108,6/8/2020,72.330498,0.0056984,0.000921703,0.000521608,70.77884686170856,69.68356864689507,66.99089625737331
109,6/9/2020,72.807999,0.00657996,0.00091358,0.000577189,71.19265126936506,70.0990240739911,67.40528297980862
110,6/10/2020,73.292503,0.0066325,0.000905605,0.000632238,71.67043585688401,70.56877281802532,67.8730716270169
