,Date,C,PDR,VAR,AVG,VAR70,VAR85,VAR99
71,4/15/2020,42.860001,-0.058013479,0.003611091,-0.009004868,43.56291985458973,42.24329008765994,39.08425697156103
72,4/16/2020,40.52,-0.056143334,0.00359137,-0.009659569,41.088609463353656,39.8409432735602,36.880986809498125
73,4/17/2020,45.450001,0.114817163,0.003751518,-0.007954409,38.81648466456931,37.64385204254111,34.84227045475732
74,4/20/2020,44.009998,-0.032196007,0.003708656,-0.008281998,43.57646667338763,42.232395348644246,39.020163444053146
75,4/21/2020,41.57,-0.057038082,0.00369048,-0.008932079,42.199155060286316,40.90786155139289,37.80792031970655
76,4/22/2020,42.240002,0.015988933,0.003649985,-0.008604171,39.83751368375504,38.617365047562025,35.69996264855421
77,4/23/2020,42.459999,0.005194746,0.003605024,-0.008424964,40.49297194696305,39.26321429656726,36.32031155845799
78,4/24/2020,43.099998,0.014960518,0.003565727,-0.00812515,40.72883832337252,39.49565774216308,36.553762146832916
79,4/27/2020,46.560001,0.077218874,0.003611622,-0.007044846,41.35673915364238,40.10904648337541,37.12839057344457
80,4/28/2020,47.209999,0.013863888,0.003571873,-0.006783487,44.71593579788585,43.365892374159415,40.130718978453096
81,4/29/2020,50.259998,0.062603779,0.003586481,-0.005926854,45.35843362604216,43.992244417294806,40.71812058665449
82,4/30/2020,48.560001,-0.034409325,0.003552516,-0.006274201,48.32571618191338,46.86674355879372,43.37814408602958
83,5/1/2020,45.52,-0.064648378,0.003550275,-0.006977505,46.688379076080096,45.2840049247448,41.92958523368458
84,5/4/2020,45.119999,-0.008826205,0.00350805,-0.006999513,43.736189526333156,42.419182130263984,39.27067350094108
85,5/5/2020,43.950001,-0.026272938,0.003471097,-0.007226259,43.359215792708675,42.06075878015518,38.982125680655685
86,5/6/2020,42.950001,-0.023015975,0.003433601,-0.007409861,42.23494738087824,40.980167962332104,37.96886738643542
87,5/7/2020,44.639999,0.038593624,0.00341818,-0.006881085,41.27648636713636,40.052183365872665,37.14369818474711
88,5/8/2020,46.32,0.036943538,0.003400914,-0.006383078,42.922883202347606,41.65596546719425,38.63774786353257
89,5/11/2020,44.07,-0.049794554,0.003383639,-0.006870847,44.56469627297575,43.25312180135657,40.118035890471525
90,5/12/2020,42.349998,-0.039810905,0.003357965,-0.007236848,42.38387114152718,41.14263487424851,38.16515119860177
91,5/13/2020,40.599998,-0.042200357,0.00333435,-0.007621062,40.717546345226125,39.529622227200484,36.68772719162056
92,5/14/2020,42.060001,0.035329177,0.003317941,-0.007154212,39.02364119523588,37.88926750176794,35.17402791957831
93,5/15/2020,41.919998,-0.003334202,0.003282419,-0.007113136,40.45559872588944,39.275226468102154,36.47583983293762
94,5/18/2020,45.669998,0.085678591,0.003338124,-0.00612599,40.325475911034765,39.158604934788876,36.367735937432805
95,5/19/2020,44.43,-0.027526666,0.003307756,-0.006351261,43.963194909550175,42.680499927324895,39.614451235049785
96,5/20/2020,45.470001,0.023137873,0.003282264,-0.006044082,42.76719172821115,41.529371011383084,38.553198332441355
97,5/21/2020,45.0,-0.0103903,0.003248619,-0.006088888,43.78754503063827,42.519935224761774,39.4710271986245
98,5/22/2020,44.099998,-0.020202753,0.003217482,-0.006232908,43.33853723229039,42.08714899335766,39.1054817335344
99,5/26/2020,48.169998,0.088276642,0.003274294,-0.005278266,42.47122629698255,41.257974803737305,38.338361297076126
100,5/27/2020,52.259998,0.081494843,0.003316094,-0.004410535,46.42620937102792,45.08184775811901,41.85964490033112
101,5/28/2020,49.16,-0.061150937,0.003314821,-0.004972321,50.390632141209366,48.93436643735635,45.44175336627994
102,5/29/2020,47.91,-0.025756034,0.003286517,-0.005176083,47.38534049538776,46.00881303957037,42.70361522871869
103,6/1/2020,49.450001,0.031637827,0.003267639,-0.004818666,46.171746642696945,44.836998322597765,41.62408918665567
104,6/2/2020,50.84,0.027721368,0.003246303,-0.004505781,47.682632751277666,46.30473268150994,43.00194013150259
105,6/3/2020,53.34,0.048003072,0.003241394,-0.004005697,49.04595434986035,47.63174103902299,44.25701390503633
106,6/4/2020,55.650002,0.042395595,0.003230935,-0.003567949,51.47872499994791,50.00526424975688,46.479508205993966
107,6/5/2020,58.860001,0.056079646,0.00323368,-0.003010495,53.73979263338271,52.19946001981333,48.51470577777556
108,6/8/2020,61.240002,0.039638844,0.003220425,-0.002615593,56.86620365549358,55.23408307351772,51.32976264627356
109,6/9/2020,59.5,-0.028824291,0.003197123,-0.00285604,59.194552801708504,57.49829378526843,53.44408409538273
110,6/10/2020,55.860001,-0.063127734,0.003200783,-0.003403965,57.50789808643896,55.867901985955676,51.94065359282071
111,6/11/2020,48.389999,-0.143555418,0.003347312,-0.00466659,53.95831522651994,52.4123007535189,48.73070664891413
112,6/12/2020,52.25,0.076746731,0.003376076,-0.003939686,46.65521454750802,45.2929278755038,42.0457382877245
113,6/15/2020,52.98,0.013874593,0.003348983,-0.003782037,50.39546266139052,48.91658453092427,45.39989106099549
114,6/16/2020,54.450001,0.027368384,0.003328043,-0.003508788,51.11792351678241,49.62664202747908,46.0571952922974
115,6/17/2020,53.0,-0.026990954,0.003303857,-0.003712981,52.55148100030115,51.019681381732156,47.36452860458021
116,6/18/2020,53.040001,0.000754451,0.003275546,-0.003674468,51.152687014614045,49.66897848124488,46.11327692518762
117,6/19/2020,52.919998,-0.002265063,0.003247566,-0.003662422,51.20591843388225,49.724651702726405,46.17186510066385
118,6/22/2020,52.060001,-0.016384383,0.003221405,-0.003770235,51.089663411781565,49.61961973300812,46.11240606677536
119,6/23/2020,52.950001,0.016951172,0.003197912,-0.003596106,50.26427786748535,48.82524904193042,45.38342085266211
120,6/24/2020,50.810001,-0.041254886,0.003182982,-0.003909929,51.1382479097297,49.68070186655395,46.19966548154617
121,6/25/2020,52.68,0.036142672,0.003169825,-0.003578916,49.06535447652714,47.66588660808268,44.31838206425576
122,6/26/2020,49.580002,-0.06064831,0.00317032,-0.004046698,50.88338048273266,49.44030244128672,45.95855848004372
123,6/29/2020,50.290001,0.014218703,0.003147236,-0.003898198,47.87343020320079,46.51203250935867,43.23865828976634
124,6/30/2020,51.099998,0.015978188,0.003125015,-0.003737905,48.5676070558638,47.19417333373025,43.898197824553684
125,7/1/2020,50.349998,-0.014785879,0.003100984,-0.003826289,49.359005578329736,47.965729372304835,44.63605905323622
126,7/2/2020,50.549999,0.003964346,0.00307685,-0.003764458,48.64057177486587,47.27209828173129,43.982545943313376
127,7/6/2020,51.970001,0.027703723,0.003060359,-0.003516677,48.84442731642018,47.47857214403294,44.192192485482565
128,7/7/2020,50.32,-0.032264036,0.003042856,-0.003741266,50.22844342020259,48.82927924822093,45.46530764432902
129,7/8/2020,50.880001,0.011067326,0.003020955,-0.003626471,48.62483208989958,47.27323897109904,44.023946740124096
130,7/9/2020,49.450001,-0.02850786,0.003002442,-0.003817866,49.186633396679355,47.82912567821217,44.5540984770585
131,7/10/2020,52.650002,0.062704198,0.003013045,-0.003310064,47.78965524603095,46.470605604720944,43.30286131927162
132,7/13/2020,52.200001,-0.008583763,0.002990428,-0.003350016,50.9095993023522,49.50413335519867,46.132598666715715
133,7/14/2020,50.150002,-0.04006396,0.002978002,-0.003626061,50.47975052486181,49.08290409494269,45.739370732929416
134,7/15/2020,51.84,0.033143498,0.002965792,-0.003351661,48.488056935402156,47.14830798548327,43.95071083237151
135,7/16/2020,51.459999,-0.007357265,0.002943941,-0.003381333,50.136663688742374,48.75743300111289,45.44762283134822
136,7/17/2020,50.220001,-0.024391414,0.002925517,-0.003535818,49.77549804396124,48.412302326824324,45.130924927476215
137,7/20/2020,50.139999,-0.001594301,0.00290419,-0.003521647,48.5760586455025,47.250441137593924,44.06191581795729
138,7/21/2020,51.73,0.031218811,0.002891827,-0.003269904,48.494168436733844,47.17902522784208,44.01099576094662
139,7/22/2020,51.66,-0.001354096,0.002871049,-0.003256121,50.05150439152138,48.69811672273063,45.41584167401941
