,Date,IBM,PDR,VAR,AVG,VAR70,VAR85,VAR99
79,4/27/2020,120.382408,0.00957553,0.001410729,-0.000920687,116.68325828268979,114.4452007000946,109.00643471482731
80,4/28/2020,120.717018,0.002775703,0.001393264,-0.000874483,117.84222580125096,115.60043013663865,110.1576144174639
81,4/29/2020,123.030594,0.018983944,0.001380872,-0.000629317,118.19647897071218,115.95964237500247,110.48551143759701
82,4/30/2020,120.038239,-0.024622706,0.001370967,-0.000921919,120.49424744614413,118.22656310398332,112.69183002899027
83,5/1/2020,116.510513,-0.029828841,0.001364395,-0.001270195,117.54484063070707,115.33452884373649,109.95430223127867
84,5/4/2020,116.328873,-0.001560217,0.001348153,-0.001273648,114.04593484690018,111.91844684322089,106.7069949945339
85,5/5/2020,117.189293,0.007369224,0.001333161,-0.001171967,113.89609514338676,111.77505912542355,106.61266494861381
86,5/6/2020,117.753349,0.004801658,0.001318069,-0.001102506,114.7570731266794,112.63411618153498,107.44085609596176
87,5/7/2020,115.898659,-0.015875994,0.001305399,-0.001272316,115.33388415152399,113.19478697862787,108.0229896894128
88,5/8/2020,117.581261,0.014413498,0.001293329,-0.001094069,113.50694663143071,111.42332366547892,106.36449713546783
89,5/11/2020,117.198853,-0.003257587,0.001278849,-0.001118378,115.18497817787127,113.08620588981516,107.96285852353374
90,5/12/2020,114.971321,-0.019189376,0.001268228,-0.001319167,114.82499081216777,112.73321302939583,107.6724198469256
91,5/13/2020,110.640533,-0.03839621,0.001269232,-0.001726607,112.62463932862597,110.59694577367615,105.62912176756218
92,5/14/2020,111.806885,0.010486637,0.00125704,-0.001593854,108.32695984277788,106.37253801529143,101.59583204598515
93,5/15/2020,111.835564,0.000256472,0.00124356,-0.001573958,109.50317473526475,107.53402465714707,102.73373924906151
94,5/18/2020,116.214149,0.038404987,0.001247153,-0.00114865,109.54297343951008,107.58548791630815,102.7817579641079
95,5/19/2020,115.0,-0.010502473,0.001234936,-0.001247111,113.87985830652201,111.83280145534003,106.83551239986932
96,5/20/2020,116.042068,0.009020652,0.001223159,-0.001140156,112.68107065053837,110.6645738822975,105.74088649949469
97,5/21/2020,113.881454,-0.01879475,0.001213729,-0.001322162,113.73899005249531,111.72328808987854,106.79673213141308
98,5/22/2020,113.183556,-0.00614714,0.001201579,-0.001371396,111.60514855471277,109.63598626174782,104.81027527688255
99,5/26/2020,116.405357,0.028067666,0.001198108,-0.001074032,110.91624750407634,108.96374423752614,104.18869617920342
100,5/27/2020,120.019119,0.030572499,0.001196042,-0.000757567,114.108817725624,112.11549495010519,107.22555253115227
101,5/28/2020,119.053535,-0.008077789,0.001184725,-0.000830044,117.71380335390985,115.64820630639667,110.60992265342233
102,5/29/2020,119.407265,0.002966779,0.00117325,-0.00079282,116.75604890297386,114.71062707965653,109.7048002843748
103,6/1/2020,119.397705,-8.01e-05,0.001161864,-0.0007859,117.11940169227782,115.09035429957284,110.10423740175992
104,6/2/2020,120.458893,0.008848578,0.001151576,-0.000693261,117.11726881618605,115.09907305027897,110.14134828230215
105,6/3/2020,123.374763,0.023918019,0.001146323,-0.000458868,118.18319360383943,116.14536436530372,111.16474280463206
106,6/4/2020,123.221794,-0.001240642,0.001135514,-0.000466243,121.08151513691486,119.00917459916764,113.91770288717353
107,6/5/2020,126.252388,0.024297048,0.001130579,-0.000234811,120.93965192936548,118.87339324663988,113.84090883317705
108,6/8/2020,129.780121,0.027558659,0.001127197,2.25e-05,123.95685089389177,121.83842880556004,116.68379355455247
109,6/9/2020,126.070747,-0.028998408,0.001124512,-0.000243711,127.43310106830754,125.26300284846599,119.96247616577872
110,6/10/2020,124.158699,-0.015282656,0.001116326,-0.000380429,123.76117707467313,121.65287688980114,116.54379652313705
111,6/11/2020,112.820267,-0.095764583,0.001187496,-0.001239745,121.88498103277291,119.81820494033143,114.76860449230804
112,6/12/2020,116.548759,0.032513723,0.001186975,-0.000938375,110.59479301477175,108.6684118831567,103.92875017476287
113,6/15/2020,116.300194,-0.00213499,0.001176483,-0.000948964,114.28614483530006,112.28678953052791,107.41917418197588
114,6/16/2020,119.646271,0.02836492,0.001173635,-0.000691825,114.05254495295272,112.07682197489747,107.23476494347804
115,6/17/2020,118.690247,-0.008022515,0.001163893,-0.00075557,117.36808459056529,115.33012337863542,110.32094896284616
116,6/18/2020,118.699806,8.05e-05,0.001153865,-0.000748362,116.43981787938199,114.42334585122843,109.49114542166188
117,6/19/2020,117.084129,-0.01370494,0.001145426,-0.000859102,116.45626603246342,114.44165140393261,109.53174712652606
118,6/22/2020,115.745697,-0.01149721,0.00113667,-0.000949256,114.85862521978002,112.88731188965006,108.04101320727699
119,6/23/2020,114.158699,-0.013805941,0.001128495,-0.001057295,113.5373595232777,111.59035178749804,106.83938677305458
120,6/24/2020,111.300194,-0.025358576,0.001123971,-0.001259806,111.99351520459037,110.08534864853156,105.4000910834219
121,6/25/2020,113.79541,0.022171186,0.001119182,-0.001066161,109.16673521382836,107.30661061949489,102.77641129900404
122,6/26/2020,112.036331,-0.015578984,0.001111721,-0.001185119,111.63525995498799,109.74509468196763,105.1036688914934
123,6/29/2020,114.483749,0.02160968,0.001106872,-0.000999795,109.90852467832053,108.05056318738978,103.49386608021236
124,6/30/2020,115.458893,0.008481679,0.001098665,-0.000923332,112.32540559221347,110.42911592910441,105.79973212188668
125,7/1/2020,113.326958,-0.018637487,0.001092366,-0.001065045,113.30407658237662,111.40300237425693,106.73620452489611
126,7/2/2020,114.435944,0.009738151,0.001084615,-0.000979305,111.19773040316777,109.33618440286304,104.78092851171813
127,7/6/2020,114.904396,0.004085218,0.001076275,-0.000939427,112.30514175369318,110.42852921378159,105.81663676064804
128,7/7/2020,112.40918,-0.021954837,0.00107129,-0.00110361,112.78161598916702,110.90373887246878,106.31550126305525
129,7/8/2020,112.533463,0.00110502,0.001063023,-0.001086489,110.3120545875176,108.47479325754168,103.99816532155134
130,7/9/2020,110.621414,-0.017136939,0.001056813,-0.001209954,110.44469536098694,108.61638116603403,104.13866878546828
131,7/10/2020,113.145317,0.022559297,0.001053025,-0.001028509,108.56366084200361,106.77345996755314,102.38711145612002
132,7/13/2020,113.957932,0.007156379,0.001045551,-0.000966503,111.05869598019206,109.23317009409226,104.76562624155665
133,7/14/2020,115.296364,0.011676529,0.001038883,-0.000871442,111.88186854366293,110.04828393225598,105.53493197454621
134,7/15/2020,117.59082,0.01970508,0.001034266,-0.000717886,113.20715408825296,111.35667922193713,106.82007227646865
135,7/16/2020,118.556404,0.008177859,0.001027187,-0.000651992,115.47511880883353,113.59872270865928,108.98027515815527
136,7/17/2020,119.608032,0.008831166,0.00102029,-0.000582263,116.44281832930983,114.54061996261095,109.88749073171572
137,7/20/2020,120.812622,0.01002077,0.001013658,-0.000504868,117.48249111241006,115.57995673521012,110.9281289344836
138,7/21/2020,120.516251,-0.00245616,0.00100634,-0.000519008,118.68489602402647,116.76324640973334,112.07126069483986
139,7/22/2020,123.011475,0.020493037,0.001002253,-0.000367842,118.41149970243679,116.4977974400878,111.81989359928431
140,7/23/2020,121.7304,-0.01046888,0.000995818,-0.000439992,120.87271849097549,118.93534717398113,114.18526546247922
141,7/24/2020,120.258125,-0.012168289,0.000989724,-0.000523172,119.61242836529404,117.70140779703486,113.01909282037552
142,7/27/2020,120.659653,0.003333323,0.000982858,-0.000496013,118.16854002604765,116.274018111461,111.66051469923137
143,7/28/2020,118.996178,-0.013882422,0.000977229,-0.000589625,118.57290169058221,116.6802229301353,112.07919721022233
144,7/29/2020,119.808792,0.006805697,0.00097082,-0.000538268,116.94053959387395,115.07338598528804,110.52966877943105
145,7/30/2020,117.495216,-0.019499454,0.000966587,-0.000669035,117.74223650084086,115.88009018182896,111.32171879323192
