,Date,MCD,PDR,VAR,AVG,VAR70,VAR85,VAR99
0,1/2/2020,200.789993,,,,,,
1,1/3/2020,200.080002,-0.003542254,0.0,-0.003542254,,,
2,1/6/2020,202.330002,0.011182741,5.42e-05,0.003820244,,,
3,1/7/2020,202.630005,0.001481643,3.74e-05,0.00304071,,,
4,1/8/2020,205.910004,0.016057519,5.98e-05,0.006294912,,,
5,1/9/2020,208.350006,0.011780187,5.26e-05,0.007391967,,,
6,1/10/2020,207.270004,-0.005197076,6.59e-05,0.005293793,,,
7,1/13/2020,206.509995,-0.003673497,6.63e-05,0.004012752,,,
8,1/14/2020,207.320007,0.003914714,5.8e-05,0.004000497,,,
9,1/15/2020,209.770004,0.011748184,5.75e-05,0.004861351,,,
10,1/16/2020,210.850006,0.005135297,5.18e-05,0.004888746,,,
11,1/17/2020,211.979996,0.005344903,4.71e-05,0.004930215,,,
12,1/21/2020,211.160004,-0.003875753,4.91e-05,0.004196384,,,
13,1/22/2020,211.440002,0.001325121,4.59e-05,0.003975518,,,
14,1/23/2020,213.419998,0.009320766,4.45e-05,0.004357321,,,
15,1/24/2020,211.240005,-0.010267094,5.48e-05,0.00338236,,,
16,1/27/2020,209.339996,-0.009035246,6.05e-05,0.00260626,,,
17,1/28/2020,210.389999,0.005003241,5.72e-05,0.002747259,,,
18,1/29/2020,214.440002,0.019067042,6.8e-05,0.003653913,,,
19,1/30/2020,216.179993,0.008081373,6.54e-05,0.003886937,,,
20,1/31/2020,213.970001,-0.010275539,7.17e-05,0.003178814,,,
21,2/3/2020,215.179993,0.005639032,6.85e-05,0.003295967,,,
22,2/4/2020,214.619995,-0.002605855,6.69e-05,0.003027702,,,
23,2/5/2020,214.369995,-0.001165528,6.47e-05,0.002845388,,,
24,2/6/2020,212.869995,-0.007021843,6.59e-05,0.002434253,,,
25,2/7/2020,211.610001,-0.005936665,6.6e-05,0.002099417,,,
26,2/10/2020,213.210007,0.007532666,6.45e-05,0.002308388,,,
27,2/11/2020,215.729996,0.011749979,6.53e-05,0.002658076,,,
28,2/12/2020,217.460007,0.007987351,6.4e-05,0.002848407,,,
29,2/13/2020,217.419998,-0.000184,6.21e-05,0.002743842,,,
30,2/14/2020,217.089996,-0.001518962,6.06e-05,0.002601748,,,
31,2/18/2020,216.149994,-0.004339412,6.01e-05,0.00237784,,,
32,2/19/2020,215.630005,-0.002408584,5.9e-05,0.002228264,,,
33,2/20/2020,215.080002,-0.002553938,5.78e-05,0.002083349,,,
34,2/21/2020,215.869995,0.00366629,5.62e-05,0.002129906,,,
35,2/24/2020,213.520004,-0.010945828,5.94e-05,0.001756314,,,
36,2/25/2020,212.100006,-0.006672634,5.96e-05,0.001522176,,,
37,2/26/2020,210.100006,-0.009474253,6.12e-05,0.001224975,,,
38,2/27/2020,201.0,-0.044278728,0.000112634,2.75e-05,,,
39,2/28/2020,194.169998,-0.034570854,0.000139652,-0.000859628,,,
40,3/2/2020,202.550003,0.042252731,0.000181466,0.000218181,,,
41,3/3/2020,199.509995,-0.015122449,0.00018264,-0.000155981,,,
42,3/4/2020,207.020004,0.036951091,0.000210295,0.000727521,,,
43,3/5/2020,198.320007,-0.042933503,0.000248706,-0.000287852,,,
44,3/6/2020,198.860001,0.002719142,0.000243254,-0.000219511,,,
45,3/9/2020,186.860001,-0.062241386,0.000321432,-0.001597775,,,
46,3/10/2020,199.860001,0.067257448,0.000415269,-0.000100922,,,
47,3/11/2020,188.25,-0.05984626,0.000480765,-0.0013721,,,
48,3/12/2020,170.130005,-0.101207987,0.000674073,-0.003452014,,,
49,3/13/2020,177.130005,0.040321074,0.000698622,-0.002558686,,,
50,3/16/2020,149.009995,-0.17287057,0.00125317,-0.005964923,,,
51,3/17/2020,147.619995,-0.009372014,0.001228821,-0.006031729,,,
52,3/18/2020,137.300003,-0.072473036,0.001288451,-0.007309446,,,
53,3/19/2020,149.5,0.085128058,0.001422319,-0.005565343,,,
54,3/20/2020,148.490005,-0.006778743,0.001396007,-0.005587813,,,
55,3/23/2020,137.100006,-0.079807019,0.001468958,-0.006937253,,,
56,3/24/2020,161.949997,0.166576997,0.001970755,-0.003838784,,,
57,3/25/2020,162.979996,0.006339842,0.001937966,-0.003660212,,,
58,3/26/2020,167.350006,0.026459994,0.001919925,-0.003140898,,,
59,3/27/2020,164.009995,-0.020160092,0.00189221,-0.003429359,,,
60,3/30/2020,168.130005,0.024810148,0.001873743,-0.0029587,,,
61,3/31/2020,165.350006,-0.016673044,0.001846058,-0.003183526,,,
62,4/1/2020,158.169998,-0.044394084,0.001843233,-0.003848212,,,
63,4/2/2020,161.5,0.020834751,0.001823493,-0.003456419,,,
64,4/3/2020,160.330002,-0.007270939,0.001795225,-0.003516021,157.24259399934613,153.83238414296096,145.57897420509678
65,4/6/2020,177.039993,0.099141453,0.001927243,-0.001936675,156.10972013222016,152.7601811102422,144.6053172448765
66,4/7/2020,175.589996,-0.008223947,0.001898632,-0.002031937,172.5117315932087,168.68755471585152,159.4150421798993
67,4/8/2020,177.490005,0.010762588,0.001872701,-0.001840974,171.11361436295837,167.3373799127428,158.20823443317792
68,4/9/2020,183.699997,0.034389678,0.001864181,-0.00130817,173.0297125358327,169.2435110524969,160.0376484116071
69,4/13/2020,180.119995,-0.019680708,0.001841985,-0.001574439,179.197715984638,175.27567671488893,165.7927945089116
70,4/14/2020,183.990005,0.021258168,0.001823013,-0.001248259,175.67491433989653,171.85282783812877,162.60709500452728
