,Date,COST,PDR,VAR,AVG,VAR70,VAR85,VAR99
79,4/27/2020,308.779999,-0.005715834,0.000776934,0.00072941,306.15027756397177,301.7829769959672,291.05989719316494
80,4/28/2020,304.950012,-0.012481178,0.000769376,0.000564278,304.3977168811526,300.0741015349943,289.45297135219886
81,4/29/2020,307.089996,0.006992983,0.000760382,0.000643644,300.6173152601941,296.3802994911618,285.95177665207416
82,4/30/2020,303.0,-0.013408046,0.000753487,0.000472282,302.76352306611136,298.52034489389274,288.10620380368255
83,5/1/2020,301.920013,-0.003570681,0.000744604,0.000423572,298.70774230203267,294.5395015366481,284.2914293188659
84,5/4/2020,304.48999,0.008476088,0.000736502,0.000519435,297.6559768563932,293.5370026062302,283.35610036318815
85,5/5/2020,307.920013,0.011201838,0.000729164,0.00064511,300.22703996305194,296.0745794866716,285.9419532780337
86,5/6/2020,308.890015,0.003145224,0.000720757,0.000674182,303.6840313785433,299.5083723081858,289.2572298162133
87,5/7/2020,305.0,-0.012673498,0.000714497,0.00052076,304.6802126303235,300.51911877635774,290.2614876570583
88,5/8/2020,305.940002,0.003077234,0.000706451,0.000549811,300.8123918525126,296.72835439751884,286.6844202142067
89,5/11/2020,310.329987,0.014247195,0.000700598,0.000703714,301.7684596867823,297.6731630578706,287.63495701588397
90,5/12/2020,304.839996,-0.01784917,0.000696595,0.000497571,306.1660704983599,302.0556613701029,291.92423821185906
91,5/13/2020,302.140015,-0.0088965,0.0006899,0.000394339,300.7083757111238,296.6748167695866,286.68876459128586
92,5/14/2020,299.73999,-0.007975137,0.000683154,0.000303367,298.02488373796587,294.05132248717894,284.27342847665886
93,5/15/2020,299.209991,-0.001769761,0.000675854,0.000281075,295.62479872843494,291.68257479760695,281.9888087307368
94,5/18/2020,302.76001,0.011794808,0.000670059,0.000403562,295.1487107604297,291.24063033002096,281.610207287557
95,5/19/2020,304.630005,0.006157496,0.000663351,0.000464129,298.6967847412165,294.7633382983263,285.1293503744543
96,5/20/2020,304.910004,0.000918722,0.000656443,0.000468865,300.59685523774976,296.6507625674447,286.93867557290486
97,5/21/2020,301.970001,-0.009688986,0.000650728,0.000364144,300.87921457603005,296.9638449552036,287.3498904520412
98,5/22/2020,302.429993,0.001522145,0.000644102,0.000375961,297.97675397764266,294.0872373127581,284.58389923405866
99,5/26/2020,304.799988,0.007805962,0.000638148,0.000451011,298.43957982069884,294.589740959251,285.1637510010914
100,5/27/2020,306.01001,0.003962029,0.000631888,0.000486122,300.8234498661152,296.96409761849424,287.42681046211214
101,5/28/2020,309.559998,0.011534114,0.000626828,0.000595508,302.0726783162758,298.2059421377921,288.66891181858057
102,5/29/2020,308.470001,-0.003527331,0.000620848,0.000555088,305.61411510053193,301.7075084795346,292.09506889708723
103,6/1/2020,308.290009,-0.00058367,0.000614833,0.000544032,304.5411470962871,300.6887286809568,291.1870946538776
104,6/2/2020,307.089996,-0.003900076,0.000609109,0.0005013,304.38622148404943,300.55327721950874,291.1275599145698
105,6/3/2020,306.640015,-0.001466381,0.000603345,0.00048256,303.2050749950681,299.38386761178515,290.0404753995407
106,6/4/2020,310.75,0.01331426,0.000599191,0.000603614,302.7678368003675,299.00846141739015,289.6799788629558
107,6/5/2020,312.040009,0.004142683,0.000593707,0.000636689,306.89721855316327,303.06714824400063,293.6868233858826
108,6/8/2020,307.190002,-0.015664958,0.000590648,0.000485748,308.180860082511,304.3404156765581,294.9462509868399
109,6/9/2020,305.549988,-0.005353063,0.000585539,0.000432181,303.3597996715608,299.6079900985814,290.37608640077036
