,Date,VLO,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,45.0,-0.037081696,0.00387703,-0.01039697,44.65559552565391,43.245875450717264,39.91174248590763
73,4/17/2020,51.759998,0.139955122,0.004129346,-0.008337352,43.01711163548889,41.671613538776,38.43686889505743
74,4/20/2020,50.310001,-0.028413727,0.004078917,-0.008608655,49.520664400421666,47.92057693461917,44.11634113692186
75,4/21/2020,49.450001,-0.017241806,0.004025512,-0.008723764,48.129303361565505,46.58710319804253,42.89465439294084
76,4/22/2020,50.57,0.022396437,0.00398512,-0.008314287,47.321099271184394,45.80898717169159,42.210748806934795
77,4/23/2020,52.07,0.029230452,0.003951434,-0.007826693,48.4240038423003,46.884954488769914,43.2369153548087
78,4/24/2020,52.5,0.008224202,0.003904036,-0.007620912,49.89011718993211,48.309950053621385,44.56140413693482
79,4/27/2020,55.57,0.056830318,0.003906534,-0.006805074,50.33723205648037,48.75639864820351,44.981066567226435
80,4/28/2020,57.869999,0.040555611,0.003885389,-0.006213066,53.306800321101875,51.637738473684955,47.64225202455075
81,4/29/2020,66.279999,0.135689079,0.004082948,-0.004461187,55.55447711569914,53.804755739143936,49.64908596467448
82,4/30/2020,63.349998,-0.045213302,0.004053162,-0.004958164,63.68315186703319,61.62870637859769,56.746019710786086
83,5/1/2020,58.759998,-0.075213558,0.00406308,-0.005804615,60.84557353207434,58.893944492054885,54.23422709939678
84,5/4/2020,63.66,0.080095105,0.004101506,-0.004781999,56.38048605098989,54.57151999943186,50.261473404683024
85,5/5/2020,63.02,-0.010104286,0.004053583,-0.004844614,61.134068124884806,59.16793312441102,54.473414535493625
86,5/6/2020,60.91,-0.034054771,0.004016254,-0.005184267,60.52866394258137,58.58754386926287,53.977722861161766
87,5/7/2020,61.259998,0.005729704,0.003971443,-0.005058819,58.49289362919683,56.6184960985167,52.186295520527736
88,5/8/2020,65.919998,0.073314787,0.003995321,-0.00416821,58.850013911607086,56.98399664484395,52.534043214545775
89,5/11/2020,65.57,-0.005323581,0.003950444,-0.004181192,63.372396231676305,61.346421977749955,56.55289082416286
90,5/12/2020,63.34,-0.034601233,0.003916718,-0.004519192,63.05632105669548,61.06777503100066,56.31304704979893
91,5/13/2020,59.049999,-0.070132515,0.003920466,-0.005240218,60.90102879664449,58.972345915470314,54.37261016691663
92,5/14/2020,59.41,0.006078037,0.00387923,-0.005117193,56.73847139262728,54.94363276860371,50.667635376678646
93,5/15/2020,58.779999,-0.010660918,0.003837844,-0.005176803,57.09844761362476,55.303849285792175,51.03767721855852
94,5/18/2020,64.349998,0.090535259,0.003893435,-0.00415859,56.49560144885337,54.72436481914708,50.54910532897313
95,5/19/2020,64.050003,-0.004672828,0.003852454,-0.004164003,61.89951649065315,59.95489544086128,55.31586510248097
96,5/20/2020,67.339996,0.050090279,0.003842667,-0.003598854,61.61887111844489,59.696872934789674,55.1052244046547
97,5/21/2020,65.730003,-0.024198866,0.003807381,-0.003811225,64.83068451614177,62.80448448506767,57.993589123382506
98,5/22/2020,65.68,-0.000761023,0.003768624,-0.003780101,63.2671344374002,61.30151043792585,56.608161426321715
99,5/26/2020,68.699997,0.04495469,0.003754306,-0.00328783,63.24097624602569,61.28462771778107,56.63215765582973
100,5/27/2020,70.18,0.021314215,0.003722755,-0.00304181,66.17288032597708,64.1284447344632,59.290435922899825
101,5/28/2020,67.129997,-0.044432377,0.00370269,-0.003451617,67.6404070474115,65.5601864700866,60.607020523682934
102,5/29/2020,66.639999,-0.00732601,0.003666535,-0.003489602,64.66986461579603,62.689583780167894,57.96447284262279
103,6/1/2020,66.580002,-0.000900721,0.003631002,-0.003464467,64.2136483521168,62.25098696682338,57.57323354752719
104,6/2/2020,68.190002,0.023893694,0.003603216,-0.003201408,64.1636986199192,62.210829332240536,57.583630462650405
105,6/3/2020,70.540001,0.033881983,0.003581872,-0.002848232,65.73498286973026,63.75027805594469,59.0030839224637
106,6/4/2020,70.050003,-0.006970623,0.00354824,-0.002887123,68.03184634768455,65.98493058137763,61.07049815798021
107,6/5/2020,74.639999,0.063467228,0.003555843,-0.002266989,67.58021243623224,65.54366434434318,60.71462615504962
108,6/8/2020,75.620003,0.013044295,0.003525069,-0.002125218,72.04861543200613,69.89095464490426,64.7280140752137
