,Date,CI,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,195.350006,0.067494851,0.002545458,-0.000665617,177.37035480598277,172.8832860344759,162.01590093508582
73,4/17/2020,194.130005,-0.006264789,0.002511012,-0.000742318,189.8648881127224,185.0341095614758,173.34364134719013
74,4/20/2020,188.699997,-0.028369627,0.002487255,-0.00111566,188.71829370346236,183.93954781033688,172.4607629290986
75,4/21/2020,177.910004,-0.05888061,0.002497989,-0.001885859,183.39389699956197,178.77693707738374,167.59380502951936
76,4/22/2020,182.589996,0.025965353,0.002475193,-0.001519396,172.76944963204724,168.4054186626212,157.90981697871388
77,4/23/2020,184.279999,0.009213154,0.002444524,-0.001380012,177.39826772686806,172.93870812114247,162.15007677536028
78,4/24/2020,188.199997,0.021048877,0.00241955,-0.001092462,179.1096530095041,174.62017261531932,163.7880873357476
79,4/27/2020,192.809998,0.024200026,0.002396918,-0.000772304,182.98693835125596,178.43188376783283,167.49239451233308
80,4/28/2020,189.589996,-0.016841413,0.002370144,-0.000973168,187.55574738429902,182.9059308462325,171.75535051651778
81,4/29/2020,195.869995,0.032587324,0.002354617,-0.000558841,184.41084590990152,179.87277772106614,168.90319398381706
82,4/30/2020,195.779999,-0.000459574,0.002325902,-0.00055763,190.63031902510983,185.95872634324002,174.67867098670038
83,5/1/2020,187.089996,-0.045401812,0.002321816,-0.001097922,190.57480282823755,185.90833424130716,174.7376748303444
84,5/4/2020,184.610001,-0.013344266,0.002295939,-0.001243711,181.99901091780737,177.56164705785073,166.85272967596967
85,5/5/2020,190.389999,0.030829098,0.002280888,-0.000866384,179.59959668520582,175.23968933907418,164.79564047743236
86,5/6/2020,183.429993,-0.03724151,0.002269572,-0.001289351,185.2976149685835,180.82993514663718,170.01661757798652
87,5/7/2020,184.179993,0.004080417,0.002243813,-0.001227629,178.48435571874643,174.15271864664052,163.78699310415473
88,5/8/2020,189.270004,0.027261086,0.002227433,-0.000903894,179.25080849963157,174.93516909119032,164.5902185263721
89,5/11/2020,188.990005,-0.001480458,0.00220241,-0.000910372,184.27601285385586,179.86250460254863,169.22483851112545
90,5/12/2020,189.559998,0.003011456,0.002178107,-0.000866796,183.99733098421964,179.6458901660942,169.12651672201636
91,5/13/2020,181.009995,-0.046153336,0.002176461,-0.001364451,184.6192640072843,180.24189785685144,169.71858597431617
92,5/14/2020,184.460007,0.018880425,0.002157211,-0.001144398,176.20121653185083,172.05294609389765,161.99159762839395
93,5/15/2020,190.149994,0.030380527,0.002144586,-0.00080542,179.61214922073955,175.40671064161984,165.18882583386497
94,5/18/2020,193.509995,0.017515962,0.002125305,-0.000610512,185.22557818574504,180.88474624550665,170.41040255589417
95,5/19/2020,191.779999,-0.008980288,0.002103663,-0.000698615,188.5713470372925,184.1771647271413,173.5476973245098
96,5/20/2020,188.270004,-0.018471753,0.002085006,-0.000883751,186.8791587756805,182.53324260946246,172.02829118036277
97,5/21/2020,188.679993,0.002175297,0.002063606,-0.000852215,183.4511712151909,179.21871121228307,168.91036102839698
98,5/22/2020,189.0,0.001694594,0.002042615,-0.000826227,183.87357181732528,179.66682265841507,169.41735985498485
99,5/26/2020,195.919998,0.035959387,0.002035512,-0.000454655,184.22112455970037,180.00653435657054,169.78434194361813
100,5/27/2020,199.460007,0.017907348,0.002018495,-0.000271035,191.07168830949536,186.70641603534037,176.13610421935385
101,5/28/2020,200.570007,0.005549598,0.001998842,-0.000213405,194.5553129846018,190.14859105337294,179.42588764748416
102,5/29/2020,197.320007,-0.016336536,0.001981769,-0.000371475,195.68961064922786,191.26187917251724,180.61786267184658
103,6/1/2020,198.100006,0.003945172,0.001962708,-0.000329566,192.4732260675766,188.15079802615162,177.64078898012306
104,6/2/2020,201.309998,0.016074015,0.001946398,-0.000171839,193.28621845405178,188.95151653352622,178.47380010112167
105,6/3/2020,201.360001,0.000248357,0.001927863,-0.000167837,196.47252608536644,192.09356713388476,181.4539429753948
106,6/4/2020,202.389999,0.005102168,0.001909935,-0.00011812,196.5356157908389,192.17478980578738,181.57067608658826
107,6/5/2020,209.479996,0.034431726,0.001903137,0.000204776,197.60364361669298,193.24285873339957,182.6710202592597
108,6/8/2020,215.839996,0.029909124,0.001893609,0.000479816,204.59666875835546,200.09201401196984,189.15047841357887
109,6/9/2020,214.5,-0.006227636,0.001876646,0.00041828,210.8753895625595,206.2502786429153,194.99857635445144
110,6/10/2020,209.0,-0.025975486,0.001865861,0.000178336,209.54804450954973,204.95758019285498,193.86643086878087
111,6/11/2020,191.559998,-0.087133187,0.001917111,-0.000608254,204.17975084986983,199.70901273526349,188.8553089807844
112,6/12/2020,190.020004,-0.008071714,0.001900487,-0.000674892,186.90750579678314,182.75109618283406,172.71466931414562
113,6/15/2020,187.130005,-0.015325762,0.001885551,-0.000804546,185.42331043644342,181.3488363652851,171.41141787359433
114,6/16/2020,193.020004,0.030990242,0.001877801,-0.000525644,182.5783460902775,178.5660923751468,168.85050307938107
115,6/17/2020,191.800003,-0.006340653,0.001861764,-0.000576209,188.39825269303137,184.2665269634665,174.2842411237778
116,6/18/2020,189.979996,-0.009534396,0.0018464,-0.000653435,187.2200007487855,183.13348867452203,173.21361038764957
117,6/19/2020,191.399994,0.007446665,0.001831175,-0.000584204,185.4571718947294,181.4413116011631,171.66278307033522
118,6/22/2020,190.380005,-0.005343347,0.001815847,-0.000624535,186.874268337865,182.82869315387737,173.0138360524024
119,6/23/2020,192.309998,0.010086542,0.001801543,-0.000534526,185.89003178472086,181.8828690730288,172.10586423670856
120,6/24/2020,183.970001,-0.044335937,0.001802385,-0.000899538,187.79706421374553,183.7651092622629,173.96766084720878
121,6/25/2020,185.479996,0.008174332,0.001788164,-0.000824547,179.58589834325517,175.72607362487412,166.41082439556894
122,6/26/2020,185.059998,-0.002266952,0.001773524,-0.00083637,181.1257646507225,177.23901223754368,167.8219665191531
123,6/29/2020,187.550003,0.013365407,0.001760732,-0.000720909,180.6747191595329,176.82279955419006,167.45987727582371
124,6/30/2020,187.649994,0.000533001,0.001746545,-0.000710797,183.19172128676672,179.30968209648765,169.8777845956579
125,7/1/2020,190.5,0.015073701,0.00173455,-0.000584521,183.28376988669342,179.40655080134627,169.96336581011855
126,7/2/2020,190.490005,-5.25e-05,0.001720786,-0.000580298,186.13983743781822,182.20337660290429,172.68114756470726
127,7/6/2020,189.330002,-0.006108191,0.001707475,-0.000623825,186.12387131139113,182.21749056470662,172.7023368635233
128,7/7/2020,182.050003,-0.039210144,0.001705677,-0.00092528,185.00589318352607,181.1405524499083,171.7211767287885
129,7/8/2020,180.080002,-0.010880183,0.001693216,-0.00100245,177.80557254290116,174.08511128258777,165.05049227709975
130,7/9/2020,173.899994,-0.034920821,0.001688973,-0.001263361,175.9206429770021,172.240288642727,163.35728261849306
131,7/10/2020,175.539993,0.00938651,0.00167694,-0.001182064,169.83703936903123,166.30337816328444,157.74283501391224
132,7/13/2020,177.369995,0.010371021,0.001665239,-0.00109454,171.45456172827764,167.89369274600733,159.24115126971438
133,7/14/2020,182.169998,0.026702388,0.001658484,-0.000885541,173.27306699881157,169.6849545577263,161.00426473313678
134,7/15/2020,181.039993,-0.006222343,0.001646318,-0.000925368,178.01525799941132,174.34096264408424,165.41504532440473
135,7/16/2020,180.0,-0.005761112,0.001634295,-0.000961188,176.90571150531707,173.26440676725832,164.43860915567612
136,7/17/2020,179.809998,-0.001056124,0.001622279,-0.000961886,175.91612604933192,172.30679097646268,163.55506271173343
137,7/20/2020,175.860001,-0.022212497,0.001613709,-0.001117,175.7344449292775,172.12968951564025,163.42821232839552
138,7/21/2020,178.300003,0.013779312,0.001603612,-0.001009056,171.86624797995842,168.36686864007987,159.85702542994548
139,7/22/2020,176.929993,-0.007713407,0.001592396,-0.001057289,174.27551720152775,170.74241098551371,162.13399895977682
140,7/23/2020,179.119995,0.01230181,0.001582288,-0.000961867,172.94266116382917,169.44189489617136,160.92279784690996
141,7/24/2020,181.020004,0.0105516,0.001571999,-0.000880211,175.1077624717198,171.57137727527055,163.04820453657413
142,7/27/2020,175.5,-0.030968502,0.001567259,-0.0010921,177.01097856146552,173.46022142584042,164.80315679029465
143,7/28/2020,175.75,0.001423488,0.001556344,-0.001074509,171.57947484035276,168.12601509854096,159.7424329827291
144,7/29/2020,181.800003,0.033844668,0.001553945,-0.000832014,171.8249497425154,168.37555772741754,160.04272315997704
145,7/30/2020,178.470001,-0.018486673,0.001545362,-0.000953771,177.7886675733609,174.23785810815443,165.5696630267009
146,7/31/2020,172.690002,-0.032922434,0.00154173,-0.001172734,174.51381580033453,171.04266710562564,162.60964919885217
147,8/3/2020,173.0,0.001793503,0.001531301,-0.001152556,168.85441318495424,165.49473721470926,157.2697309999153
148,8/4/2020,173.5,0.002886005,0.001521064,-0.001125268,169.16827005328184,165.80882802809907,157.6590283317502
149,8/5/2020,174.869995,0.007865213,0.001511394,-0.001064929,169.6634673734473,166.32111581107523,158.16045495645233
150,8/6/2020,173.070007,-0.010346635,0.001501889,-0.001126807,171.02064326328068,167.65038039449541,159.44071208247814
151,8/7/2020,178.190002,0.029154231,0.001497975,-0.000926271,169.26297678207746,165.9389124619087,157.86773254444265
152,8/10/2020,183.0,0.026635745,0.001493085,-0.000744942,174.31767428759102,170.89120506535374,162.55814008205078
153,8/11/2020,182.380005,-0.003393703,0.001483372,-0.000762254,179.05349696238446,175.539097044189,167.02946964766505
154,8/12/2020,184.320007,0.010580966,0.001474569,-0.000688596,178.45494740002718,174.97744817206885,166.48821571244585
155,8/13/2020,180.880005,-0.01883956,0.001467168,-0.000805699,180.3836888969779,176.87743306448317,168.35902767507244
156,8/14/2020,183.399994,0.013835671,0.001459128,-0.000711844,177.01834137960208,173.5846382476122,165.19294081777366
157,8/17/2020,182.190002,-0.006619418,0.001450055,-0.000749472,179.51131770343167,176.02675556176564,167.55050625616335
158,8/18/2020,181.929993,-0.00142815,0.001440881,-0.000753768,178.32708568676293,174.87705781463572,166.49380923056802
159,8/19/2020,181.25,-0.003744665,0.001431874,-0.000772578,178.0594890230641,174.6408319863533,166.27719096205124
160,8/20/2020,178.009995,-0.018037593,0.001424777,-0.000880485,177.40650872944116,174.00268505635904,165.7079601862851
161,8/21/2020,178.300003,0.001627841,0.001415966,-0.000864905,174.2517218773889,170.9152728786549,162.77186440317286
162,8/24/2020,177.679993,-0.003483402,0.001407267,-0.000881069,174.53816446537272,171.2002776185819,163.09115356560227
163,8/25/2020,177.410004,-0.00152068,0.001398636,-0.000884993,173.95373802857347,170.6397919086339,162.60813360284877
164,8/26/2020,174.100006,-0.018833579,0.00139206,-0.000994435,173.69895422268343,170.40116854406176,162.39680672303507
165,8/27/2020,177.080002,0.016971738,0.001385568,-0.000885549,170.42869224873093,167.20422433761615,159.3231738277216
166,8/28/2020,181.149994,0.022723765,0.001380559,-0.000743325,173.37079887483193,170.10525293540286,162.11316024884616
167,8/31/2020,177.369995,-0.021087466,0.001374756,-0.000865146,177.4015143450817,174.0632646912347,165.9433541642838
168,9/1/2020,176.149994,-0.006902047,0.001366788,-0.00090108,173.67611133936242,170.40613005528087,162.46341656373653
169,9/2/2020,181.339996,0.029037829,0.001363973,-0.000723926,172.48274044688284,169.24638789219125,161.39657143437915
170,9/3/2020,178.429993,-0.016177372,0.001357346,-0.000814829,177.60523521626448,174.27184795926001,166.15342126779547
171,9/4/2020,178.610001,0.001008335,0.001349428,-0.000804167,174.75256667614948,171.4969237325262,163.52157917748494
172,9/8/2020,173.979996,-0.026264336,0.001345329,-0.000952191,174.95182777316282,171.67976191954955,163.73543533775867
173,9/9/2020,174.029999,0.000287365,0.001337561,-0.000945026,170.38773459547502,167.20979078251506,159.47507737982346
174,9/10/2020,169.740005,-0.024959808,0.00133317,-0.001083042,170.453030704758,167.2865069388011,159.58654620220926
175,9/11/2020,169.360001,-0.002241251,0.001325559,-0.001089661,166.22629578581603,163.1603179185549,155.64584034466756
176,9/14/2020,171.850006,0.014595405,0.001319418,-0.001000541,165.8572846292519,162.77343722279147,155.33119139447163
177,9/15/2020,166.5,-0.031626729,0.001317233,-0.00117357,168.3184038888405,165.2217711390392,157.65964517230148
178,9/16/2020,168.589996,0.012474399,0.001310873,-0.001096896,163.07077164142586,160.06250573635307,152.69920488785277
179,9/17/2020,169.0,0.002429007,0.001303619,-0.001077199,165.13626004310075,162.09571043041495,154.66947237190072
180,9/18/2020,167.919998,-0.006411051,0.001296534,-0.001106831,165.54222531585165,162.50808236796314,155.08968434104426
