,Date,GS,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,177.039993,-0.008325006,0.002358732,-0.003893223,173.11532757326134,168.82360550409032,158.50413273081955
73,4/17/2020,183.490005,0.035784541,0.002347691,-0.003349692,171.6983099684908,167.47012833452737,157.3036846213057
74,4/20/2020,180.399994,-0.016983623,0.002318444,-0.003533935,178.09413866424615,173.73763843122484,163.21344038964335
75,4/21/2020,173.809998,-0.037213837,0.002302454,-0.003983,175.08136715662013,170.80970807349973,160.52705493085227
76,4/22/2020,175.979996,0.012407592,0.002275647,-0.003767334,168.60017436177742,164.50869985732172,154.6136242020862
77,4/23/2020,175.050003,-0.005298665,0.002246123,-0.003787222,170.79380627472574,166.67690283437852,156.73992587837063
78,4/24/2020,177.0,0.011078068,0.002220123,-0.003596641,169.9274646890463,165.83525250404912,155.9801534785939
79,4/27/2020,183.539993,0.036282857,0.002211897,-0.003091837,171.86260784007175,167.77170181308585,157.85445743450077
80,4/28/2020,187.009995,0.018729475,0.002190126,-0.002819071,178.30965819875172,174.0608993491332,163.82208024151862
81,4/29/2020,190.029999,0.016019885,0.002167415,-0.002586491,181.75445542131777,177.43754048560655,167.08312082842406
82,4/30/2020,183.419998,-0.035403355,0.002153956,-0.002986697,184.76522545799537,180.40125276131266,169.92060622937805
83,5/1/2020,177.100006,-0.035064016,0.002140253,-0.003373171,178.2956365092461,174.10143588159886,163.9776847728426
84,5/4/2020,176.029999,-0.006060149,0.002114858,-0.003405158,172.0992055605694,168.06110659202122,158.32968862733654
85,5/5/2020,178.300003,0.012813112,0.002093036,-0.003214355,171.07551764171376,167.08275757223606,157.46468969445132
86,5/6/2020,176.919998,-0.0077699,0.002068937,-0.003267327,173.33877975156798,169.3219634179892,159.59857232086762
87,5/7/2020,182.320007,0.030065782,0.00205778,-0.002884187,172.00673410446026,168.03681776349222,158.42153061653082
88,5/8/2020,185.389999,0.016698286,0.002038704,-0.002661659,177.32609342957548,173.25694079547281,163.4239603996164
89,5/11/2020,183.160004,-0.012101599,0.002016788,-0.002767726,180.37015384708468,176.25829716855674,166.32811533443072
90,5/12/2020,177.210007,-0.0330246,0.002004438,-0.003103914,178.2302036280081,174.16636132852966,164.35887002035034
91,5/13/2020,171.800003,-0.031004482,0.001990871,-0.003410513,172.37890472561574,168.49207141000286,159.01803927621353
92,5/14/2020,174.449997,0.015307123,0.001972998,-0.003207061,167.07159647461162,163.30824434319956,154.17008345009182
93,5/15/2020,171.869995,-0.014899802,0.001953238,-0.003332789,169.72255981851876,165.91305011738322,156.6112148594696
94,5/18/2020,181.880005,0.056608808,0.001970275,-0.002695112,167.1983043050199,163.44759044150572,154.40536206631495
95,5/19/2020,177.830002,-0.022519107,0.001953629,-0.002903786,177.04524346699608,173.08714934033227,163.44154067974208
96,5/20/2020,181.440002,0.020096983,0.001938732,-0.002664195,173.08123454914113,169.18994826678153,159.8345489256721
97,5/21/2020,180.100006,-0.007412746,0.001918975,-0.002713149,176.63763229012554,172.70482578488378,163.1515314798988
98,5/22/2020,179.929993,-0.000944438,0.001899425,-0.002695101,175.3737720666977,171.47751035110912,162.0654672289707
99,5/26/2020,196.059998,0.085852877,0.001958638,-0.001800677,175.23077441668755,171.37110508115924,161.97407385632513
100,5/27/2020,209.660004,0.067066465,0.001986005,-0.001112005,191.0461638200729,186.7581610471956,176.38923477801177
101,5/28/2020,201.220001,-0.041088348,0.001982007,-0.001507811,204.38991537491498,199.77395984524648,188.60121820808288
102,5/29/2020,196.490005,-0.023787277,0.001967395,-0.001726237,196.0889930062587,191.67954698052733,181.0162263650897
103,6/1/2020,199.929993,0.017355705,0.001951795,-0.001540975,191.4463175075585,187.1534383316624,176.7137258329662
104,6/2/2020,204.139999,0.020838758,0.001937797,-0.001325786,194.87154491188866,190.51153701747072,179.98666104859453
105,6/3/2020,210.570007,0.031012145,0.001929206,-0.001017805,199.02756509265535,194.59037062827989,183.78306565128136
106,6/4/2020,214.820007,0.019982328,0.001915127,-0.000819691,205.39877564710656,200.81335497503719,189.7239928735717
107,6/5/2020,217.919998,0.014327513,0.001899353,-0.000678128,209.58377915635637,204.94865356074314,193.72260036360845
108,6/8/2020,220.809998,0.01317458,0.001883527,-0.000549862,212.65467068259522,207.96326206691168,196.60928480125864
109,6/9/2020,218.100006,-0.012348893,0.001867512,-0.00065811,215.53152292796247,210.7830884764127,199.33373725268643
110,6/10/2020,213.520004,-0.021223177,0.001854345,-0.000845066,212.88590749945254,208.2235200833487,196.895810331149
111,6/11/2020,194.130005,-0.09520246,0.001917126,-0.001695132,208.37733719191934,203.85066215147765,192.7965675400215
112,6/12/2020,201.779999,0.038649927,0.001914413,-0.001334908,189.22894150169998,185.0391874344922,174.8666317082665
113,6/15/2020,206.309998,0.022201892,0.00190233,-0.001126618,196.75574636637262,192.40010840648108,181.87999982701257
114,6/16/2020,209.589996,0.01577334,0.001888126,-0.000978373,201.2260245497562,196.7815353523685,186.08196515758297
