,Date,NKE,PDR,VAR,AVG,VAR70,VAR85,VAR99
71,4/15/2020,85.040001,-0.028174143,0.001503233,-0.002588872,85.44471665311264,83.75379702673561,79.66386534380248
72,4/16/2020,86.300003,0.014707887,0.001486452,-0.002348639,83.04283965422188,81.40622634410441,77.42479868563096
73,4/17/2020,89.910004,0.040979582,0.001491455,-0.001755102,84.30686287995768,82.65905394004241,78.65051734335943
74,4/20/2020,87.900002,-0.022609387,0.001477098,-0.002036916,87.89470666616724,86.16900563054217,81.97914401791219
75,4/21/2020,85.199997,-0.031198429,0.00146859,-0.002425737,85.91186816429806,84.23569685988778,80.17191124078016
76,4/22/2020,88.769997,0.041047323,0.001473807,-0.001853723,83.2429428103248,81.62524645775183,77.68825119504545
77,4/23/2020,87.349998,-0.016125708,0.001457277,-0.002039073,86.76618203392208,85.08024577210243,80.97057895200801
78,4/24/2020,88.370003,0.011609566,0.001440952,-0.001864091,85.3804238639958,83.72702558411316,79.69493711014641
79,4/27/2020,89.370003,0.011252509,0.001424862,-0.001698058,86.40297765838127,84.73943178334113,80.69374803324664
80,4/28/2020,88.800003,-0.006398405,0.001407324,-0.001756812,87.40680657608173,85.72462026943464,81.65562511019691
81,4/29/2020,88.07,-0.008254731,0.001390465,-0.001837033,86.85536876220877,85.20578338033212,81.16005669421166
82,4/30/2020,87.18,-0.010157006,0.001374342,-0.001938496,86.14878116659199,84.51677452177303,80.5435204869359
83,5/1/2020,85.540001,-0.018990832,0.001361245,-0.002143946,85.27814508630844,83.67018525277686,79.77096668898437
84,5/4/2020,85.75,0.002451972,0.001345288,-0.002089233,83.66799148699388,82.10167323127745,78.2931205123613
85,5/5/2020,87.199997,0.01676821,0.001333595,-0.001867381,83.88350548021991,82.32440110541319,78.50297954962325
86,5/6/2020,88.440002,0.014120082,0.001321026,-0.00168148,85.32994032752863,83.7490423421287,79.87026497440092
87,5/7/2020,88.559998,0.001355887,0.001305946,-0.001646568,86.56927254712167,84.97241764028746,81.06816776086667
88,5/8/2020,90.459999,0.021227487,0.001296984,-0.001386635,86.69470851405595,85.11040610011237,81.24288250081923
89,5/11/2020,90.93,0.005182227,0.001282891,-0.001312828,88.5876734460786,86.97336080203948,83.01945953836261
90,5/12/2020,88.260002,-0.029802953,0.001277555,-0.001629385,89.06385921962477,87.44296231793484,83.5000468935985
91,5/13/2020,86.019997,-0.025707234,0.001269817,-0.001893976,86.42532983490948,84.85396270682583,81.05022639592617
92,5/14/2020,86.550003,0.006142524,0.001256709,-0.001806623,84.20883186004583,82.69022664315943,78.98180744131444
93,5/15/2020,86.989998,0.00507083,0.001243699,-0.001732672,84.74500262611834,83.22142870852912,79.49227923451433
94,5/18/2020,91.040001,0.045505835,0.001253955,-0.001230135,85.19788696114107,83.67708784993513,79.9476639955441
95,5/19/2020,91.510002,0.005149296,0.001241179,-0.001162983,89.20661113930328,87.59694341388136,83.69894402212435
96,5/20/2020,92.949997,0.015613404,0.001231151,-0.000988229,89.67573808230824,88.06466348351867,84.15273088804771
97,5/21/2020,94.260002,0.013995261,0.001220749,-0.00083376,91.11275424029702,89.49332973071347,85.53837869252311
98,5/22/2020,93.75,-0.005425278,0.001208506,-0.000880612,92.4085316210199,90.76586538499107,86.79473096052021
99,5/26/2020,96.620003,0.030154125,0.001205929,-0.00056713,91.92156096694244,90.29884992544054,86.33587006219358
100,5/27/2020,99.870003,0.03308358,0.00120508,-0.000230623,94.76290108408706,93.09432860295216,89.03758130087154
101,5/28/2020,98.459999,-0.014219006,0.001195067,-0.000369122,97.98734127758179,96.26139653699386,92.05540713879331
102,5/29/2020,98.580002,0.001218057,0.001183375,-0.000353561,96.59436746695813,94.89775707371642,90.77647859619276
103,6/1/2020,99.540001,0.009691162,0.001172856,-0.000256039,96.73242222017025,95.03823904970557,90.91914347732884
104,6/2/2020,100.739998,0.011983337,0.001163005,-0.000138353,97.68990518245663,95.98276527384712,91.85001374478726
105,6/3/2020,104.110001,0.032905122,0.001162229,0.000176347,98.8933881552554,97.18850845795755,93.00097711874575
106,6/4/2020,101.279999,-0.027559094,0.001158453,-8.53e-05,102.22251158463331,100.4567485098483,96.12735396109305
107,6/5/2020,102.709999,0.014020525,0.001149469,4.65e-05,99.41554408988517,97.70227917575264,93.5022771665743
108,6/8/2020,104.290001,0.015266016,0.00114095,0.000187443,100.84907384310068,99.1182621912941,94.85973840261882
109,6/9/2020,102.629997,-0.016045231,0.001132878,3.85e-05,102.41967634918925,100.66182000171504,96.35583238894517
110,6/10/2020,102.120003,-0.004981637,0.001122806,-7.12e-06,100.78966280233688,99.06351726642016,94.84853484227705
111,6/11/2020,95.169998,-0.070483877,0.001157035,-0.000642044,100.28523176289352,98.57715883285492,94.4166684911068
112,6/12/2020,96.43,0.013152611,0.001148388,-0.000518878,93.37249026518244,91.75785457371839,87.84789368242974
113,6/15/2020,97.839996,0.014516094,0.001140208,-0.000385825,94.62870957762028,93.00511103923361,89.02419812209702
114,6/16/2020,99.040001,0.012190369,0.001131582,-0.000275507,96.03267741840865,94.38267451869443,90.35810600886843
115,6/17/2020,99.209999,0.001714987,0.001121776,-0.000258199,97.2297054028311,95.56994780300099,91.51253014687697
116,6/18/2020,98.449997,-0.007690031,0.001112578,-0.000322266,97.40083977663662,95.74222406851585,91.67743883251059
117,6/19/2020,95.779999,-0.02749489,0.001109325,-0.000554511,96.65521072360224,95.0195250997118,91.00235426280388
118,6/22/2020,99.510002,0.038204277,0.001112547,-0.000226047,94.0139084792883,92.42386424295418,88.54633377761353
