,Date,DIS,PDR,VAR,AVG,VAR70,VAR85,VAR99
71,4/15/2020,103.370003,-0.02540725,0.001756788,-0.005073914,103.13297919536848,100.93612893592065,95.59347764816039
72,4/16/2020,102.019997,-0.013145971,0.001733281,-0.005186026,100.52787269763591,98.38882584750893,93.20330097582901
73,4/17/2020,106.629997,0.044196027,0.001742485,-0.004509559,99.20861352158667,97.11470685057017,92.03578270896958
74,4/20/2020,102.260002,-0.041846261,0.001737522,-0.005014109,103.76781438435437,101.56947068824516,96.24662958638277
75,4/21/2020,100.540001,-0.016962941,0.001716233,-0.005173427,99.45783687612665,97.3519367961626,92.27352511562452
76,4/22/2020,100.989998,0.004465814,0.001694857,-0.005046595,97.78721094637345,95.74078059449485,90.7501806694511
77,4/23/2020,101.0,9.9e-05,0.001673186,-0.004979769,98.25241041662744,96.20801527780988,91.24228841269716
78,4/24/2020,101.190002,0.001879441,0.00165233,-0.00489183,98.28015739862691,96.23976908725788,91.29601509363107
79,4/27/2020,106.059998,0.047004995,0.001665075,-0.004234908,98.49226178588819,96.468019021169,91.52586985541295
80,4/28/2020,106.209999,0.001413304,0.001644655,-0.004164305,103.29070207146978,101.15474327705809,95.96072659090973
81,4/29/2020,112.25,0.05531027,0.001667481,-0.003430051,103.46071540698993,101.33534888651639,96.16320351144041
82,4/30/2020,108.150002,-0.037209356,0.001660892,-0.003841994,109.41731049557751,107.14353208112016,101.63217749826535
83,5/1/2020,105.5,-0.024808218,0.001646113,-0.004094599,105.37406210008626,103.18813049326029,97.9079068262206
84,5/4/2020,103.18,-0.022235917,0.001630388,-0.004310567,102.767680722102,100.65580156164127,95.51948006593337
85,5/5/2020,101.059998,-0.020760656,0.001614353,-0.004504098,100.4936269314195,98.44315519267614,93.45980052527986
86,5/6/2020,100.879997,-0.001782718,0.001595667,-0.004472454,98.43257753318281,96.42710061731108,91.56854501149931
87,5/7/2020,105.57,0.045442578,0.001605634,-0.003898718,98.27104547413501,96.28507963348433,91.46766135163611
88,5/8/2020,109.160004,0.033440492,0.001603052,-0.003474409,102.88818836454644,100.81016250585218,95.72955642939591
89,5/11/2020,107.769997,-0.012815434,0.00158601,-0.003579364,106.43179159328692,104.2706834364084,99.03188608624706
90,5/12/2020,104.559998,-0.030238249,0.001576196,-0.003875574,105.07134525388584,102.95117219273273,97.79053074518546
91,5/13/2020,102.919998,-0.015809082,0.001560423,-0.004006711,101.9368062048368,99.89015759719318,94.90041066688644
92,5/14/2020,105.910004,0.028637747,0.001554919,-0.00365188,100.32398197114685,98.31414401913217,93.44609915638753
93,5/15/2020,109.050003,0.029216806,0.001549691,-0.003298453,103.2845652775954,101.21814318188682,96.20267498161016
94,5/18/2020,116.849998,0.069084524,0.00158835,-0.002528422,106.37844443233607,104.25856101100366,99.10435376905178
95,5/19/2020,114.370003,-0.021452211,0.00157536,-0.00272762,114.04883555885658,111.75569619569247,106.1620480848494
96,5/20/2020,119.919998,0.047386004,0.001584838,-0.002205603,111.61456231579443,109.37788530764354,103.9143598765094
97,5/21/2020,117.830002,-0.017581912,0.001570911,-0.002364121,117.08791203665727,114.73607384040845,108.97770328057558
98,5/22/2020,118.019997,0.001611152,0.001555041,-0.002323557,115.04284683688441,112.73633103672503,107.11800926071392
99,5/26/2020,120.949997,0.024523136,0.001546541,-0.002052379,115.24286697328687,112.94836361543919,107.36771270713437
100,5/27/2020,121.529999,0.004783925,0.001531538,-0.001984016,118.14100367990538,115.78698741459867,110.04744324036491
101,5/28/2020,116.75,-0.040126241,0.001530636,-0.002361661,118.71974895448787,116.36009599770125,110.63694262010414
102,5/29/2020,117.300003,0.004699885,0.001516114,-0.002292431,114.02797937383068,111.77015851808052,106.27888046823283
103,6/1/2020,118.769997,0.012454043,0.001503485,-0.002149261,114.56959344077612,112.30839639782762,106.79729616711714
104,6/2/2020,118.75,-0.000168382,0.001489066,-0.002130214,116.02838014014489,113.74909999595495,108.19273199512979
105,6/3/2020,122.18,0.028474924,0.00148372,-0.001838736,116.0346202735463,113.76344417394493,108.2378307486157
106,6/4/2020,123.690002,0.012283084,0.001471586,-0.001705512,119.43836342522009,117.09061415736018,111.48171662619592
107,6/5/2020,124.82,0.009094248,0.001458913,-0.001604579,120.9419689265662,118.58963386668098,112.86365335029221
108,6/8/2020,127.279999,0.019516677,0.001449497,-0.001409012,122.05972776026434,119.70425659264801,113.94537227442596
109,6/9/2020,123.889999,-0.026995309,0.001442149,-0.001643749,124.49515604193692,122.08492076830797,116.22425447189408
110,6/10/2020,122.18,-0.0138987,0.001430392,-0.001755158,121.15641018550045,118.82679593517148,113.15361188393655
111,6/11/2020,112.639999,-0.081298484,0.001473993,-0.002471764,119.49518526675992,117.2009340790967,111.61117670646722
112,6/12/2020,115.489998,0.024987045,0.001467504,-0.002226596,110.03485857015035,107.90422585519768,102.70041558312595
113,6/15/2020,117.080002,0.01367355,0.001456735,-0.002085887,112.86148380170192,110.67170886067737,105.32639783169493
114,6/16/2020,118.440002,0.011549041,0.001445573,-0.001966282,114.43569043841718,112.22399231226962,106.84776514148952
115,6/17/2020,117.650002,-0.006692388,0.001433196,-0.002007379,115.7972786846303,113.55804378066348,108.12122568950532
116,6/18/2020,118.370003,0.006101205,0.001421402,-0.001937477,115.03386884452343,112.82180817735416,107.42926579454459
117,6/19/2020,114.349998,-0.034551434,0.001418267,-0.002216229,115.76234984083726,113.53695382500527,108.13729689238721
118,6/22/2020,115.919998,0.013636378,0.00140836,-0.002081885,111.79303744387484,109.65531041584745,104.43704049407494
119,6/23/2020,116.589996,0.005763192,0.001397038,-0.00201596,113.34699329312961,111.19255800692366,105.93526322804392
120,6/24/2020,112.07,-0.039539797,0.001397031,-0.002328658,114.02560297140472,111.86395267055413,106.58576319918032
121,6/25/2020,111.360001,-0.00635547,0.001385619,-0.002361938,109.56583731530797,107.48211583210556,102.41505367796097
122,6/26/2020,109.099998,-0.020503331,0.001376937,-0.002510638,108.87132041726052,106.8160737457836,101.83482898431258
123,6/29/2020,111.519997,0.021939046,0.001370563,-0.00231186,106.65893326588676,104.64804869866084,99.74730853279095
124,6/30/2020,111.510002,-8.96e-05,0.001359549,-0.002293939,109.05046570954038,107.0007955407815,102.02935377456579
125,7/1/2020,113.010002,0.013362037,0.001350618,-0.002168691,109.03895025399648,107.00537743912085,102.03536938807096
126,7/2/2020,112.18,-0.007371604,0.001340112,-0.002209984,110.53880946769569,108.48432664943056,103.44014671317674
127,7/6/2020,114.43,0.019858558,0.001333364,-0.002036216,109.72972290320571,107.69103785673416,102.71868099351586
128,7/7/2020,113.629997,-0.007015753,0.00132314,-0.002075118,111.9581061335825,109.88014060098962,104.80194896370209
129,7/8/2020,116.660004,0.026316226,0.001319083,-0.001855031,111.17602599173222,109.12302340351184,104.12866313578337
130,7/9/2020,116.809998,0.00128491,0.001309011,-0.001830877,114.17540263798605,112.06385450061144,106.94441815734056
131,7/10/2020,119.339996,0.021427863,0.001303117,-0.00165333,114.3359874296884,112.23546202385316,107.11482660113315
132,7/13/2020,116.220001,-0.026491573,0.001297883,-0.001841498,116.82536594659203,114.6870919239271,109.47356429543618
133,7/14/2020,118.660004,0.020777339,0.001291943,-0.001671432,113.76121694943824,111.676593333001,106.60094331240775
134,7/15/2020,120.900002,0.01870148,0.001285375,-0.001519395,116.17831629742871,114.06817308436693,108.87312895664964
135,7/16/2020,119.43,-0.012233348,0.001276698,-0.001598758,118.39794144156545,116.25232903550172,110.97916304567096
136,7/17/2020,118.650002,-0.006552426,0.00126749,-0.001635182,116.95606741159273,114.83293961150193,109.66284659404664
137,7/20/2020,117.790001,-0.007274613,0.001258468,-0.001676345,116.18922037442256,114.09796357715412,108.95694617245445
138,7/21/2020,118.620003,0.007021745,0.001249893,-0.001613316,115.34905597137046,113.27193955772749,108.2139688542837
139,7/22/2020,119.029999,0.003450422,0.001241085,-0.001576886,116.17464495380953,114.08998009417265,109.01730234538512
140,7/23/2020,118.120003,-0.007674472,0.001232483,-0.00162044,116.60041277012702,114.5135745378273,109.42704401597008
141,7/24/2020,117.610001,-0.004327008,0.001223794,-0.001639636,115.69869563679372,113.6302755264049,108.5886881742223
142,7/27/2020,116.309998,-0.011115051,0.001215803,-0.001706364,115.20634764388127,113.15471217047633,108.1684669687323
143,7/28/2020,116.18,-0.001118311,0.001207304,-0.001702252,113.92755453759045,111.90431416618162,106.99667861555392
144,7/29/2020,115.610001,-0.004918246,0.001198991,-0.001724585,113.8296175286404,111.82107592752318,106.93886942268094
145,7/30/2020,115.660004,0.000432421,0.001190754,-0.001709709,113.26698159298414,111.27916721255464,106.41621450407172
146,7/31/2020,116.940002,0.011006113,0.001183698,-0.001622614,113.32404050253933,111.34332115662605,106.49897147357193
147,8/3/2020,116.349998,-0.005058127,0.001175725,-0.001645985,114.59779999878467,112.59563653480635,107.71164826366986
148,8/4/2020,117.290001,0.008046637,0.001168412,-0.001580494,114.01597214147145,112.03808365033142,107.17269444036324
149,8/5/2020,127.610001,0.084329237,0.001209771,-0.001003919,114.96582521985219,112.97240004999018,108.08370806416255
150,8/6/2020,130.820007,0.02484364,0.00120613,-0.000831602,125.09789302196819,122.88853568501162,117.48608361077659
151,8/7/2020,129.929993,-0.006826596,0.001198379,-0.000871304,128.28004874710814,126.02648505865665,120.50734393007448
152,8/10/2020,128.789993,-0.008812673,0.001190907,-0.00092355,127.40824827859458,125.17605430557722,119.69932460312369
153,8/11/2020,130.490005,0.013113517,0.001184403,-0.000831804,126.2884374302717,124.08236596946789,118.71072557705449
154,8/12/2020,131.789993,0.00991306,0.001177457,-0.000762032,127.97065913828018,125.73405483694526,120.26453011676965
155,8/13/2020,130.960007,-0.006317707,0.001170058,-0.000797876,129.25343865357,127.00304756427917,121.48214740491083
156,8/14/2020,130.529999,-0.003288909,0.001162597,-0.000813844,128.4570941637183,126.22665645389529,120.76214564847793
157,8/17/2020,129.369995,-0.0089266,0.001155609,-0.000865517,128.03147617187162,125.81750641394875,120.41448063377455
158,8/18/2020,128.919998,-0.003484436,0.001148338,-0.000882093,126.89991469803404,124.71336987073919,119.36558372220668
159,8/19/2020,127.769997,-0.008960292,0.001141523,-0.000932899,126.4679338475442,124.29321596058743,118.95857652536274
160,8/20/2020,128.119995,0.002735537,0.001134473,-0.000909971,125.33044515046394,123.17743692562358,117.9380357262265
161,8/21/2020,127.440002,-0.005321604,0.001127546,-0.000937373,125.68691142991649,123.53106856830088,118.26872378731245
162,8/24/2020,130.690002,0.025182441,0.001124771,-0.000776139,125.02963227555746,122.89924538448552,117.6859949226189
163,8/25/2020,129.789993,-0.006910416,0.0011181,-0.000813773,128.23362627162194,126.053888494319,120.69886698067329
164,8/26/2020,132.179993,0.018246871,0.001113485,-0.000697549,127.35960174024704,125.20168774656698,119.93559077975144
165,8/27/2020,133.729996,0.011658235,0.001107656,-0.000622666,129.71865787998786,127.52206784391974,122.13559659243025
166,8/28/2020,135.539993,0.013443936,0.001102168,-0.000537927,131.26275974128365,129.0488038682293,123.64663557871201
167,8/31/2020,131.869995,-0.027450197,0.001099879,-0.000699079,133.05612135294498,130.80577493114546,125.31486547152014
168,9/1/2020,133.550003,0.012659411,0.001094388,-0.000619564,129.4348133109492,127.25023689912055,121.93178619883439
169,9/2/2020,135.389999,0.013683533,0.001089116,-0.00053493,131.09856485873343,128.89661262016324,123.50325082258666
170,9/3/2020,133.240005,-0.016007444,0.001084109,-0.000625945,132.90969796958814,130.68355445185028,125.24757041542131
171,9/4/2020,131.990005,-0.009425851,0.00107822,-0.000677406,130.80936514885101,128.62734672688768,123.28987707942603
172,9/8/2020,134.199997,0.016605002,0.001073677,-0.000576927,129.58020061370217,127.41343281110126,122.14084008382596
173,9/9/2020,133.360001,-0.006278956,0.001067658,-0.000609887,131.7749906771585,129.5768432561059,124.23250113332989
174,9/10/2020,133.220001,-0.001050341,0.001061523,-0.000612418,130.93977608397185,128.76994950749972,123.48264201937155
175,9/11/2020,131.75,-0.011095717,0.001056082,-0.000672323,130.81332865714282,128.64918591718907,123.36141556185483
176,9/14/2020,131.25,-0.003802286,0.001050137,-0.000690107,129.36083936651545,127.23003887965952,122.0049167916948
177,9/15/2020,131.240005,-7.62e-05,0.001044206,-0.000686638,128.87814427109055,126.75593676828895,121.57360567515984
178,9/16/2020,132.089996,0.006455732,0.001038624,-0.000646512,128.8668678975555,126.7568212272708,121.60173312498283
179,9/17/2020,130.220001,-0.014258143,0.001033851,-0.000722555,129.72160104265214,127.60035957997049,122.42024959476012
180,9/18/2020,128.630005,-0.012285231,0.001028846,-0.000786792,127.89234221740014,125.80302430993255,120.6653629680601
