,Date,KR,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,31.950001,-0.00250072,0.000790924,0.001509303,31.596332115332075,31.141721120290434,30.022113385415498
73,4/17/2020,31.93,-0.000626205,0.000780151,0.001480049,31.515530133505177,31.065348249170565,29.960848068320438
74,4/20/2020,31.93,0.0,0.000769638,0.001460048,31.499519285209594,31.053247681141883,29.952988449808437
75,4/21/2020,32.169998,0.007488272,0.000759854,0.001540425,31.501371015549775,31.058910104052824,29.965358754253124
76,4/22/2020,32.310001,0.004342532,0.000749958,0.001577295,31.743803399636196,31.299074533154585,30.20339405411672
77,4/23/2020,32.880001,0.01748779,0.000743463,0.001783924,31.889559533748397,31.445953909551807,30.351760013560988
78,4/24/2020,32.959999,0.002430074,0.000733937,0.001792208,32.45852041219979,32.00882912999544,30.904943256099525
79,4/27/2020,33.279999,0.009661911,0.00072542,0.001891825,32.54140103912995,32.092948784797485,30.99344204137758
80,4/28/2020,32.360001,-0.028033463,0.000727407,0.001517759,32.86344614231135,32.41234879557016,31.30710826807333
81,4/29/2020,31.52,-0.026300858,0.000727863,0.001174319,31.942508201673853,31.505509282000983,30.42714187352271
82,4/30/2020,31.610001,0.002851293,0.00071902,0.00119477,31.10121422285867,30.674831444948495,29.626507540276883
83,5/1/2020,31.959999,0.011011532,0.000711504,0.001313044,31.195244576409177,30.767926521093344,29.721882742495772
84,5/4/2020,32.529999,0.01767762,0.000706184,0.001507861,31.547944455205673,31.1202005005271,30.06660259745434
85,5/5/2020,32.810001,0.008570668,0.000698456,0.001590952,32.11869062893328,31.684635533086077,30.61852328025898
86,5/6/2020,32.779999,-0.000914835,0.000690407,0.001561815,32.398464223188064,31.963006810847457,30.892189177179667
87,5/7/2020,32.68,-0.003055273,0.000682713,0.001508745,32.37106724808294,31.936732335094543,30.870698957872783
88,5/8/2020,33.34,0.019994607,0.000678794,0.001718812,32.27233161536399,31.841514807482255,30.787519864924718
89,5/11/2020,33.73,0.011629772,0.000672258,0.001830171,32.93288440596886,32.49570866817831,31.422471048882983
90,5/12/2020,33.549999,-0.005350815,0.000665356,0.001750382,33.324949235635096,32.885106284000955,31.80608492987981
91,5/13/2020,34.099998,0.016260492,0.000660332,0.001909834,33.145185963614686,32.71200080543165,31.636468038880636
92,5/14/2020,32.779999,-0.039478783,0.000671572,0.001459958,33.695083421896065,33.25498976651496,32.17038642759086
93,5/15/2020,32.509998,-0.00827087,0.000665358,0.001355325,32.37553388514313,31.949142979586878,30.899718945052182
94,5/18/2020,32.259998,-0.007719662,0.000659147,0.001258783,32.106024288578496,31.684569997233023,30.6437550094758
95,5/19/2020,31.76,-0.015620374,0.000655176,0.001081108,31.85800639525224,31.44256372754715,30.41606328240384
96,5/20/2020,32.299999,0.016859563,0.000650917,0.001245466,31.35943652659988,30.951529568701428,29.94333858978936
97,5/21/2020,32.119999,-0.005588341,0.000644683,0.001175015,31.89988436169885,31.486803694008696,30.46501855172628
98,5/22/2020,32.369999,0.007753179,0.000638542,0.001242139,31.721339938056747,31.313226954746543,30.303053689059833
99,5/26/2020,31.370001,-0.031379983,0.000642733,0.000912623,31.973094551461042,31.562172510774296,30.549783101888462
100,5/27/2020,33.279999,0.059104532,0.00066983,0.001494542,30.972943519749084,30.57287382648569,29.587783189648192
101,5/28/2020,32.060001,-0.037347408,0.000677988,0.001109968,32.86936613976138,32.436085463761465,31.372280335332356
102,5/29/2020,32.619999,0.017316388,0.00067389,0.001268854,31.649472682451254,31.232510115549676,30.202947335443692
103,6/1/2020,32.490002,-0.003993155,0.000667614,0.001217767,32.20784261420025,31.783191053364746,30.735940491842662
104,6/2/2020,33.0,0.01557515,0.000663158,0.001355819,32.07864481017166,31.6577114445509,30.61925059388512
105,6/3/2020,32.68,-0.009744291,0.000658004,0.001250103,32.58975223607257,32.16219563723414,31.10915761823959
106,6/4/2020,33.110001,0.013072112,0.000653103,0.001361632,32.27311319544762,31.852405969252523,30.812667984130627
107,6/5/2020,32.48,-0.019210866,0.000650917,0.001169365,32.703616692286005,32.27687942978842,31.232433431940507
108,6/8/2020,33.009998,0.01618597,0.000646959,0.001308408,32.07497251393683,31.65931987561457,30.63812031571288
109,6/9/2020,32.919998,-0.00273017,0.000641172,0.001271357,32.60387131387161,32.18419794975515,31.14937046446916
110,6/10/2020,32.57,-0.010688696,0.000636631,0.001162629,32.516242464499626,32.09672373077461,31.065661718840026
111,6/11/2020,32.700001,0.003983489,0.000630967,0.001188042,32.169764581782744,31.757185161067486,30.743495821271
112,6/12/2020,32.259998,-0.013547098,0.000627255,0.001056478,32.29939106326439,31.886113537972285,30.870354540481593
113,6/15/2020,32.080002,-0.005595165,0.000622092,0.000997614,31.86266082679522,31.456375514069386,30.457300201819606
114,6/16/2020,32.529999,0.013929864,0.000618089,0.001111055,31.684709781685726,31.283826277757917,30.29502000055648
115,6/17/2020,32.810001,0.008570668,0.000613194,0.001175921,32.134454162364854,31.727580055183473,30.72644543577708
116,6/18/2020,31.809999,-0.030952703,0.00061673,0.00089895,32.415075179311906,32.00695089557371,31.003120739637406
117,6/19/2020,32.240002,0.013427305,0.000612789,0.00100603,31.41609216270637,31.018162065985944,30.04051175685365
118,6/22/2020,32.07,-0.005286966,0.000607928,0.0009527,31.84632581422193,31.444633610774957,30.45333356835315
119,6/23/2020,32.099998,0.000934954,0.00060282,0.000952551,31.677513178881547,31.280869552205104,30.30108725519663
120,6/24/2020,32.82,0.022182118,0.000601521,0.001129464,31.71108971079761,31.314587848720873,30.33601471095118
121,6/25/2020,32.779999,-0.001219543,0.000596595,0.001110051,32.42888813566613,32.022957664479776,31.024886203575402
122,6/26/2020,32.68,-0.003055273,0.000591846,0.001075909,32.389361772595294,31.985688459129737,30.997144095535965
123,6/29/2020,34.130001,0.043413522,0.000601488,0.001420117,32.29106988155621,31.891985244274224,30.906319213848565
124,6/30/2020,33.849998,-0.008237852,0.000597384,0.00134223,33.73112231453535,33.30877377469086,32.27281748515898
125,7/1/2020,33.57,-0.008306129,0.000593344,0.001265043,33.4551460018118,33.03983618422861,32.02079458981928
126,7/2/2020,33.5,-0.002087372,0.000588723,0.001238437,33.17741264567676,32.76498435806648,31.747001126239972
127,7/6/2020,33.73,0.00684221,0.000584333,0.001282561,33.10669124882688,32.69785318306072,31.691491486615504
128,7/7/2020,33.68,-0.00148346,0.000579827,0.001260951,33.338234225599535,32.927603094307536,31.92000844858122
129,7/8/2020,32.419998,-0.038128735,0.000587266,0.000955605,33.28960154054967,32.881959349519406,31.873774119747544
130,7/9/2020,32.759998,0.010432743,0.000583435,0.001028506,32.03102412485691,31.63667272577894,30.667027693315518
131,7/10/2020,33.439999,0.02054456,0.000581866,0.001177483,32.37149273179257,31.97456811959404,30.995973851059148
132,7/13/2020,33.279999,-0.004796172,0.000577726,0.001132229,33.05056056707615,32.64449106013829,31.644834381345756
133,7/14/2020,34.240002,0.028438024,0.000578946,0.001337535,32.891522364015266,32.488555701468165,31.49579797405166
134,7/15/2020,33.77,-0.013821775,0.000576328,0.001224406,33.846025381903495,33.43217042676864,32.40874210072414
135,7/16/2020,33.73,-0.001185185,0.000572102,0.001206557,33.3793550399934,32.970354027186744,31.967687243159197
136,7/17/2020,33.849998,0.003551291,0.000567935,0.001223798,33.34140967692176,32.93532441668086,31.932927706469638
137,7/20/2020,34.150002,0.008823704,0.000564208,0.001279272,33.461982918317815,33.05570815417975,32.05452593347387
138,7/21/2020,34.790001,0.018567373,0.00056227,0.001404548,33.760445560565806,33.35235221334856,32.34199559630066
139,7/22/2020,35.16,0.010579055,0.000558826,0.001470551,34.39851641969227,33.98450587293334,32.96454731168102
140,7/23/2020,35.130001,-0.000853578,0.000554873,0.001453951,34.76982133084862,34.35149949713865,33.32069888801683
141,7/24/2020,34.709999,-0.012027694,0.000552217,0.001358336,34.73849095283892,34.32176475630142,33.29795071001291
142,7/27/2020,34.759998,0.001439442,0.000548328,0.001358907,34.32171559954803,33.91082440205409,32.89669007931769
143,7/28/2020,35.23,0.013430749,0.000545506,0.001443326,34.37450631217682,33.96484982558037,32.95513383587709
144,7/29/2020,35.110001,-0.003411974,0.00054188,0.001409608,34.84112678721782,34.42586378435862,33.4003438049509
145,7/30/2020,34.41,-0.020138799,0.000541323,0.001260999,34.724565627698965,34.31286482340858,33.30507788258861
146,7/31/2020,34.790001,0.010982798,0.000538259,0.001327586,34.026098377999,33.62565884600107,32.63233463992085
147,8/3/2020,35.099998,0.008871056,0.000534981,0.001378902,34.40394442122705,33.998077501863634,32.999770713770154
148,8/4/2020,35.389999,0.008228193,0.000531681,0.001425181,34.71413062629395,34.306045151830894,33.29871492246655
149,8/5/2020,35.09,-0.008513077,0.000528772,0.001358482,35.00455445219904,34.59480344118819,33.58361151455229
150,8/6/2020,35.029999,-0.001711381,0.000525309,0.001338016,34.70780486625268,34.30118910453623,33.29532792669678
151,8/7/2020,35.240002,0.005977049,0.000521972,0.001368738,34.64907123918597,34.24383531165087,33.25019731461549
152,8/10/2020,35.029999,-0.005977049,0.00051889,0.00132041,34.85897304983278,34.454420754483955,33.46018218506915
153,8/11/2020,34.259998,-0.022226374,0.000519099,0.00116651,34.650540353761,34.247160983521866,33.258468286532406
154,8/12/2020,34.610001,0.010164252,0.00051625,0.001224937,33.88315571437573,33.49006660641791,32.52165599210138
155,8/13/2020,34.59,-0.000578064,0.000512941,0.001213305,34.232543918748455,33.83663656277113,32.86033603794523
156,8/14/2020,35.389999,0.022864643,0.000512638,0.001352095,34.21373913250844,33.82054412398026,32.84816299073564
157,8/17/2020,36.0,0.017089672,0.000510941,0.001452334,35.0104517299888,34.60857009213946,33.60827437281501
158,8/18/2020,36.240002,0.006644598,0.000507876,0.001485197,35.616499207555165,35.206419740446925,34.19875900200503
159,8/19/2020,36.220001,-0.000552056,0.000504708,0.001472384,35.858756579080584,35.44819408967122,34.43148284830017
160,8/20/2020,35.919998,-0.008317292,0.000502149,0.001411199,35.839134750019554,35.42942770358672,34.416539336969365
161,8/21/2020,35.91,-0.00027838,0.000499048,0.001400704,35.541723996379325,35.13599160487583,34.13155767530098
162,8/24/2020,36.060001,0.004168437,0.000496014,0.001417789,35.53293790651481,35.13049760885071,34.13633975339831
163,8/25/2020,36.080002,0.000554505,0.000492976,0.001412493,35.68355117025199,35.27901784300702,34.27959698389822
164,8/26/2020,36.369999,0.008005481,0.000490233,0.001452694,35.705194881391414,35.301167936818146,34.29826421512702
165,8/27/2020,36.16,-0.005790696,0.000487578,0.001408795,35.994983760064805,35.58907669645125,34.585364978973146
166,8/28/2020,35.299999,-0.0240706,0.000488528,0.001255304,35.78415227645434,35.38186338542621,34.390657446431796
167,8/31/2020,35.68,0.010707372,0.000486135,0.001311903,34.929166538631684,34.53571638316256,33.56638240742115
168,9/1/2020,35.400002,-0.007878431,0.000483741,0.001257199,35.30737935301697,34.91091941304355,33.929663077839805
169,9/2/2020,36.599998,0.033336309,0.000486931,0.001447016,35.029117695886704,34.63602913803465,33.671788249000414
170,9/3/2020,36.110001,-0.013478323,0.00048537,0.00135922,36.22217791670499,35.815922619873206,34.8097019402778
171,9/4/2020,35.470001,-0.017882566,0.000484684,0.001246695,35.73451408447064,35.33540694286444,34.347581830050814
172,9/8/2020,34.619999,-0.024255776,0.000485625,0.001098425,35.0964644373705,34.703285688365916,33.73077572069805
173,9/9/2020,35.18,0.016046218,0.000484102,0.001184828,34.25069239959122,33.86696151666559,32.91813966729444
174,9/10/2020,34.740002,-0.012585921,0.000482404,0.001105686,34.808419865678225,34.41884825362992,33.463377169709666
175,9/11/2020,34.369999,-0.010707757,0.00048044,0.001038181,34.37354257156843,33.98888468481902,33.03279043692493
176,9/14/2020,32.84,-0.045536777,0.000489965,0.00077355,34.00457868793649,33.62551787143612,32.68685342790776
177,9/15/2020,32.720001,-0.003660742,0.000487308,0.000748498,32.47823732562351,32.112036682091905,31.207416460643007
178,9/16/2020,32.02,-0.021625835,0.000487366,0.000622799,32.361363469218176,31.996231357595857,31.098125088933816
179,9/17/2020,32.509998,0.015186965,0.000485822,0.000704163,31.664593768453138,31.308843887163547,30.42599478478666
180,9/18/2020,33.209999,0.021303332,0.000485467,0.000818603,32.15174257214497,31.79085319958376,30.898246356430732
