,Date,PEP,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,135.639999,0.004507341,0.001543606,-1.84e-05,132.14591650163163,129.48336273360584,123.06689744619423
73,4/17/2020,137.550003,0.013983199,0.001525109,0.000173383,132.7652118594789,130.11958593432016,123.69561977573302
74,4/20/2020,134.550003,-0.02205161,0.001511084,-0.000126954,134.67563576165622,132.01140185208024,125.52626925956247
75,4/21/2020,130.940002,-0.027196681,0.001500577,-0.000487884,131.720935449702,129.12699190130505,122.80482448186932
76,4/22/2020,132.619995,0.01274864,0.001483107,-0.000313719,128.15441736301716,125.62755559277097,119.53302292691124
77,4/23/2020,130.259995,-0.017955444,0.001467836,-0.000542833,129.839579563828,127.28923852081455,121.14212431109273
78,4/24/2020,134.360001,0.030990357,0.001461602,-0.000138561,127.51558013239836,125.03404991408452,119.00036428309848
79,4/27/2020,134.460007,0.000744037,0.00144311,-0.000127389,131.581990864323,129.02336961022993,122.81211082865545
80,4/28/2020,136.320007,0.013738305,0.001427444,4.59e-05,131.69449507045468,129.16173321302597,122.9835814084051
81,4/29/2020,133.360001,-0.021952868,0.001415723,-0.000225658,133.5643299099584,130.9955342588826,124.78609694972657
82,4/30/2020,132.289993,-0.008055816,0.001399196,-0.000321148,130.6239976725895,128.13683280155715,122.05405120266043
83,5/1/2020,130.139999,-0.016385643,0.00138541,-0.000514696,129.5936109403628,127.13438077340321,121.13033457206784
84,5/4/2020,130.919998,0.005975648,0.001369413,-0.00043743,127.46420012392075,125.062563900269,119.18863080360029
85,5/5/2020,131.669998,0.005712343,0.001353742,-0.000365079,128.25777491225256,125.85944107256805,119.9968104886902
86,5/6/2020,130.779999,-0.006782263,0.001338474,-0.000439698,129.02028206088653,126.59937099524139,120.74427253537804
87,5/7/2020,131.550003,0.005870516,0.001323541,-0.000367167,128.13909723999694,125.7684732838292,119.94796713980443
88,5/8/2020,134.229996,0.020167686,0.001313239,-0.000133816,128.93018254099852,126.55223752814709,120.7522224117952
89,5/11/2020,134.380005,0.001116928,0.001298501,-0.000119763,131.58423342993785,129.16146767577416,123.2666167483927
90,5/12/2020,132.940002,-0.010773731,0.00128532,-0.00023814,131.76548875312628,129.35573301369536,123.450326299008
91,5/13/2020,132.960007,0.00015047,0.001271197,-0.00023387,130.340157364849,127.96570206488114,122.15652507439736
92,5/14/2020,133.080002,0.000902082,0.001257394,-0.000221522,130.38325067279152,128.02972309610524,122.26527537710099
93,5/15/2020,135.949997,0.021336683,0.001248817,1.03e-05,130.5139790314729,128.16722618321057,122.45891569921756
94,5/18/2020,135.520004,-0.003167889,0.001235638,-2.35e-05,133.3699586026854,130.9835936956042,125.15981717281731
95,5/19/2020,131.729996,-0.028364918,0.001230997,-0.000321855,132.96546575500588,130.58519152871048,124.80250658288895
96,5/20/2020,131.259995,-0.003574292,0.001218284,-0.000355734,129.2036440354597,126.91015993751996,121.29728599266231
97,5/21/2020,130.210007,-0.008031465,0.001206325,-0.000434865,128.75359682332956,126.4703612747086,120.89700618835131
98,5/22/2020,130.479996,0.002071342,0.001194079,-0.000409292,127.72140626896736,125.47856080565437,119.97346036919748
99,5/26/2020,129.75,-0.005610406,0.001182288,-0.000461828,128.01139016200835,125.75971986783301,120.27304173702979
100,5/27/2020,130.809998,0.008136351,0.001171197,-0.000375847,127.30411699086987,125.07639087060511,119.64179657876579
101,5/28/2020,132.289993,0.011250556,0.001160926,-0.000260734,128.3604734208724,126.13811420902054,120.67295127200411
102,5/29/2020,131.550003,-0.005609399,0.001149822,-0.000313172,129.84120119559842,127.59953496536455,122.1137399993444
103,6/1/2020,132.990005,0.010886945,0.001139865,-0.000204433,129.1188612274552,126.89412275569187,121.44837181571074
104,6/2/2020,132.630005,-0.002710641,0.001128965,-0.000228531,130.55049135703686,128.30911991192428,122.8647229298978
105,6/3/2020,132.820007,0.001431547,0.001118239,-0.00021272,130.20485748805942,127.9862262204574,122.52418598212203
106,6/4/2020,130.570007,-0.017085346,0.00111035,-0.000371896,130.41361865473408,128.1958697622579,122.78479443290057
107,6/5/2020,132.440002,0.014220193,0.001101944,-0.000235522,128.18410277958122,126.02290222541112,120.72961449121341
108,6/8/2020,132.210007,-0.001738107,0.001091761,-0.000249434,130.04912451364697,127.85805730870074,122.49753632657405
109,6/9/2020,132.970001,0.005731926,0.00108207,-0.000194559,129.82951947591897,127.66180759102305,122.34386866300522
110,6/10/2020,134.130005,0.00868597,0.001072944,-0.000113827,130.5976308745842,128.41696846307434,123.10305786253456
111,6/11/2020,127.839996,-0.048030065,0.001083776,-0.000545505,131.76458526621425,129.57777621192892,124.21846700082084
112,6/12/2020,129.0,0.009032954,0.001074911,-0.000459983,125.51189777739492,123.41043332232924,118.2745094044477
113,6/15/2020,130.479996,0.011407523,0.001066634,-0.000354961,126.6790430371031,124.57395258825504,119.4177163792016
114,6/16/2020,131.669998,0.00907885,0.001058051,-0.000272208,128.16037104041882,126.03208177077893,120.83834643961926
115,6/17/2020,131.759995,0.000683271,0.001048859,-0.0002639,129.33570632255874,127.20059942534279,121.97238939967177
116,6/18/2020,132.779999,0.007711568,0.00104036,-0.000195146,129.43794041883228,127.31346500009697,122.09330215775228
117,6/19/2020,131.279999,-0.011361177,0.001032525,-0.000290582,130.45923403766892,128.32513223015803,123.11994995316233
118,6/22/2020,131.050003,-0.001753487,0.001023793,-0.000302979,128.98233807797433,126.87083335463244,121.72489842918716
119,6/23/2020,131.360001,0.002362701,0.001015249,-0.000280579,128.76215283383075,126.66591414670202,121.52296339293953
120,6/24/2020,129.559998,-0.013797574,0.001008298,-0.00039322,129.07780770781721,126.98791540065123,121.89766130087897
121,6/25/2020,131.410004,0.014178158,0.001001705,-0.000272796,127.3052586633612,125.25458265127543,120.23778441397079
122,6/26/2020,128.929993,-0.01905267,0.000996362,-0.000426729,129.1504252781629,127.07372157059105,121.98406155023457
123,6/29/2020,131.080002,0.016538272,0.000990582,-0.000288802,126.69776433310035,124.66585420653061,119.69840798825825
124,6/30/2020,132.259995,0.008961805,0.000983278,-0.000214201,128.83632712327048,126.78396001005578,121.71563390699544
125,7/1/2020,132.360001,0.000755846,0.000975419,-0.00020644,130.0074444090093,127.93599283257329,122.86096715908086
126,7/2/2020,132.850006,0.003695227,0.000967798,-0.000175475,130.12771855847961,128.0601199003303,122.97317334187125
127,7/6/2020,133.300003,0.003381532,0.000960276,-0.000147467,130.60745733570548,128.54907613761563,123.47961133142357
128,7/7/2020,133.570007,0.002023488,0.000952811,-0.000130506,131.07623165586153,129.0039983560495,123.9481725219418
129,7/8/2020,134.220001,0.004854515,0.000945616,-9.19e-05,131.35450263554847,129.29274741344662,124.23142605784778
130,7/9/2020,132.710007,-0.011313903,0.000939303,-0.000178186,132.0039495696772,129.94128564421467,124.88931031326398
131,7/10/2020,134.460007,0.01310046,0.000933468,-7.68e-05,130.51983866531364,128.4856238234746,123.48588604456592
132,7/13/2020,134.910004,0.00334111,0.000926484,-5.09e-05,132.23921201396084,130.19397723046598,125.15039388960922
133,7/14/2020,135.520004,0.004511341,0.000919674,-1.66e-05,132.70858622217648,130.65277404479912,125.62955905361143
134,7/15/2020,133.690002,-0.013595558,0.000914176,-0.000117961,133.32350104568582,131.2632502321674,126.24025613309915
135,7/16/2020,133.880005,0.001420212,0.000907422,-0.000106568,131.50071327679512,129.484966037789,124.51125473349764
136,7/17/2020,134.660004,0.005809199,0.000901005,-6.31e-05,131.69350230084316,129.6801595760032,124.73925360231607
137,7/20/2020,133.110001,-0.011577251,0.000895389,-0.000147114,132.49443816077985,130.47381059733874,125.51328297929584
138,7/21/2020,134.429993,0.009867704,0.000889622,-7.45e-05,130.96121643656895,128.96997344808472,124.06741715819446
139,7/22/2020,136.009995,0.01168481,0.00088421,1.01e-05,132.26875374501643,130.26365831650995,125.35044191448478
140,7/23/2020,137.080002,0.007836336,0.000878328,6.6e-05,133.840799380497,131.81902386214873,126.85883270088448
141,7/24/2020,136.059998,-0.007468761,0.000872499,1.25e-05,134.91413952454954,132.87680379006656,127.90375778123513
142,7/27/2020,137.669998,0.011763552,0.00086732,9.53e-05,133.89861888668688,131.8869991763759,126.97545308701001
143,7/28/2020,137.380005,-0.002108657,0.000861289,7.99e-05,135.5088542180469,133.47942217463122,128.5125629685882
144,7/29/2020,137.929993,0.003995414,0.000855413,0.000107054,135.23572879070457,133.21458567697883,128.27523283059398
145,7/30/2020,137.690002,-0.001741463,0.000849537,9.43e-05,135.78126448196727,133.76969164953758,128.79998046993626
146,7/31/2020,137.660004,-0.00021789,0.000843719,9.22e-05,135.5536306977408,133.54893196373624,128.61626568732865
147,8/3/2020,136.699997,-0.006998184,0.000838319,4.39e-05,135.53253289601824,133.5265002867207,128.6077463853618
148,8/4/2020,137.470001,0.005616997,0.000832863,8.16e-05,134.5920908668691,132.61139428303122,127.77370110985467
149,8/5/2020,136.25,-0.008914285,0.000827813,2.12e-05,135.36160588869942,133.37423246980728,128.5045604439987
150,8/6/2020,135.860001,-0.002866482,0.00082235,1.96e-06,134.15627303871594,132.19435287708833,127.38633103069381
151,8/7/2020,136.740005,0.006456398,0.000817178,4.47e-05,133.77239640487807,131.8295037748863,127.05615261810262
152,8/10/2020,135.979996,-0.005573562,0.000812008,7.75e-06,134.65284149634167,132.70068441641686,127.89063511790211
153,8/11/2020,135.119995,-0.006344551,0.000806963,-3.38e-05,133.90764165608107,131.96739576234484,127.21360561362573
154,8/12/2020,137.800003,0.019640145,0.00080422,9.4e-05,133.06776687438955,131.150295719956,126.43954408784414
155,8/13/2020,138.100006,0.002174724,0.000799059,0.000107404,135.719576186372,133.77487677050195,128.95492910029307
156,8/14/2020,137.559998,-0.003917933,0.00079404,8.16e-05,136.02043601734727,134.07371675628465,129.26408286074755
157,8/17/2020,137.919998,0.002613621,0.000789023,9.77e-05,135.4957800395198,133.55294037987136,128.7682691932127
158,8/18/2020,138.110001,0.001376684,0.000784039,0.000105822,135.86174002363632,133.92632105932896,129.14982946682568
159,8/19/2020,136.449997,-0.012092251,0.000780038,2.91e-05,136.06500938954295,134.1207248959265,129.36490287496707
