,Date,CHS,PDR,VAR,AVG,VAR70,VAR85,VAR99
80,4/28/2020,1.42,0.119545151,0.00653914,-0.01193712,1.187938222982751,1.1403616692595617,1.0283768753474607
81,4/29/2020,1.57,0.100418748,0.006612336,-0.01055001,1.3404186043218187,1.2859974519337487,1.1588842009717488
82,4/30/2020,1.5,-0.045610511,0.006546505,-0.010977577,1.4837543913471931,1.4232571712531459,1.2818054858723056
83,5/1/2020,1.37,-0.090654368,0.006543197,-0.011937539,1.4174689133334846,1.359994515678286,1.225139953366205
84,5/4/2020,1.27,-0.075793839,0.006513267,-0.012697733,1.293407159421726,1.241013332026425,1.1176624276969302
85,5/5/2020,1.17,-0.082013152,0.0064925,-0.013513208,1.1981186714387446,1.1494789315824328,1.0357311658592665
86,5/6/2020,1.12,-0.043675064,0.006427461,-0.013863928,1.1030366019174282,1.05843488055096,0.9537960470910136
87,5/7/2020,1.23,0.093685484,0.006485007,-0.012627727,1.0557716113906166,1.0133762186428381,0.9135530099414867
88,5/8/2020,1.37,0.10779657,0.006574237,-0.01125927,1.1607512247234282,1.1138716409322789,1.0040009402294032
89,5/11/2020,1.28,-0.067950662,0.006536074,-0.011896251,1.2940622249271627,1.2412952661946364,1.1179270628581899
90,5/12/2020,1.25,-0.023716527,0.006464986,-0.012027588,1.2084516737449378,1.1594782100850989,1.0444194250117227
91,5/13/2020,1.13,-0.100925919,0.006479834,-0.013004493,1.1802914302614032,1.1326287997450257,1.0210403246403543
92,5/14/2020,1.08,-0.045256592,0.006420584,-0.013355059,1.0658856845618108,1.0228917121577252,0.9223020336432319
93,5/15/2020,1.13,0.045256592,0.006388087,-0.012724826,1.018489618472598,0.9774814802151662,0.8817987232784134
94,5/18/2020,1.23,0.084796537,0.006420227,-0.011687365,1.0664584172756546,1.023808827469444,0.9232264270080395
95,5/19/2020,1.18,-0.041499731,0.006361903,-0.012001179,1.1621740322411243,1.1154449907874637,1.0056803458875314
96,5/20/2020,1.21,0.025105921,0.006309827,-0.011614647,1.1146607473844037,1.0702270402224325,0.9659109869378978
97,5/21/2020,1.26,0.040491361,0.006272479,-0.011077472,1.1437610326582865,1.097876853570919,0.991615267726908
98,5/22/2020,1.3,0.031252544,0.006226571,-0.010645533,1.1917839471306226,1.1441921773663946,1.0328154571529353
99,5/26/2020,1.4,0.074107972,0.006235501,-0.009789437,1.2300068186225352,1.1813923085982405,1.0667333567397097
