,Date,FNMA,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,1.9,0.105360516,0.00394868,-0.007793311,1.6369548748472744,1.5858518933451904,1.4640057865303644
73,4/17/2020,1.93,0.015666117,0.003902024,-0.007471949,1.8206580184709766,1.762858164307171,1.6257511109207563
74,4/20/2020,1.8,-0.069733338,0.003900971,-0.008313319,1.850238837479393,1.7917869674222509,1.6529284978928642
75,4/21/2020,1.75,-0.028170877,0.003854146,-0.008578087,1.7239944218349144,1.6696761957282633,1.5409073246827856
76,4/22/2020,1.75,0.0,0.003804389,-0.008465217,1.6764363391899026,1.6238560784026306,1.4989231351567565
77,4/23/2020,1.79,0.022599832,0.003767351,-0.008061775,1.6769702932445387,1.6249267036178245,1.5006312083385036
78,4/24/2020,1.76,-0.016901811,0.003720041,-0.008175109,1.716151835227298,1.6630164298144277,1.5362578900640693
79,4/27/2020,1.7,-0.034685558,0.003681736,-0.008510684,1.687811772499551,1.6357774618564678,1.511638170051773
80,4/28/2020,1.73,0.017493157,0.003644061,-0.008185636,1.6299620596365432,1.5801817466500598,1.461805028169481
81,4/29/2020,1.77,0.022858138,0.003610823,-0.00780238,1.6593432527719432,1.6089097152246608,1.4882991535536327
82,4/30/2020,1.72,-0.028655256,0.003572027,-0.008056683,1.6987378314724932,1.6472993792209394,1.5247313473275377
83,5/1/2020,1.69,-0.017595762,0.003530074,-0.008171612,1.6504728061330396,1.6007404294167027,1.482048748365421
84,5/4/2020,1.66,-0.017910927,0.003489165,-0.008287556,1.6218015867334523,1.5731700703728677,1.4574067532992734
85,5/5/2020,1.7,0.023810649,0.003460094,-0.00790993,1.5933941591125078,1.5457583608815504,1.432352490140317
86,5/6/2020,1.66,-0.023810649,0.003422766,-0.008094822,1.6325203156881167,1.5840563041515208,1.4679866519197013
87,5/7/2020,1.68,0.011976191,0.003388001,-0.007864121,1.5940485364374923,1.5470951549342213,1.434655932965902
88,5/8/2020,1.69,0.005934736,0.003351641,-0.007707316,1.6141173902007515,1.566722484242546,1.4537805244033568
89,5/11/2020,1.68,-0.005934736,0.003314017,-0.007687399,1.623831454122885,1.5765455582721115,1.4630539513622371
90,5/12/2020,1.66,-0.011976191,0.003277396,-0.007735052,1.614905807785119,1.567897118318859,1.4560201013859955
91,5/13/2020,1.61,-0.030583423,0.003247055,-0.007986133,1.5957462279805545,1.549670147243131,1.4394180626269912
92,5/14/2020,1.57,-0.02515856,0.003214931,-0.00817279,1.5475226729821885,1.5030585916140553,1.3965866907381763
93,5/15/2020,1.66,0.055741983,0.003223815,-0.007485534,1.5090474666818483,1.465982431484112,1.3625871473624058
94,5/18/2020,1.68,0.011976191,0.003193506,-0.007278495,1.596747156906249,1.550860465118046,1.4407708015968923
95,5/19/2020,1.84,0.090971778,0.003260432,-0.006244281,1.6167116492851885,1.5704716518289248,1.4599247563456808
96,5/20/2020,1.96,0.063178902,0.00327615,-0.005521123,1.7719220159422322,1.7206119551541186,1.5989621758737187
97,5/21/2020,2.21,0.120048042,0.003403253,-0.004226596,1.88835409673072,1.833805513231723,1.703607326270226
98,5/22/2020,2.18,-0.013667639,0.003369426,-0.004322933,2.1306030310044735,2.0677229319548753,1.9181138693835171
99,5/26/2020,2.26,0.036039936,0.003351681,-0.003915227,2.1018435625316236,2.0402032301267723,1.8927959584030156
100,5/27/2020,2.18,-0.036039936,0.003328381,-0.004236474,2.180135373363786,2.1162930842828835,1.9642416936318792
101,5/28/2020,2.16,-0.009216655,0.00329567,-0.004285783,2.102676444900371,2.0413597736181335,1.89476863915154
102,5/29/2020,2.11,-0.023420274,0.003266914,-0.004473376,2.0831490502861296,2.0228502500229903,1.8780961630021917
103,6/1/2020,2.19,0.037213596,0.003251904,-0.004068648,2.0352737407676975,1.9765387913583365,1.8358484472954848
104,6/2/2020,2.17,-0.009174376,0.003220884,-0.004117742,2.113605201039717,2.052879971582062,1.9064685974810065
105,6/3/2020,2.17,0.0,0.003190369,-0.004078525,2.0943746065828677,2.034483270890618,1.8912437021407291
106,6/4/2020,2.17,0.0,0.003160427,-0.004040048,2.094677511123778,2.0349931538803836,1.8917670663648125
107,6/5/2020,2.22,0.022780028,0.00313755,-0.003789394,2.0952407579210313,2.0358399959768505,1.8936115066747863
