,Date,XOM,PDR,VAR,AVG,VAR70,VAR85,VAR99
71,4/15/2020,40.48,-0.047047634,0.001739835,-0.007893837,41.17587837997785,40.30257445985886,38.19424343483358
72,4/16/2020,39.150002,-0.033407551,0.001724586,-0.008248194,39.257553870025006,38.428843509310596,36.41146528138848
73,4/17/2020,43.220001,0.098902901,0.001856086,-0.006780371,37.95525793288214,37.1584216640612,35.22730126917142
74,4/20/2020,41.18,-0.048350673,0.00185404,-0.007342132,41.93018407936778,41.01337480653551,38.79537156589886
75,4/21/2020,40.959999,-0.005356745,0.001829372,-0.00731566,39.92880410797785,39.053962681013346,36.954969958063415
76,4/22/2020,42.130001,0.028164143,0.001821646,-0.006848821,39.723716421939066,38.86077330393734,36.774947082178805
77,4/23/2020,43.450001,0.030850775,0.001816207,-0.006359215,40.8778802390967,39.9951459003272,37.85226737727305
78,4/24/2020,43.73,0.006423491,0.00179499,-0.006195335,42.177503690919245,41.26743498175981,39.05385763053575
79,4/27/2020,43.939999,0.004790679,0.001773777,-0.006056271,42.46761372351372,41.55352285704191,39.33880331809048
80,4/28/2020,44.970001,0.023170579,0.001762149,-0.005690935,42.68149381733429,41.77151591995482,39.56195753079033
81,4/29/2020,47.459999,0.053891607,0.001783681,-0.004955348,43.70187108432819,42.773985940712194,40.52013597240617
82,4/30/2020,46.470001,-0.021080265,0.001765061,-0.005151994,46.15138060167253,45.16269428688445,42.76303486379155
83,5/1/2020,43.139999,-0.074356347,0.001800802,-0.005985781,45.1801167920704,44.21859688241614,41.89820193466658
84,5/4/2020,44.880001,0.039541666,0.001803746,-0.005443788,41.900960744816736,41.002405847668896,38.813584723122695
85,5/5/2020,44.830002,-0.001114681,0.001782743,-0.005392857,43.61276034064609,42.67703016171475,40.39996709604697
86,5/6/2020,43.990002,-0.018915222,0.001764115,-0.005550094,43.571999163190576,42.64476706490495,40.39229438903201
87,5/7/2020,44.240002,0.005667022,0.001745267,-0.005421162,42.7573780135254,41.847725298442676,39.636046795993074
88,5/8/2020,46.18,0.042917402,0.001751686,-0.00487186,43.0099632738428,42.09823457931887,39.90090018694146
89,5/11/2020,45.740002,-0.009573572,0.001732249,-0.004924688,44.91664357583856,43.96629948531597,41.65301426346602
90,5/12/2020,44.119999,-0.036060061,0.001723654,-0.005270637,44.494437499654936,43.55664744311543,41.28011390881088
91,5/13/2020,41.93,-0.050911611,0.001727352,-0.005772186,42.90319928039102,41.997799827947894,39.80917302182584
92,5/14/2020,42.299999,0.008785501,0.001710855,-0.00561395,40.75688264024577,39.90054408033019,37.817097384643205
93,5/15/2020,42.0,-0.007117444,0.001692483,-0.005630117,41.127567688159196,40.26506177680218,38.17579985580165
94,5/18/2020,45.34,0.076520027,0.001745508,-0.004756179,40.83764878069884,39.984085869554484,37.92535723190349
95,5/19/2020,43.939999,-0.031364601,0.001734508,-0.005036268,44.1055830698125,43.1722925922558,40.91341989697073
96,5/20/2020,45.369999,0.032026027,0.0017306,-0.004650202,42.736456210625676,41.83341248459964,39.63229340476585
97,5/21/2020,44.560001,-0.018014454,0.001714581,-0.004787978,44.14687985473488,43.218834313156236,40.96371060410811
98,5/22/2020,44.599998,0.000897196,0.001697412,-0.004729966,43.356656864911905,42.45064410201663,40.244361192905345
99,5/26/2020,45.91,0.028949144,0.001691608,-0.004389773,43.40127646599338,42.496486485129935,40.2917386132688
100,5/27/2020,46.240002,0.007162309,0.001676013,-0.004274252,44.69828923936012,43.76629508901571,41.51278059711256
101,5/28/2020,45.040001,-0.026294262,0.001664172,-0.004492272,45.02611001318804,44.09089120320141,41.83893193404965
102,5/29/2020,45.470001,0.009501784,0.001649758,-0.004355075,43.85317113721087,42.94419884902003,40.73606776080458
103,6/1/2020,46.279999,0.017657091,0.001638399,-0.004141365,44.28623325088442,43.37333435281737,41.16051989113378
104,6/2/2020,47.310001,0.02201183,0.001629159,-0.003889892,45.084349857610704,44.15796059162861,41.90670570260804
105,6/3/2020,49.240002,0.039984631,0.001631802,-0.003472039,46.09931893198433,45.15706604626954,42.86209921109108
106,6/4/2020,49.099998,-0.002847348,0.001616411,-0.003466146,48.00089097203137,47.015269483430195,44.63020561194357
107,6/5/2020,53.080002,0.077941253,0.001662662,-0.002705329,47.8669087976562,46.891591676775626,44.53196099799956
108,6/8/2020,54.740002,0.030794493,0.001657561,-0.002395146,51.775415716960296,50.70777079251942,48.118524605429585
109,6/9/2020,53.52,-0.022539324,0.001646043,-0.002579955,53.4121887240916,52.308171108180936,49.64525590831834
110,6/10/2020,50.650002,-0.055116146,0.001655942,-0.003057556,52.21469073367817,51.13846511688449,48.54055906773015
111,6/11/2020,46.18,-0.092392466,0.001712275,-0.003862375,49.383597065014065,48.36591898343792,45.89272021451866
112,6/12/2020,47.169998,0.021211251,0.00170255,-0.003638504,44.973051034086616,44.03154420717159,41.739879868269796
113,6/15/2020,47.139999,-0.000636179,0.001687562,-0.003611934,45.947241070021825,44.9902226825753,42.66836484234739
114,6/16/2020,48.200001,0.022237166,0.001678569,-0.003385188,45.93379459246832,44.983214600588624,42.66490820250093
115,6/17/2020,46.630001,-0.03311491,0.001671591,-0.003643707,46.97815461088188,46.002244082286865,43.63710179957431
116,6/18/2020,46.919998,0.006199849,0.001658009,-0.003558849,45.438903730032614,44.496502214381756,42.20398013902378
117,6/19/2020,45.98,-0.020237462,0.001646195,-0.003701401,45.727538679870726,44.786472920228746,42.49411142471593
118,6/22/2020,46.419998,0.009523838,0.001633714,-0.003589323,44.81180179412331,43.89246308165146,41.64966614847011
