,Date,DAL,PDR,VAR,AVG,VAR70,VAR85,VAR99
72,4/16/2020,22.780001,-0.066648848,0.004566846,-0.013226836,23.154448638666715,22.367626581023334,20.49461422383439
73,4/17/2020,24.27,0.063358018,0.004583532,-0.012177728,21.648605818780254,20.91153623717873,19.17080254004534
74,4/20/2020,23.639999,-0.02630087,0.004524251,-0.012368582,23.08997868176595,22.30151129525851,20.434582501051832
75,4/21/2020,23.1,-0.023107533,0.004465445,-0.012511768,22.48993211533945,21.729169052949334,19.93453350446689
76,4/22/2020,22.469999,-0.027651576,0.004409666,-0.012710976,21.97445590922143,21.23618275230708,19.48200652542048
77,4/23/2020,22.48,0.000444983,0.004354616,-0.012540119,21.378557658779616,20.66500242430751,18.96535773550332
78,4/24/2020,22.41,-0.003118737,0.004299911,-0.012419332,21.39650956801002,20.68402221013394,18.99271593570634
79,4/27/2020,22.16,-0.011218426,0.0042455,-0.012404131,21.34073908101968,20.634999023155732,18.97040761909758
80,4/28/2020,24.34,0.093832226,0.004331744,-0.011076176,21.106848526709104,20.4140097498536,18.76720372162317
81,4/29/2020,27.32,0.115497947,0.004473614,-0.009513533,23.204113874046463,22.434847967242504,20.60922676070989
82,4/30/2020,25.91,-0.05299004,0.004441828,-0.010043734,26.07327566829343,25.19560126164431,23.122719959886787
83,5/1/2020,24.120001,-0.071587581,0.004433397,-0.010785226,24.71519795036592,23.88636790454017,21.92865933380378
84,5/4/2020,22.57,-0.066419822,0.004417027,-0.011447543,22.990566908109248,22.224086020562957,20.38337984014839
85,5/5/2020,21.709999,-0.038848653,0.004373792,-0.011769909,21.50143858124803,20.783551151337736,19.070170539395765
86,5/6/2020,21.0,-0.0332505,0.004328236,-0.012019683,20.678110973339585,19.98624546919797,18.357104296378207
87,5/7/2020,21.68,0.031867739,0.004300371,-0.01151523,20.002727675457955,19.339989155824814,17.764996367496437
88,5/8/2020,22.719999,0.046855373,0.004289781,-0.010851928,20.66306992330447,19.98024888486491,18.36288722508939
89,5/11/2020,22.01,-0.031748654,0.004246432,-0.011086723,21.670216136200928,20.95703775038373,19.258651572406993
90,5/12/2020,21.030001,-0.045546858,0.004212298,-0.011469613,20.989589196553617,20.30126463919881,18.658487029441723
91,5/13/2020,19.41,-0.08016164,0.004217292,-0.01222447,20.054108083761346,19.395802979166923,17.838403669242453
92,5/14/2020,19.379999,-0.001546842,0.004172677,-0.012108409,18.49357513840934,17.8890349868294,16.458654624357635
93,5/15/2020,19.190001,-0.009852193,0.004127864,-0.012084149,18.47355586611535,17.871843588015288,16.438276559453243
94,5/18/2020,21.860001,0.130269166,0.004297236,-0.010569752,18.29274397250465,17.70208069014369,16.290152365836914
95,5/19/2020,21.76,-0.004585107,0.004252375,-0.010506756,20.85603715034371,20.168973426404314,18.530803350313462
96,5/20/2020,22.719999,0.043172128,0.004237782,-0.009947601,20.76741884080099,20.086097126447825,18.47019635275447
97,5/21/2020,23.16,0.019181103,0.004202751,-0.009647305,21.69227026725834,20.982048347647897,19.304026649696404
98,5/22/2020,22.690001,-0.02050231,0.004161055,-0.00975807,22.123161547652888,21.399792091052834,19.679374736152567
99,5/26/2020,25.65,0.122619229,0.004294244,-0.008420926,21.6778159192939,20.971170076184197,19.295498671884797
100,5/27/2020,26.32,0.025785535,0.004262886,-0.008078861,24.525351517601617,23.714541100025684,21.787747139860087
101,5/28/2020,25.66,-0.025395747,0.004223618,-0.008250315,25.174106721693498,24.346679377643223,22.3774764368723
102,5/29/2020,25.209999,-0.017692658,0.004183076,-0.008342887,24.546532505867575,23.74378636810429,21.828952026889276
103,6/1/2020,26.17,0.037373015,0.004162557,-0.007899044,24.11833588994344,23.3283915436796,21.456191121015422
104,6/2/2020,26.41,0.00912901,0.004125294,-0.007735312,25.04587050868583,24.23172890006694,22.29993505228097
105,6/3/2020,28.469999,0.07510814,0.004150745,-0.006946327,25.286577513076555,24.46721651656521,22.523400436887126
106,6/4/2020,32.380001,0.128690113,0.004283509,-0.005666738,27.275105573972983,26.38959295451496,24.286381125406727
107,6/5/2020,34.16,0.05351439,0.004275903,-0.005113643,31.042843173754882,30.023095295924527,27.58608678288909
108,6/8/2020,36.970001,0.079051431,0.004301294,-0.004334337,32.769931383278085,31.6929579171657,29.133319664909674
109,6/9/2020,34.169998,-0.078758792,0.004312183,-0.00501713,35.49163601177181,34.317405124991886,31.52985670830863
110,6/10/2020,31.639999,-0.076925896,0.004319562,-0.005670846,32.78162841194555,31.698256413994617,29.106538914971836
111,6/11/2020,27.200001,-0.151205101,0.004469741,-0.006981966,30.328476042679892,29.327773153357256,26.93637934603518
112,6/12/2020,30.43,0.112211954,0.00455555,-0.005917734,26.019111058083105,25.144424252959208,23.07964706176481
113,6/15/2020,30.459999,0.000985351,0.004515653,-0.005856645,29.13070104404494,28.142821784114005,25.788629363319302
114,6/16/2020,31.299999,0.027203751,0.004485546,-0.005566642,29.17037399607521,28.18001161601765,25.83529599562641
115,6/17/2020,30.719999,-0.01870419,0.004448029,-0.005680881,29.98394755428637,28.97266990168,26.561344433911184
116,6/18/2020,30.790001,0.002276119,0.004410225,-0.005612286,29.429031238619526,28.441706888722365,26.091419568571656
117,6/19/2020,29.51,-0.042460805,0.004384036,-0.005927231,29.504110354609768,28.516637147322914,26.172083948540347
118,6/22/2020,29.309999,-0.006800468,0.00434689,-0.005934631,28.278505954738094,27.335282478916938,25.09470162415952
119,6/23/2020,29.639999,0.011196046,0.004312807,-0.005790676,28.0851636829374,27.15115076461701,24.944130476499463
120,6/24/2020,27.34,-0.080773935,0.00432333,-0.006415536,28.40747693165468,27.46793306843395,25.235303685105553
121,6/25/2020,28.01,0.024210758,0.004295288,-0.006162426,26.186709101912736,25.31829779558782,23.254614382782396
122,6/26/2020,26.91,-0.040063625,0.004269424,-0.006440305,26.84307924916321,25.95804022103303,23.856885170668477
123,6/29/2020,28.610001,0.061258377,0.004271671,-0.005889909,25.78215810857818,24.93416237926172,22.905048108019688
124,6/30/2020,28.049999,-0.019767746,0.004238763,-0.006001827,27.424365254049864,26.525811303974816,24.380749427425066
125,7/1/2020,27.700001,-0.012556147,0.004205194,-0.006054262,26.89162558391832,26.011987480512783,23.910270863528513
126,7/2/2020,27.719999,0.000721689,0.004172181,-0.006000485,26.552264709010363,25.68287259859909,23.61535105097804
127,7/6/2020,28.440001,0.025642502,0.004147151,-0.005751327,26.581194365474808,25.71473851026593,23.661618668494505
128,7/7/2020,27.01,-0.051589472,0.004131038,-0.006109438,27.28220492564117,26.397045432680297,24.28711321886597
129,7/8/2020,27.01,0.0,0.004099302,-0.006062078,25.90107362883328,25.06085659644452,23.06693840080674
130,7/9/2020,25.65,-0.051663596,0.004083642,-0.006412859,25.905147546571236,25.074915975942005,23.08189731077337
131,7/10/2020,27.09,0.054621084,0.004080688,-0.005946951,24.59681725465085,23.80715824849363,21.915793277244987
132,7/13/2020,26.82,-0.010016778,0.004049898,-0.005977783,25.991396774598044,25.157609973454797,23.163204909269567
133,7/14/2020,26.110001,-0.026829457,0.004022693,-0.006134562,25.7300134522533,24.906156838284435,22.953540947798064
134,7/15/2020,28.6,0.091088297,0.004062686,-0.005409018,25.050999427676167,24.249765829306035,22.351499587254807
135,7/16/2020,27.26,-0.047986292,0.00404592,-0.005724406,27.453332677843,26.57258567739113,24.465986837603857
136,7/17/2020,27.049999,-0.007733458,0.0040162,-0.005739178,26.161512870498356,25.32135838083178,23.33682084238095
137,7/20/2020,26.219999,-0.031164528,0.003991569,-0.005924765,25.95951667984415,25.131323078149773,23.16889613577879
138,7/21/2020,26.43,0.007977288,0.003964035,-0.005824025,25.163522046682843,24.359923469748875,22.45836383107243
139,7/22/2020,26.25,-0.00683374,0.003935524,-0.005831289,25.372259914001376,24.566471654020607,22.655923047933793
140,7/23/2020,26.780001,0.019989389,0.003912142,-0.005646856,25.202953642045234,24.404162092935348,22.51210570657715
141,7/24/2020,25.959999,-0.031098524,0.003888958,-0.005827364,25.71963776041454,24.9101737650696,22.97497228526715
142,7/27/2020,25.5,-0.017878401,0.003862586,-0.005912231,24.93018976298684,24.147425016846622,22.27848661262165
143,7/28/2020,25.940001,0.017107765,0.003839255,-0.005751252,24.487168305767046,23.72370684966459,21.89187528113638
144,7/29/2020,25.719999,-0.008517357,0.003812646,-0.005770461,24.91817842634719,24.139044488586457,22.290605179684864
145,7/30/2020,24.940001,-0.03079588,0.003790641,-0.00594305,24.710463025632585,23.943386723162735,22.121613310541303
146,7/31/2020,24.969999,0.001202084,0.003765025,-0.00589411,23.957019728482567,23.214916528669832,21.44497936779777
147,8/3/2020,25.200001,0.00916897,0.003740946,-0.005791641,23.992199938783934,23.250500047354624,21.48263759738888
148,8/4/2020,25.67,0.018478961,0.003719622,-0.00562765,24.221604832157073,23.472781744729428,21.69267615220518
149,8/5/2020,26.469999,0.030688984,0.003703451,-0.005383914,24.6761534009068,23.918599774568396,22.104016940003632
150,8/6/2020,27.08,0.02278347,0.003684015,-0.005196132,25.45174971866975,24.67162846738049,22.813931241759676
151,8/7/2020,27.18,0.003685961,0.003660137,-0.00513731,26.046945280061355,25.249873389324375,23.348453870544276
152,8/10/2020,29.34,0.076470364,0.003679583,-0.004600417,26.14262357674097,25.34582496047588,23.44610336386878
153,8/11/2020,29.639999,0.010172994,0.003656951,-0.004503859,28.23987824886605,27.37771416871895,25.319767102988237
154,8/12/2020,29.09,-0.018730294,0.00363451,-0.004596238,28.532895642230876,27.66209374004358,25.58498499962587
155,8/13/2020,28.700001,-0.013497315,0.003611569,-0.004653665,28.004649600379878,27.15219113153621,25.119097188738245
156,8/14/2020,28.950001,0.008673081,0.00358955,-0.004568237,27.62859934954347,26.790528826814526,24.78463956663422
157,8/17/2020,28.02,-0.032651698,0.003571678,-0.004747112,27.87755334225767,27.03301362003283,25.034725242391527
158,8/18/2020,27.629999,-0.014016438,0.003549612,-0.004805779,26.977487310315983,26.166240167566958,24.225852349275268
159,8/19/2020,27.67,0.001446691,0.003527532,-0.004766455,26.602188785433338,25.804243851458068,23.894797512689102
160,8/20/2020,27.620001,-0.00180861,0.003505539,-0.004747969,26.646684276895776,25.850163223700065,23.93254246166237
161,8/21/2020,27.27,-0.012752987,0.003484161,-0.004797689,26.597948935616245,25.800787680724348,23.907356819601173
162,8/24/2020,29.799999,0.088721163,0.003516307,-0.004220413,26.267564732451774,25.486921102092662,23.621920319228558
163,8/25/2020,30.1,0.010016812,0.003495971,-0.004133068,28.718291569676747,27.859050611896727,25.803513536550604
164,8/26/2020,29.950001,-0.004995814,0.003474658,-0.004138328,29.011329342860623,28.146608728351012,26.075721183508964
165,8/27/2020,30.82,0.028634472,0.00346007,-0.003939705,28.866254720119702,28.00840532245955,25.96468831266722
166,8/28/2020,31.99,0.037259524,0.00344939,-0.003691517,29.714343667375594,28.831899042428827,26.721427657912265
167,8/31/2020,30.85,-0.036286604,0.003435058,-0.003886697,30.850838842672648,29.93397173666754,27.754928872250527
168,9/1/2020,30.709999,-0.004548448,0.003414614,-0.003890636,29.74862869066757,28.869568731585513,26.76408711383864
169,9/2/2020,31.139999,0.013904832,0.003396272,-0.003785338,29.61959035419639,28.741909257625743,26.6510795664631
170,9/3/2020,31.219999,0.002565749,0.00337653,-0.003747978,30.0371693849237,29.153393345217175,27.048678155343556
171,9/4/2020,31.77,0.017463565,0.0033594,-0.003623934,30.11896198154413,29.23557411390765,27.115316388239727
172,9/8/2020,32.540001,0.023947684,0.003344263,-0.003463634,30.65693636763398,29.76434874035659,27.612192421892672
173,9/9/2020,31.76,-0.024262496,0.003327418,-0.003583859,31.40775766207235,30.491203262569545,28.29807820440556
174,9/10/2020,31.790001,0.00094417,0.003308412,-0.003557836,30.65439958508641,29.762607585863545,27.6262487147705
175,9/11/2020,31.700001,-0.002835094,0.003289509,-0.003553706,30.685430679491667,29.795013244993335,27.66141636264578
176,9/14/2020,32.82,0.034721373,0.003279096,-0.003336234,30.60155777001504,29.7160181286465,27.594585209274296
177,9/15/2020,33.509998,0.020805756,0.003263844,-0.003199838,31.69105902322362,30.77520466193886,28.59374214742943
178,9/16/2020,34.57,0.031142412,0.003252096,-0.003006904,32.364179256079595,31.43230874369801,29.208902900677717
179,9/17/2020,33.959999,-0.017802922,0.003235144,-0.003089563,33.39390841816891,32.43493837461119,30.14183015810629
180,9/18/2020,32.84,-0.033536047,0.003222293,-0.003258711,32.806036125068026,31.866053994557827,29.60847450772417
181,9/21/2020,29.82,-0.096467975,0.003252224,-0.003773679,31.72335768197607,30.81742262873271,28.634436976950052
182,9/22/2020,30.219999,0.013324614,0.003235953,-0.003679732,28.788009918246416,27.962241743829406,25.97474525893078
183,9/23/2020,29.559999,-0.022081862,0.00322011,-0.00378029,29.17632813855294,28.336104479858257,26.32601005579046
184,9/24/2020,29.01,-0.018781464,0.003203826,-0.003861818,28.536566054875223,27.71831077667613,25.76919222822264
185,9/25/2020,29.780001,0.026196463,0.003191365,-0.003699341,28.00701569916052,27.21156774495238,25.28495817657192
186,9/28/2020,31.34,0.051058176,0.003190241,-0.003404946,28.759707575452698,27.938259501616376,25.974913804248146
187,9/29/2020,30.610001,-0.023568451,0.003175344,-0.003512772,30.27606459449592,29.410369567764253,27.338887845300718
188,9/30/2020,30.58,-0.000980585,0.003158487,-0.003499303,29.5675587026736,28.72809108398941,26.717774702545306
